"Blooket Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)",,
115,"In a bag of marbles, 40% are orange. You know there are 8 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
116,"In a bag of marbles, 70% are white. You know there are 42 white marbles. How many total marbles are in the bag?",60,,,,60,,,typing
117,"In a bag of marbles, 40% are violet. You know there are 26 violet marbles. How many total marbles are in the bag?",65,,,,60,,,typing
118,"In a bag of marbles, 70% are red. You know there are 21 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
119,"In a bag of marbles, 30% are violet. You know there are 12 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
120,"In a bag of marbles, 25% are orange. You know there are 18 orange marbles. How many total marbles are in the bag?",72,,,,60,,,typing
121,"In a bag of marbles, 25% are white. You know there are 15 white marbles. How many total marbles are in the bag?",60,,,,60,,,typing
122,"In a bag of marbles, 75% are violet. You know there are 27 violet marbles. How many total marbles are in the bag?",36,,,,60,,,typing
123,"In a bag of marbles, 20% are red. You know there are 10 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
124,"In a bag of marbles, 10% are black. You know there are 9 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
125,"In a bag of marbles, 10% are blue. You know there are 8 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
126,"In a bag of marbles, 10% are green. You know there are 9 green marbles. How many total marbles are in the bag?",90,,,,60,,,typing
127,"In a bag of marbles, 60% are violet. You know there are 54 violet marbles. How many total marbles are in the bag?",90,,,,60,,,typing
128,"In a bag of marbles, 75% are white. You know there are 63 white marbles. How many total marbles are in the bag?",84,,,,60,,,typing
129,"In a bag of marbles, 30% are white. You know there are 27 white marbles. How many total marbles are in the bag?",90,,,,60,,,typing
130,"In a bag of marbles, 50% are red. You know there are 15 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
131,"In a bag of marbles, 30% are green. You know there are 27 green marbles. How many total marbles are in the bag?",90,,,,60,,,typing
132,"In a bag of marbles, 10% are violet. You know there are 7 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
133,"In a bag of marbles, 50% are green. You know there are 20 green marbles. How many total marbles are in the bag?",40,,,,60,,,typing
134,"In a bag of marbles, 60% are yellow. You know there are 33 yellow marbles. How many total marbles are in the bag?",55,,,,60,,,typing
135,"In a bag of marbles, 75% are black. You know there are 57 black marbles. How many total marbles are in the bag?",76,,,,60,,,typing
136,"In a bag of marbles, 60% are green. You know there are 15 green marbles. How many total marbles are in the bag?",25,,,,60,,,typing
137,"In a bag of marbles, 40% are green. You know there are 16 green marbles. How many total marbles are in the bag?",40,,,,60,,,typing
138,"In a bag of marbles, 10% are green. You know there are 5 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
139,"In a bag of marbles, 60% are orange. You know there are 57 orange marbles. How many total marbles are in the bag?",95,,,,60,,,typing
140,"In a bag of marbles, 25% are violet. You know there are 7 violet marbles. How many total marbles are in the bag?",28,,,,60,,,typing
141,"In a bag of marbles, 60% are green. You know there are 45 green marbles. How many total marbles are in the bag?",75,,,,60,,,typing
142,"In a bag of marbles, 60% are orange. You know there are 12 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
143,"In a bag of marbles, 25% are violet. You know there are 5 violet marbles. How many total marbles are in the bag?",20,,,,60,,,typing
144,"In a bag of marbles, 30% are white. You know there are 24 white marbles. How many total marbles are in the bag?",80,,,,60,,,typing
145,"In a bag of marbles, 10% are red. You know there are 5 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
146,"In a bag of marbles, 70% are yellow. You know there are 14 yellow marbles. How many total marbles are in the bag?",20,,,,60,,,typing
147,"In a bag of marbles, 10% are green. You know there are 6 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
148,"In a bag of marbles, 10% are blue. You know there are 5 blue marbles. How many total marbles are in the bag?",50,,,,60,,,typing
149,"In a bag of marbles, 40% are orange. You know there are 30 orange marbles. How many total marbles are in the bag?",75,,,,60,,,typing
150,"In a bag of marbles, 70% are green. You know there are 42 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
151,"In a bag of marbles, 50% are blue. You know there are 47 blue marbles. How many total marbles are in the bag?",94,,,,60,,,typing
152,"In a bag of marbles, 10% are orange. You know there are 2 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
153,"In a bag of marbles, 75% are blue. You know there are 24 blue marbles. How many total marbles are in the bag?",32,,,,60,,,typing
154,"In a bag of marbles, 75% are blue. You know there are 45 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
155,"In a bag of marbles, 30% are red. You know there are 18 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
156,"In a bag of marbles, 40% are black. You know there are 38 black marbles. How many total marbles are in the bag?",95,,,,60,,,typing
157,"In a bag of marbles, 60% are orange. You know there are 45 orange marbles. How many total marbles are in the bag?",75,,,,60,,,typing
158,"In a bag of marbles, 40% are blue. You know there are 24 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
159,"In a bag of marbles, 20% are violet. You know there are 5 violet marbles. How many total marbles are in the bag?",25,,,,60,,,typing
160,"In a bag of marbles, 10% are white. You know there are 9 white marbles. How many total marbles are in the bag?",90,,,,60,,,typing
161,"In a bag of marbles, 30% are blue. You know there are 21 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
162,"In a bag of marbles, 40% are white. You know there are 16 white marbles. How many total marbles are in the bag?",40,,,,60,,,typing
163,"In a bag of marbles, 30% are white. You know there are 24 white marbles. How many total marbles are in the bag?",80,,,,60,,,typing
164,"In a bag of marbles, 50% are yellow. You know there are 49 yellow marbles. How many total marbles are in the bag?",98,,,,60,,,typing
165,"In a bag of marbles, 40% are green. You know there are 32 green marbles. How many total marbles are in the bag?",80,,,,60,,,typing
166,"In a bag of marbles, 75% are blue. You know there are 69 blue marbles. How many total marbles are in the bag?",92,,,,60,,,typing
167,"In a bag of marbles, 25% are violet. You know there are 20 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
168,"In a bag of marbles, 25% are black. You know there are 7 black marbles. How many total marbles are in the bag?",28,,,,60,,,typing
169,"In a bag of marbles, 70% are yellow. You know there are 42 yellow marbles. How many total marbles are in the bag?",60,,,,60,,,typing
170,"In a bag of marbles, 70% are white. You know there are 49 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
171,"In a bag of marbles, 25% are black. You know there are 14 black marbles. How many total marbles are in the bag?",56,,,,60,,,typing
172,"In a bag of marbles, 70% are violet. You know there are 28 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
173,"In a bag of marbles, 40% are green. You know there are 38 green marbles. How many total marbles are in the bag?",95,,,,60,,,typing
174,"In a bag of marbles, 20% are green. You know there are 18 green marbles. How many total marbles are in the bag?",90,,,,60,,,typing
175,"In a bag of marbles, 70% are violet. You know there are 42 violet marbles. How many total marbles are in the bag?",60,,,,60,,,typing
176,"In a bag of marbles, 40% are white. You know there are 20 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
177,"In a bag of marbles, 60% are violet. You know there are 51 violet marbles. How many total marbles are in the bag?",85,,,,60,,,typing
178,"In a bag of marbles, 20% are blue. You know there are 14 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
179,"In a bag of marbles, 70% are green. You know there are 49 green marbles. How many total marbles are in the bag?",70,,,,60,,,typing
180,"In a bag of marbles, 50% are orange. You know there are 49 orange marbles. How many total marbles are in the bag?",98,,,,60,,,typing
181,"In a bag of marbles, 30% are blue. You know there are 27 blue marbles. How many total marbles are in the bag?",90,,,,60,,,typing
182,"In a bag of marbles, 70% are violet. You know there are 21 violet marbles. How many total marbles are in the bag?",30,,,,60,,,typing
183,"In a bag of marbles, 40% are blue. You know there are 30 blue marbles. How many total marbles are in the bag?",75,,,,60,,,typing
184,"In a bag of marbles, 70% are orange. You know there are 14 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
185,"In a bag of marbles, 40% are orange. You know there are 18 orange marbles. How many total marbles are in the bag?",45,,,,60,,,typing
186,"In a bag of marbles, 25% are orange. You know there are 6 orange marbles. How many total marbles are in the bag?",24,,,,60,,,typing
187,"In a bag of marbles, 40% are black. You know there are 20 black marbles. How many total marbles are in the bag?",50,,,,60,,,typing
188,"In a bag of marbles, 75% are green. You know there are 48 green marbles. How many total marbles are in the bag?",64,,,,60,,,typing
189,"In a bag of marbles, 70% are white. You know there are 35 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
190,"In a bag of marbles, 20% are green. You know there are 12 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
191,"In a bag of marbles, 40% are yellow. You know there are 38 yellow marbles. How many total marbles are in the bag?",95,,,,60,,,typing
192,"In a bag of marbles, 10% are orange. You know there are 4 orange marbles. How many total marbles are in the bag?",40,,,,60,,,typing
193,"In a bag of marbles, 75% are yellow. You know there are 60 yellow marbles. How many total marbles are in the bag?",80,,,,60,,,typing
194,"In a bag of marbles, 20% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",90,,,,60,,,typing
195,"In a bag of marbles, 75% are orange. You know there are 39 orange marbles. How many total marbles are in the bag?",52,,,,60,,,typing
196,"In a bag of marbles, 20% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",90,,,,60,,,typing
197,"In a bag of marbles, 50% are red. You know there are 17 red marbles. How many total marbles are in the bag?",34,,,,60,,,typing
198,"In a bag of marbles, 60% are black. You know there are 21 black marbles. How many total marbles are in the bag?",35,,,,60,,,typing
199,"In a bag of marbles, 75% are violet. You know there are 33 violet marbles. How many total marbles are in the bag?",44,,,,60,,,typing
200,"In a bag of marbles, 40% are red. You know there are 24 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
201,"In a bag of marbles, 60% are green. You know there are 42 green marbles. How many total marbles are in the bag?",70,,,,60,,,typing
202,"In a bag of marbles, 30% are yellow. You know there are 12 yellow marbles. How many total marbles are in the bag?",40,,,,60,,,typing
203,"In a bag of marbles, 10% are red. You know there are 3 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
204,"In a bag of marbles, 60% are violet. You know there are 24 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
205,"In a bag of marbles, 70% are yellow. You know there are 21 yellow marbles. How many total marbles are in the bag?",30,,,,60,,,typing
206,"In a bag of marbles, 60% are green. You know there are 18 green marbles. How many total marbles are in the bag?",30,,,,60,,,typing
207,"In a bag of marbles, 30% are violet. You know there are 9 violet marbles. How many total marbles are in the bag?",30,,,,60,,,typing
208,"In a bag of marbles, 30% are black. You know there are 12 black marbles. How many total marbles are in the bag?",40,,,,60,,,typing
209,"In a bag of marbles, 70% are orange. You know there are 21 orange marbles. How many total marbles are in the bag?",30,,,,60,,,typing
210,"In a bag of marbles, 10% are black. You know there are 9 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
211,"In a bag of marbles, 20% are yellow. You know there are 5 yellow marbles. How many total marbles are in the bag?",25,,,,60,,,typing
212,"In a bag of marbles, 75% are blue. You know there are 66 blue marbles. How many total marbles are in the bag?",88,,,,60,,,typing
213,"In a bag of marbles, 25% are red. You know there are 16 red marbles. How many total marbles are in the bag?",64,,,,60,,,typing
214,"In a bag of marbles, 75% are black. You know there are 48 black marbles. How many total marbles are in the bag?",64,,,,60,,,typing
215,"In a bag of marbles, 70% are black. You know there are 21 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
216,"In a bag of marbles, 75% are green. You know there are 36 green marbles. How many total marbles are in the bag?",48,,,,60,,,typing
217,"In a bag of marbles, 20% are black. You know there are 7 black marbles. How many total marbles are in the bag?",35,,,,60,,,typing
218,"In a bag of marbles, 70% are blue. You know there are 28 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
219,"In a bag of marbles, 60% are black. You know there are 27 black marbles. How many total marbles are in the bag?",45,,,,60,,,typing
220,"In a bag of marbles, 25% are blue. You know there are 11 blue marbles. How many total marbles are in the bag?",44,,,,60,,,typing
221,"In a bag of marbles, 25% are black. You know there are 11 black marbles. How many total marbles are in the bag?",44,,,,60,,,typing
222,"In a bag of marbles, 30% are black. You know there are 24 black marbles. How many total marbles are in the bag?",80,,,,60,,,typing
223,"In a bag of marbles, 50% are black. You know there are 46 black marbles. How many total marbles are in the bag?",92,,,,60,,,typing
224,"In a bag of marbles, 50% are violet. You know there are 30 violet marbles. How many total marbles are in the bag?",60,,,,60,,,typing
225,"In a bag of marbles, 70% are black. You know there are 14 black marbles. How many total marbles are in the bag?",20,,,,60,,,typing
226,"In a bag of marbles, 60% are green. You know there are 33 green marbles. How many total marbles are in the bag?",55,,,,60,,,typing
227,"In a bag of marbles, 40% are violet. You know there are 16 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
228,"In a bag of marbles, 60% are violet. You know there are 36 violet marbles. How many total marbles are in the bag?",60,,,,60,,,typing
229,"In a bag of marbles, 60% are black. You know there are 12 black marbles. How many total marbles are in the bag?",20,,,,60,,,typing
230,"In a bag of marbles, 25% are blue. You know there are 20 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
231,"In a bag of marbles, 75% are white. You know there are 18 white marbles. How many total marbles are in the bag?",24,,,,60,,,typing
232,"In a bag of marbles, 25% are yellow. You know there are 12 yellow marbles. How many total marbles are in the bag?",48,,,,60,,,typing
233,"In a bag of marbles, 25% are black. You know there are 24 black marbles. How many total marbles are in the bag?",96,,,,60,,,typing
234,"In a bag of marbles, 20% are red. You know there are 12 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
235,"In a bag of marbles, 70% are violet. You know there are 21 violet marbles. How many total marbles are in the bag?",30,,,,60,,,typing
236,"In a bag of marbles, 60% are blue. You know there are 45 blue marbles. How many total marbles are in the bag?",75,,,,60,,,typing
237,"In a bag of marbles, 25% are blue. You know there are 14 blue marbles. How many total marbles are in the bag?",56,,,,60,,,typing
238,"In a bag of marbles, 25% are red. You know there are 14 red marbles. How many total marbles are in the bag?",56,,,,60,,,typing
239,"In a bag of marbles, 10% are green. You know there are 5 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
240,"In a bag of marbles, 75% are yellow. You know there are 18 yellow marbles. How many total marbles are in the bag?",24,,,,60,,,typing
241,"In a bag of marbles, 10% are blue. You know there are 2 blue marbles. How many total marbles are in the bag?",20,,,,60,,,typing
242,"In a bag of marbles, 10% are green. You know there are 2 green marbles. How many total marbles are in the bag?",20,,,,60,,,typing
243,"In a bag of marbles, 50% are orange. You know there are 16 orange marbles. How many total marbles are in the bag?",32,,,,60,,,typing
244,"In a bag of marbles, 20% are green. You know there are 7 green marbles. How many total marbles are in the bag?",35,,,,60,,,typing
245,"In a bag of marbles, 75% are yellow. You know there are 60 yellow marbles. How many total marbles are in the bag?",80,,,,60,,,typing
