"Blooket
Import Template",,,,,,,,,
15,"Convert 210° to radians.",3π/2,π/3,7π/6,5π/6,20,3,,
16,"Convert 11π/6 to degrees.",45°,330°,0°,90°,20,2,,
16,"Convert 270° to radians.",2π,3π/2,5π/3,π/4,20,2,,
17,"Convert π to degrees.",330°,120°,180°,270°,20,3,,
17,"Convert 315° to radians.",5π/4,7π/4,π/6,π,20,2,,
18,"Convert 7π/6 to degrees.",270°,210°,150°,135°,20,2,,
18,"Convert 45° to radians.",π/4,3π/4,3π/2,5π/4,20,1,,
19,"Convert 3π/2 to degrees.",30°,60°,120°,270°,20,4,,
19,"Convert 0° to radians.",π/4,π/3,11π/6,0,20,4,,
20,"Convert 2π/3 to degrees.",240°,180°,120°,300°,20,3,,
20,"Convert 360° to radians.",11π/6,2π,7π/6,0,20,2,,
21,"Convert π/6 to degrees.",330°,240°,30°,90°,20,3,,
21,"Convert 135° to radians.",3π/4,5π/3,π/6,5π/6,20,1,,
22,"Convert π/3 to degrees.",330°,60°,270°,45°,20,2,,
22,"Convert 120° to radians.",7π/4,0,2π,2π/3,20,4,,
23,"Convert 3π/4 to degrees.",150°,45°,330°,135°,20,4,,
23,"Convert 60° to radians.",2π/3,π/3,11π/6,π/4,20,2,,
24,"Convert 7π/4 to degrees.",150°,135°,330°,315°,20,4,,
24,"Convert 180° to radians.",π,5π/3,2π,3π/4,20,1,,
25,"Convert 0 to degrees.",330°,0°,300°,90°,20,2,,
25,"Convert 300° to radians.",π/6,5π/3,7π/4,3π/2,20,2,,
26,"Convert 11π/6 to degrees.",150°,60°,330°,240°,20,3,,
26,"Convert 120° to radians.",2π/3,7π/6,π/4,5π/4,20,1,,
27,"Convert π/2 to degrees.",120°,90°,315°,210°,20,2,,
27,"Convert 330° to radians.",π,4π/3,π/2,11π/6,20,4,,
28,"Convert 3π/4 to degrees.",135°,150°,30°,315°,20,1,,
28,"Convert 240° to radians.",7π/4,4π/3,0,3π/4,20,2,,
29,"Convert 2π/3 to degrees.",315°,210°,120°,60°,20,3,,
29,"Convert 330° to radians.",π/3,5π/3,11π/6,7π/4,20,3,,
30,"Convert 5π/6 to degrees.",150°,30°,0°,240°,20,1,,
30,"Convert 150° to radians.",0,5π/6,7π/4,3π/2,20,2,,
31,"Convert 5π/4 to degrees.",225°,270°,330°,60°,20,1,,
31,"Convert 180° to radians.",π/3,π/2,π,7π/6,20,3,,
32,"Convert 2π/3 to degrees.",45°,120°,330°,90°,20,2,,
32,"Convert 180° to radians.",11π/6,π,7π/4,0,20,2,,
33,"Convert 2π/3 to degrees.",135°,120°,180°,270°,20,2,,
33,"Convert 360° to radians.",7π/6,2π,7π/4,3π/2,20,2,,
34,"Convert 0 to degrees.",240°,0°,135°,90°,20,2,,
34,"Convert 90° to radians.",5π/6,4π/3,π/2,π,20,3,,
35,"Convert 11π/6 to degrees.",135°,330°,150°,270°,20,2,,
35,"Convert 225° to radians.",3π/2,5π/4,π/4,7π/4,20,2,,
36,"Convert 3π/4 to degrees.",45°,135°,240°,225°,20,2,,
36,"Convert 270° to radians.",7π/4,0,π/6,3π/2,20,4,,
37,"Convert π/6 to degrees.",225°,30°,90°,45°,20,2,,
37,"Convert 150° to radians.",2π/3,π,5π/6,11π/6,20,3,,
38,"Convert 5π/6 to degrees.",60°,300°,150°,315°,20,3,,
38,"Convert 360° to radians.",2π,5π/4,7π/6,5π/3,20,1,,
39,"Convert 2π to degrees.",120°,225°,360°,60°,20,3,,
39,"Convert 45° to radians.",π/4,5π/6,5π/3,π/6,20,1,,
40,"Convert 3π/4 to degrees.",330°,135°,90°,210°,20,2,,
40,"Convert 60° to radians.",π/3,π/6,π/4,5π/6,20,1,,
41,"Convert 11π/6 to degrees.",210°,330°,300°,90°,20,2,,
41,"Convert 120° to radians.",3π/2,2π/3,3π/4,7π/4,20,2,,
42,"Convert 5π/6 to degrees.",240°,180°,120°,150°,20,4,,
42,"Convert 135° to radians.",7π/6,4π/3,3π/4,5π/3,20,3,,
43,"Convert π/6 to degrees.",30°,210°,225°,360°,20,1,,
43,"Convert 30° to radians.",2π,π,π/6,3π/4,20,3,,
44,"Convert 0 to degrees.",90°,0°,300°,135°,20,2,,
44,"Convert 60° to radians.",3π/2,π/3,π/2,5π/4,20,2,,
45,"Convert π/2 to degrees.",90°,150°,45°,180°,20,1,,
45,"Convert 45° to radians.",π/6,π/3,5π/4,π/4,20,4,,
46,"Convert 3π/4 to degrees.",225°,120°,135°,360°,20,3,,
46,"Convert 45° to radians.",3π/2,4π/3,π/4,2π,20,3,,
47,"Convert 2π to degrees.",45°,150°,360°,225°,20,3,,
47,"Convert 150° to radians.",2π,π,7π/6,5π/6,20,4,,
48,"Convert 5π/3 to degrees.",0°,180°,300°,45°,20,3,,
48,"Convert 270° to radians.",2π/3,5π/6,π/3,3π/2,20,4,,
49,"Convert 2π/3 to degrees.",150°,210°,120°,300°,20,3,,
49,"Convert 210° to radians.",3π/4,5π/3,7π/6,4π/3,20,3,,
50,"Convert 5π/4 to degrees.",315°,225°,180°,60°,20,2,,
50,"Convert 150° to radians.",0,5π/4,π/2,5π/6,20,4,,
51,"Convert π/3 to degrees.",150°,60°,240°,225°,20,2,,
51,"Convert 180° to radians.",5π/4,π,5π/6,11π/6,20,2,,
52,"Convert π to degrees.",30°,225°,270°,180°,20,4,,
52,"Convert 90° to radians.",π/3,π/2,5π/3,7π/4,20,2,,
53,"Convert 5π/3 to degrees.",60°,30°,300°,360°,20,3,,
53,"Convert 270° to radians.",2π/3,3π/2,π/6,4π/3,20,2,,
54,"Convert 2π to degrees.",210°,150°,360°,315°,20,3,,
54,"Convert 300° to radians.",2π/3,0,7π/4,5π/3,20,4,,
55,"Convert π/2 to degrees.",315°,360°,210°,90°,20,4,,
55,"Convert 45° to radians.",4π/3,π/4,π/2,2π/3,20,2,,
56,"Convert 5π/3 to degrees.",90°,300°,120°,150°,20,2,,
56,"Convert 180° to radians.",4π/3,π,π/3,5π/3,20,2,,
57,"Convert π/6 to degrees.",330°,30°,0°,240°,20,2,,
57,"Convert 90° to radians.",π/2,7π/4,2π,3π/4,20,1,,
58,"Convert 2π/3 to degrees.",120°,90°,45°,135°,20,1,,
58,"Convert 0° to radians.",4π/3,7π/4,3π/2,0,20,4,,
59,"Convert 2π to degrees.",360°,30°,300°,135°,20,1,,
59,"Convert 210° to radians.",4π/3,π/6,7π/6,3π/2,20,3,,
60,"Convert 2π/3 to degrees.",120°,0°,210°,240°,20,1,,
60,"Convert 270° to radians.",π/2,3π/4,3π/2,5π/4,20,3,,
61,"Convert 5π/3 to degrees.",330°,360°,300°,120°,20,3,,
61,"Convert 270° to radians.",7π/4,π/3,3π/2,π/2,20,3,,
62,"Convert 5π/3 to degrees.",300°,30°,240°,225°,20,1,,
62,"Convert 0° to radians.",2π,3π/2,0,π/3,20,3,,
63,"Convert 0 to degrees.",120°,0°,330°,240°,20,2,,
63,"Convert 45° to radians.",π/2,11π/6,2π/3,π/4,20,4,,
64,"Convert 2π to degrees.",60°,150°,30°,360°,20,4,,
64,"Convert 210° to radians.",π/4,5π/4,π,7π/6,20,4,,
65,"Convert 7π/4 to degrees.",60°,315°,45°,330°,20,2,,
65,"Convert 90° to radians.",0,π,π/3,π/2,20,4,,
66,"Convert 2π/3 to degrees.",45°,270°,120°,180°,20,3,,
66,"Convert 210° to radians.",π/6,2π/3,4π/3,7π/6,20,4,,
67,"Convert 0 to degrees.",315°,150°,0°,135°,20,3,,
67,"Convert 60° to radians.",π/2,5π/6,2π,π/3,20,4,,
68,"Convert 4π/3 to degrees.",120°,240°,300°,330°,20,2,,
68,"Convert 270° to radians.",0,3π/2,5π/4,7π/6,20,2,,
69,"Convert π to degrees.",240°,360°,135°,180°,20,4,,
69,"Convert 90° to radians.",4π/3,π/4,π/2,3π/2,20,3,,
70,"Convert 3π/2 to degrees.",225°,330°,270°,135°,20,3,,
70,"Convert 135° to radians.",π,2π/3,3π/4,4π/3,20,3,,
71,"Convert 4π/3 to degrees.",225°,240°,210°,45°,20,2,,
71,"Convert 60° to radians.",3π/4,π/6,π/3,π/2,20,3,,
72,"Convert 7π/4 to degrees.",120°,300°,30°,315°,20,4,,
72,"Convert 330° to radians.",11π/6,3π/4,5π/4,π/3,20,1,,
73,"Convert 3π/2 to degrees.",270°,225°,30°,315°,20,1,,
73,"Convert 30° to radians.",π/6,3π/4,11π/6,5π/6,20,1,,
74,"Convert π/4 to degrees.",45°,210°,300°,30°,20,1,,
74,"Convert 90° to radians.",π/3,π/2,11π/6,3π/4,20,2,,
75,"Convert 2π/3 to degrees.",45°,210°,120°,240°,20,3,,
75,"Convert 180° to radians.",11π/6,5π/3,π,2π,20,3,,
76,"Convert π to degrees.",120°,180°,270°,360°,20,2,,
76,"Convert 150° to radians.",π,7π/6,3π/4,5π/6,20,4,,
77,"Convert π/3 to degrees.",30°,300°,60°,210°,20,3,,
77,"Convert 120° to radians.",2π,2π/3,5π/4,5π/6,20,2,,
78,"Convert π/4 to degrees.",270°,150°,360°,45°,20,4,,
78,"Convert 180° to radians.",2π,3π/4,π,π/2,20,3,,
79,"Convert π/3 to degrees.",135°,60°,150°,225°,20,2,,
79,"Convert 30° to radians.",3π/4,π/6,5π/4,3π/2,20,2,,
80,"Convert π to degrees.",225°,90°,180°,150°,20,3,,
80,"Convert 150° to radians.",7π/4,2π,5π/6,11π/6,20,3,,
81,"Convert π to degrees.",180°,240°,300°,150°,20,1,,
81,"Convert 180° to radians.",5π/4,7π/6,π,π/4,20,3,,
82,"Convert 2π/3 to degrees.",270°,120°,90°,0°,20,2,,
82,"Convert 270° to radians.",3π/2,0,4π/3,2π,20,1,,
83,"Convert 7π/6 to degrees.",225°,210°,45°,120°,20,2,,
83,"Convert 150° to radians.",π/3,3π/2,5π/6,5π/4,20,3,,
84,"Convert 7π/6 to degrees.",300°,210°,270°,360°,20,2,,
84,"Convert 135° to radians.",π/4,3π/4,7π/6,4π/3,20,2,,
85,"Convert 0 to degrees.",360°,0°,210°,45°,20,2,,
85,"Convert 60° to radians.",3π/4,2π/3,π/3,2π,20,3,,
86,"Convert 5π/4 to degrees.",300°,240°,210°,225°,20,4,,
86,"Convert 45° to radians.",0,3π/2,2π/3,π/4,20,4,,
87,"Convert 5π/3 to degrees.",225°,60°,45°,300°,20,4,,
87,"Convert 30° to radians.",π/6,5π/3,0,π/3,20,1,,
88,"Convert 2π/3 to degrees.",30°,0°,120°,270°,20,3,,
88,"Convert 330° to radians.",π/4,π/3,5π/3,11π/6,20,4,,
89,"Convert 7π/6 to degrees.",180°,315°,210°,120°,20,3,,
89,"Convert 180° to radians.",11π/6,5π/6,π,7π/6,20,3,,
90,"Convert 7π/6 to degrees.",210°,225°,180°,240°,20,1,,
90,"Convert 360° to radians.",π/3,2π,5π/4,π/4,20,2,,
91,"Convert 11π/6 to degrees.",315°,270°,135°,330°,20,4,,
91,"Convert 0° to radians.",π/2,0,3π/2,3π/4,20,2,,
92,"Convert 5π/6 to degrees.",90°,315°,150°,300°,20,3,,
92,"Convert 30° to radians.",π/3,2π/3,π/6,0,20,3,,
93,"Convert 0 to degrees.",30°,240°,45°,0°,20,4,,
93,"Convert 90° to radians.",3π/4,π/2,4π/3,7π/6,20,2,,
94,"Convert 3π/2 to degrees.",270°,0°,60°,150°,20,1,,
94,"Convert 0° to radians.",5π/6,2π,0,5π/3,20,3,,
95,"Convert π to degrees.",315°,135°,225°,180°,20,4,,
95,"Convert 45° to radians.",4π/3,3π/4,7π/6,π/4,20,4,,
96,"Convert π/6 to degrees.",360°,60°,30°,330°,20,3,,
96,"Convert 90° to radians.",π/3,π/2,3π/4,2π/3,20,2,,
97,"Convert π/3 to degrees.",60°,210°,135°,240°,20,1,,
97,"Convert 0° to radians.",π/6,2π,7π/6,0,20,4,,
98,"Convert 3π/4 to degrees.",330°,135°,45°,30°,20,2,,
98,"Convert 360° to radians.",2π/3,π/3,0,2π,20,4,,
99,"Convert 11π/6 to degrees.",0°,330°,120°,45°,20,2,,
99,"Convert 360° to radians.",0,7π/4,2π,π/6,20,3,,
100,"Convert 2π to degrees.",45°,135°,360°,315°,20,3,,
100,"Convert 270° to radians.",4π/3,π/4,3π/2,11π/6,20,3,,
101,"Convert 5π/4 to degrees.",60°,0°,270°,225°,20,4,,
101,"Convert 135° to radians.",11π/6,5π/4,4π/3,3π/4,20,4,,
102,"Convert 4π/3 to degrees.",315°,270°,240°,30°,20,3,,
102,"Convert 360° to radians.",4π/3,5π/3,2π,2π/3,20,3,,
103,"Convert 7π/4 to degrees.",270°,360°,30°,315°,20,4,,
103,"Convert 90° to radians.",π/2,2π,3π/2,2π/3,20,1,,
104,"Convert 0 to degrees.",360°,0°,30°,240°,20,2,,
104,"Convert 210° to radians.",4π/3,5π/3,2π,7π/6,20,4,,
105,"Convert 7π/4 to degrees.",315°,150°,240°,360°,20,1,,
105,"Convert 330° to radians.",5π/4,7π/4,11π/6,π/2,20,3,,
106,"Convert 7π/6 to degrees.",315°,210°,135°,240°,20,2,,
106,"Convert 270° to radians.",7π/4,π/3,3π/2,5π/6,20,3,,
107,"Convert 11π/6 to degrees.",120°,150°,330°,90°,20,3,,
107,"Convert 225° to radians.",π,5π/4,2π,0,20,2,,
108,"Convert π/3 to degrees.",30°,330°,150°,60°,20,4,,
108,"Convert 270° to radians.",3π/2,7π/4,5π/6,π/2,20,1,,
109,"Convert 11π/6 to degrees.",270°,135°,330°,300°,20,3,,
109,"Convert 270° to radians.",5π/6,π,π/3,3π/2,20,4,,
110,"Convert 5π/6 to degrees.",225°,150°,315°,180°,20,2,,
110,"Convert 240° to radians.",π/4,2π/3,5π/4,4π/3,20,4,,
111,"Convert 3π/4 to degrees.",135°,45°,225°,360°,20,1,,
111,"Convert 330° to radians.",2π/3,π/4,0,11π/6,20,4,,
112,"Convert 2π/3 to degrees.",30°,120°,225°,210°,20,2,,
112,"Convert 135° to radians.",π/6,4π/3,π,3π/4,20,4,,
113,"Convert π/2 to degrees.",90°,240°,135°,0°,20,1,,
113,"Convert 60° to radians.",5π/6,7π/4,π/3,π/4,20,3,,
114,"Convert 2π to degrees.",270°,30°,360°,315°,20,3,,
114,"Convert 225° to radians.",5π/4,5π/6,π/2,7π/4,20,1,,
115,"Convert 7π/6 to degrees.",300°,210°,240°,180°,20,2,,
115,"Convert 60° to radians.",0,5π/6,π/3,5π/4,20,3,,
116,"Convert π/4 to degrees.",30°,225°,180°,45°,20,4,,
116,"Convert 315° to radians.",5π/4,7π/4,5π/6,π/3,20,2,,
117,"Convert 11π/6 to degrees.",120°,210°,300°,330°,20,4,,
117,"Convert 330° to radians.",11π/6,π/4,5π/4,2π/3,20,1,,
118,"Convert π/4 to degrees.",315°,240°,45°,135°,20,3,,
118,"Convert 120° to radians.",5π/4,π/3,7π/6,2π/3,20,4,,
119,"Convert 5π/3 to degrees.",120°,300°,90°,315°,20,2,,
119,"Convert 60° to radians.",π/6,π/3,3π/4,7π/4,20,2,,
120,"Convert π to degrees.",30°,45°,180°,240°,20,3,,
120,"Convert 180° to radians.",π,11π/6,4π/3,π/6,20,1,,
121,"Convert 2π/3 to degrees.",60°,270°,120°,150°,20,3,,
121,"Convert 45° to radians.",5π/6,7π/6,π/4,4π/3,20,3,,
122,"Convert 4π/3 to degrees.",135°,0°,210°,240°,20,4,,
122,"Convert 135° to radians.",4π/3,3π/4,11π/6,7π/4,20,2,,
123,"Convert 2π to degrees.",225°,0°,150°,360°,20,4,,
123,"Convert 330° to radians.",11π/6,0,2π/3,π/4,20,1,,
124,"Convert 5π/6 to degrees.",300°,360°,270°,150°,20,4,,
124,"Convert 120° to radians.",5π/6,5π/4,4π/3,2π/3,20,4,,
125,"Convert 2π/3 to degrees.",120°,135°,300°,330°,20,1,,
125,"Convert 180° to radians.",5π/4,π,3π/2,11π/6,20,2,,
126,"Convert π/3 to degrees.",90°,30°,135°,60°,20,4,,
126,"Convert 180° to radians.",7π/6,11π/6,π,5π/4,20,3,,
127,"Convert 0 to degrees.",180°,0°,120°,210°,20,2,,
127,"Convert 225° to radians.",7π/6,5π/4,π/6,4π/3,20,2,,
128,"Convert 4π/3 to degrees.",240°,315°,150°,210°,20,1,,
128,"Convert 225° to radians.",5π/4,3π/4,11π/6,π/4,20,1,,
129,"Convert 3π/4 to degrees.",360°,0°,150°,135°,20,4,,
129,"Convert 135° to radians.",3π/4,π/6,4π/3,11π/6,20,1,,
130,"Convert 4π/3 to degrees.",30°,330°,240°,0°,20,3,,
130,"Convert 240° to radians.",π,2π/3,2π,4π/3,20,4,,
131,"Convert 2π/3 to degrees.",210°,120°,30°,315°,20,2,,
131,"Convert 240° to radians.",2π/3,5π/4,4π/3,7π/6,20,3,,
132,"Convert π/3 to degrees.",45°,315°,60°,300°,20,3,,
132,"Convert 30° to radians.",7π/4,π/6,π/4,2π/3,20,2,,
133,"Convert π/3 to degrees.",45°,60°,210°,225°,20,2,,
133,"Convert 150° to radians.",11π/6,3π/2,π/4,5π/6,20,4,,
134,"Convert 5π/6 to degrees.",45°,270°,330°,150°,20,4,,
134,"Convert 270° to radians.",5π/3,4π/3,π/6,3π/2,20,4,,
135,"Convert 0 to degrees.",240°,210°,225°,0°,20,4,,
135,"Convert 120° to radians.",2π/3,4π/3,5π/4,7π/6,20,1,,
136,"Convert 5π/4 to degrees.",45°,120°,225°,150°,20,3,,
136,"Convert 330° to radians.",π,11π/6,2π,π/4,20,2,,
137,"Convert 3π/4 to degrees.",270°,210°,135°,330°,20,3,,
137,"Convert 0° to radians.",0,3π/2,7π/6,π/6,20,1,,
138,"Convert π to degrees.",45°,30°,270°,180°,20,4,,
138,"Convert 210° to radians.",7π/6,3π/4,π/6,3π/2,20,1,,
139,"Convert π/6 to degrees.",330°,225°,270°,30°,20,4,,
139,"Convert 120° to radians.",π/6,π/3,2π/3,5π/3,20,3,,
140,"Convert 7π/6 to degrees.",60°,135°,210°,225°,20,3,,
140,"Convert 45° to radians.",5π/3,π/4,π/2,2π,20,2,,
141,"Convert 7π/4 to degrees.",0°,150°,315°,330°,20,3,,
141,"Convert 135° to radians.",4π/3,3π/4,π/3,5π/4,20,2,,
142,"Convert π to degrees.",240°,180°,300°,60°,20,2,,
142,"Convert 225° to radians.",5π/4,π/6,0,3π/2,20,1,,
143,"Convert 5π/6 to degrees.",330°,210°,150°,180°,20,3,,
143,"Convert 60° to radians.",7π/4,π,π/3,7π/6,20,3,,
144,"Convert 11π/6 to degrees.",120°,45°,240°,330°,20,4,,
144,"Convert 180° to radians.",2π,π/4,π,3π/2,20,3,,
145,"Convert 0 to degrees.",0°,180°,240°,90°,20,1,,
145,"Convert 330° to radians.",11π/6,5π/4,3π/4,2π,20,1,,
146,"Convert π/2 to degrees.",135°,90°,180°,60°,20,2,,
146,"Convert 45° to radians.",π/4,5π/3,4π/3,3π/4,20,1,,
147,"Convert 0 to degrees.",90°,0°,135°,300°,20,2,,
147,"Convert 45° to radians.",2π,π/2,π/4,7π/4,20,3,,
148,"Convert 0 to degrees.",30°,120°,0°,300°,20,3,,
148,"Convert 45° to radians.",π,5π/4,π/4,π/3,20,3,,
149,"Convert 3π/4 to degrees.",135°,360°,0°,30°,20,1,,
149,"Convert 270° to radians.",3π/4,7π/4,3π/2,π,20,3,,
150,"Convert π to degrees.",60°,45°,135°,180°,20,4,,
150,"Convert 240° to radians.",0,2π,4π/3,π/2,20,3,,
151,"Convert π/2 to degrees.",330°,240°,150°,90°,20,4,,
151,"Convert 45° to radians.",11π/6,0,π/4,5π/3,20,3,,
152,"Convert π/3 to degrees.",360°,60°,45°,300°,20,2,,
152,"Convert 0° to radians.",2π,π/2,5π/4,0,20,4,,
153,"Convert π to degrees.",90°,0°,180°,330°,20,3,,
153,"Convert 0° to radians.",2π,3π/4,0,4π/3,20,3,,
154,"Convert π/3 to degrees.",60°,135°,150°,30°,20,1,,
154,"Convert 120° to radians.",2π/3,3π/4,4π/3,π/2,20,1,,
155,"Convert 11π/6 to degrees.",330°,150°,180°,30°,20,1,,
155,"Convert 360° to radians.",7π/4,2π/3,π/6,2π,20,4,,
156,"Convert 2π to degrees.",360°,120°,270°,240°,20,1,,
156,"Convert 210° to radians.",3π/4,7π/4,π,7π/6,20,4,,
157,"Convert 5π/3 to degrees.",300°,30°,0°,270°,20,1,,
157,"Convert 180° to radians.",5π/3,11π/6,2π,π,20,4,,
158,"Convert 7π/4 to degrees.",240°,315°,225°,0°,20,2,,
158,"Convert 180° to radians.",3π/2,5π/4,π,3π/4,20,3,,
159,"Convert π/4 to degrees.",45°,135°,360°,225°,20,1,,
159,"Convert 90° to radians.",3π/2,π/2,11π/6,4π/3,20,2,,
160,"Convert π/3 to degrees.",240°,300°,225°,60°,20,4,,
160,"Convert 45° to radians.",5π/6,11π/6,π/2,π/4,20,4,,
161,"Convert 3π/4 to degrees.",360°,180°,135°,45°,20,3,,
161,"Convert 330° to radians.",11π/6,7π/4,7π/6,3π/2,20,1,,
162,"Convert π/6 to degrees.",360°,30°,180°,225°,20,2,,
162,"Convert 150° to radians.",5π/3,2π,5π/6,π,20,3,,
163,"Convert 5π/4 to degrees.",90°,330°,210°,225°,20,4,,
163,"Convert 30° to radians.",5π/6,5π/3,π/4,π/6,20,4,,
164,"Convert π/4 to degrees.",300°,120°,45°,30°,20,3,,
164,"Convert 315° to radians.",7π/4,3π/2,π,0,20,1,,
165,"Convert 3π/2 to degrees.",90°,270°,60°,180°,20,2,,
165,"Convert 150° to radians.",5π/6,π/6,0,3π/4,20,1,,
166,"Convert π/6 to degrees.",270°,30°,360°,45°,20,2,,
166,"Convert 240° to radians.",π/2,2π,4π/3,7π/6,20,3,,
167,"Convert π/3 to degrees.",60°,240°,315°,270°,20,1,,
167,"Convert 360° to radians.",3π/4,7π/6,2π,4π/3,20,3,,
168,"Convert 0 to degrees.",0°,225°,300°,180°,20,1,,
168,"Convert 180° to radians.",π,3π/4,π/3,π/4,20,1,,
169,"Convert 3π/2 to degrees.",135°,270°,45°,60°,20,2,,
169,"Convert 270° to radians.",π/3,3π/2,7π/4,π,20,2,,
170,"Convert π/2 to degrees.",270°,120°,210°,90°,20,4,,
170,"Convert 30° to radians.",2π,3π/2,5π/6,π/6,20,4,,
171,"Convert 3π/2 to degrees.",300°,180°,225°,270°,20,4,,
171,"Convert 240° to radians.",0,4π/3,7π/4,5π/6,20,2,,
172,"Convert 11π/6 to degrees.",180°,135°,120°,330°,20,4,,
172,"Convert 60° to radians.",π/4,3π/2,π/6,π/3,20,4,,
173,"Convert π/4 to degrees.",360°,240°,45°,90°,20,3,,
173,"Convert 210° to radians.",7π/6,π/6,11π/6,π/2,20,1,,
174,"Convert 0 to degrees.",360°,45°,0°,60°,20,3,,
174,"Convert 225° to radians.",π/6,2π,11π/6,5π/4,20,4,,
175,"Convert π to degrees.",180°,135°,360°,150°,20,1,,
175,"Convert 270° to radians.",π,3π/4,π/3,3π/2,20,4,,
176,"Convert 3π/4 to degrees.",315°,135°,60°,120°,20,2,,
176,"Convert 150° to radians.",5π/4,7π/6,3π/2,5π/6,20,4,,
177,"Convert 2π to degrees.",45°,135°,360°,90°,20,3,,
177,"Convert 240° to radians.",4π/3,11π/6,3π/4,π/3,20,1,,
178,"Convert 4π/3 to degrees.",330°,225°,240°,180°,20,3,,
178,"Convert 45° to radians.",3π/4,π/4,5π/6,π/6,20,2,,
179,"Convert π/4 to degrees.",45°,315°,330°,360°,20,1,,
179,"Convert 150° to radians.",7π/6,5π/6,π/6,3π/4,20,2,,
180,"Convert 3π/4 to degrees.",135°,225°,240°,180°,20,1,,
180,"Convert 240° to radians.",0,5π/6,π/4,4π/3,20,4,,
181,"Convert 3π/2 to degrees.",225°,270°,0°,30°,20,2,,
181,"Convert 90° to radians.",π/4,π/2,4π/3,π/6,20,2,,
182,"Convert 3π/4 to degrees.",45°,135°,60°,30°,20,2,,
182,"Convert 240° to radians.",3π/4,4π/3,2π,π,20,2,,
183,"Convert 4π/3 to degrees.",225°,240°,120°,330°,20,2,,
183,"Convert 270° to radians.",π/4,4π/3,3π/2,5π/4,20,3,,
184,"Convert 11π/6 to degrees.",270°,240°,330°,315°,20,3,,
184,"Convert 135° to radians.",π/4,2π,3π/4,5π/4,20,3,,
185,"Convert 5π/3 to degrees.",135°,300°,0°,150°,20,2,,
185,"Convert 240° to radians.",π/2,11π/6,π/3,4π/3,20,4,,
186,"Convert 5π/3 to degrees.",180°,270°,300°,240°,20,3,,
186,"Convert 90° to radians.",2π/3,5π/3,π/2,π/4,20,3,,
187,"Convert 3π/4 to degrees.",60°,270°,135°,315°,20,3,,
187,"Convert 180° to radians.",7π/4,4π/3,π,3π/2,20,3,,
188,"Convert 3π/4 to degrees.",135°,360°,180°,315°,20,1,,
188,"Convert 330° to radians.",11π/6,5π/4,3π/2,0,20,1,,
189,"Convert 2π to degrees.",330°,360°,210°,270°,20,2,,
189,"Convert 315° to radians.",2π/3,2π,0,7π/4,20,4,,
190,"Convert π/3 to degrees.",270°,60°,45°,300°,20,2,,
190,"Convert 225° to radians.",7π/4,π/4,2π,5π/4,20,4,,
191,"Convert 0 to degrees.",30°,90°,0°,45°,20,3,,
191,"Convert 300° to radians.",2π/3,5π/3,3π/2,2π,20,2,,
192,"Convert 2π/3 to degrees.",225°,180°,120°,0°,20,3,,
192,"Convert 30° to radians.",7π/4,π/6,2π,11π/6,20,2,,
193,"Convert 5π/4 to degrees.",30°,45°,90°,225°,20,4,,
