"Blooket
Import Template",,,,,,,,,
21,"Select the growth factor that will model a decrease of 70%",1 - 0.3,0.3,1.3,1.7,12,2,,
22,"Select the growth factor that will model a decrease of 10%",1.1,1 + 0.9,1 - 0.9,1 - 0.1,12,4,,
23,"Select the growth factor that will model a decrease of 1%",1 + 0.99,1.99,0.01,1 - 0.01,12,4,,
24,"Select the growth factor that will model a decrease of 21%",1 + 0.21,1 - 0.79,0.79,1.79,12,3,,
25,"Select the growth factor that will model a decrease of 8%",1 - 0.92,1 - 0.08,1 + 0.08,1.08,12,2,,
26,"Select the growth factor that will model an increase of 81%",0.81,1.19,1 + 0.81,1 - 0.81,12,3,,
27,"Select the growth factor that will model an increase of 88%",0.88,0.12,1 + 0.88,1.12,12,3,,
28,"Select the growth factor that will model a decrease of 61%",1.39,1 + 0.61,1 - 0.39,1 - 0.61,12,4,,
29,"Select the growth factor that will model a decrease of 54%",0.46,1.46,1.54,0.54,12,1,,
30,"Select the growth factor that will model an increase of 79%",1 - 0.79,1.79,1 + 0.21,0.21,12,2,,
31,"Select the growth factor that will model a decrease of 10%",1.1,0.9,1 + 0.9,1 - 0.9,12,2,,
32,"Select the growth factor that will model a decrease of 75%",1.75,1 + 0.75,1 + 0.25,1 - 0.75,12,4,,
33,"Select the growth factor that will model an increase of 47%",1 - 0.47,0.47,1.53,1 + 0.47,12,4,,
34,"Select the growth factor that will model a decrease of 73%",1 + 0.73,0.27,1 - 0.27,1.27,12,2,,
35,"Select the growth factor that will model an increase of 65%",1 - 0.35,0.35,1 - 0.65,1.65,12,4,,
36,"Select the growth factor that will model an increase of 10%",0.9,1.9,1 + 0.1,1 + 0.9,12,3,,
37,"Select the growth factor that will model a decrease of 85%",1 + 0.15,1 + 0.85,1.85,0.15,12,4,,
38,"Select the growth factor that will model an increase of 19%",0.81,1 + 0.81,1 + 0.19,1 - 0.81,12,3,,
39,"Select the growth factor that will model an increase of 70%",1 + 0.7,1 - 0.7,1 + 0.3,0.7,12,1,,
40,"Select the growth factor that will model an increase of 49%",1 + 0.49,1 - 0.51,1.51,1 - 0.49,12,1,,
41,"Select the growth factor that will model a decrease of 66%",1 + 0.34,1 - 0.66,0.66,1.66,12,2,,
42,"Select the growth factor that will model a decrease of 58%",1 + 0.42,1 - 0.42,0.42,1 + 0.58,12,3,,
43,"Select the growth factor that will model an increase of 5%",0.05,1.95,1 + 0.05,1 - 0.05,12,3,,
44,"Select the growth factor that will model an increase of 54%",1 + 0.46,0.46,1 - 0.54,1 + 0.54,12,4,,
45,"Select the growth factor that will model an increase of 91%",1 + 0.09,0.91,1.09,1 + 0.91,12,4,,
46,"Select the growth factor that will model a decrease of 35%",1 + 0.35,1.35,0.35,0.65,12,4,,
47,"Select the growth factor that will model an increase of 26%",0.74,1.26,1 - 0.26,1 + 0.74,12,2,,
48,"Select the growth factor that will model an increase of 1%",1 - 0.99,1 + 0.99,1 + 0.01,0.99,12,3,,
49,"Select the growth factor that will model an increase of 89%",1 - 0.11,1.89,1.11,1 + 0.11,12,2,,
50,"Select the growth factor that will model a decrease of 36%",0.64,1 - 0.64,1.64,1.36,12,1,,
51,"Select the growth factor that will model an increase of 29%",1.71,1 - 0.29,1 - 0.71,1 + 0.29,12,4,,
52,"Select the growth factor that will model an increase of 42%",1.58,1 - 0.58,1 + 0.58,1.42,12,4,,
53,"Select the growth factor that will model an increase of 58%",0.42,0.58,1 + 0.58,1.42,12,3,,
54,"Select the growth factor that will model an increase of 60%",1 - 0.4,1 + 0.6,1.4,1 + 0.4,12,2,,
55,"Select the growth factor that will model an increase of 32%",1 + 0.68,1.32,0.68,0.32,12,2,,
56,"Select the growth factor that will model a decrease of 79%",0.79,1 + 0.21,1.79,1 - 0.79,12,4,,
57,"Select the growth factor that will model a decrease of 23%",0.23,0.77,1.77,1 - 0.77,12,2,,
58,"Select the growth factor that will model a decrease of 88%",1.12,1.88,1 + 0.88,0.12,12,4,,
59,"Select the growth factor that will model a decrease of 84%",1.84,1 + 0.84,0.84,0.16,12,4,,
60,"Select the growth factor that will model an increase of 36%",1 + 0.36,0.64,1 + 0.64,1 - 0.64,12,1,,
61,"Select the growth factor that will model a decrease of 19%",1 + 0.19,1.81,0.19,0.81,12,4,,
62,"Select the growth factor that will model a decrease of 24%",1 + 0.76,0.76,1.24,1.76,12,2,,
63,"Select the growth factor that will model a decrease of 92%",1.08,1 + 0.08,1 - 0.92,1.92,12,3,,
64,"Select the growth factor that will model an increase of 93%",0.93,1.07,1 + 0.07,1 + 0.93,12,4,,
65,"Select the growth factor that will model an increase of 74%",0.74,0.26,1.74,1 + 0.26,12,3,,
66,"Select the growth factor that will model an increase of 94%",1 - 0.94,0.94,1 + 0.94,1.06,12,3,,
67,"Select the growth factor that will model an increase of 65%",1 + 0.35,1.35,1 - 0.35,1.65,12,4,,
68,"Select the growth factor that will model an increase of 49%",1.51,1 + 0.49,0.51,1 - 0.51,12,2,,
69,"Select the growth factor that will model an increase of 17%",0.17,1 - 0.83,1 - 0.17,1 + 0.17,12,4,,
70,"Select the growth factor that will model an increase of 96%",1 - 0.04,1 + 0.96,0.96,1 + 0.04,12,2,,
71,"Select the growth factor that will model a decrease of 34%",0.66,1.66,1 - 0.66,1.34,12,1,,
72,"Select the growth factor that will model an increase of 68%",1 + 0.32,0.68,0.32,1.68,12,4,,
73,"Select the growth factor that will model a decrease of 12%",1.12,1 - 0.88,1 - 0.12,1 + 0.88,12,3,,
74,"Select the growth factor that will model a decrease of 15%",1.15,1.85,0.85,1 - 0.85,12,3,,
75,"Select the growth factor that will model a decrease of 21%",1.79,1 - 0.21,1 + 0.79,1 - 0.79,12,2,,
76,"Select the growth factor that will model a decrease of 24%",0.76,1 - 0.76,1.24,1 + 0.76,12,1,,
77,"Select the growth factor that will model an increase of 3%",0.03,1 + 0.97,0.97,1.03,12,4,,
78,"Select the growth factor that will model an increase of 21%",0.21,0.79,1 + 0.79,1 + 0.21,12,4,,
79,"Select the growth factor that will model an increase of 81%",1.81,1.19,1 - 0.19,0.81,12,1,,
80,"Select the growth factor that will model an increase of 76%",0.24,1 - 0.24,1 + 0.76,1.24,12,3,,
81,"Select the growth factor that will model an increase of 93%",1 + 0.93,1 - 0.93,1 - 0.07,1.07,12,1,,
82,"Select the growth factor that will model a decrease of 81%",1 - 0.19,0.19,0.81,1.81,12,2,,
83,"Select the growth factor that will model a decrease of 78%",1 + 0.22,1 - 0.78,0.78,1 + 0.78,12,2,,
84,"Select the growth factor that will model a decrease of 69%",0.31,1.69,1 + 0.31,1 + 0.69,12,1,,
85,"Select the growth factor that will model an increase of 82%",0.82,0.18,1.18,1 + 0.82,12,4,,
86,"Select the growth factor that will model a decrease of 28%",1 + 0.72,1.72,1.28,1 - 0.28,12,4,,
87,"Select the growth factor that will model a decrease of 93%",1.07,0.93,1.93,1 - 0.93,12,4,,
88,"Select the growth factor that will model a decrease of 37%",1 + 0.37,1 - 0.63,0.63,1 + 0.63,12,3,,
89,"Select the growth factor that will model a decrease of 27%",1 + 0.27,1.73,1 - 0.27,1 + 0.73,12,3,,
90,"Select the growth factor that will model a decrease of 61%",1 - 0.39,1.39,0.39,0.61,12,3,,
91,"Select the growth factor that will model a decrease of 44%",1.56,0.44,0.56,1 - 0.56,12,3,,
92,"Select the growth factor that will model a decrease of 94%",1.94,0.94,1 + 0.06,0.06,12,4,,
93,"Select the growth factor that will model an increase of 13%",0.87,1 - 0.13,0.13,1 + 0.13,12,4,,
94,"Select the growth factor that will model a decrease of 42%",1 + 0.58,1.58,1 + 0.42,0.58,12,4,,
95,"Select the growth factor that will model an increase of 64%",0.64,0.36,1 + 0.64,1 - 0.36,12,3,,
96,"Select the growth factor that will model an increase of 53%",0.47,0.53,1.53,1.47,12,3,,
97,"Select the growth factor that will model an increase of 95%",1 + 0.95,1 + 0.05,1.05,1 - 0.05,12,1,,
98,"Select the growth factor that will model an increase of 59%",0.59,1 + 0.59,1.41,0.41,12,2,,
99,"Select the growth factor that will model a decrease of 79%",1.21,1 + 0.79,1.79,0.21,12,4,,
100,"Select the growth factor that will model a decrease of 19%",1.19,0.81,1 + 0.19,1 - 0.81,12,2,,
101,"Select the growth factor that will model a decrease of 91%",1.09,1 - 0.91,1.91,1 + 0.09,12,2,,
102,"Select the growth factor that will model a decrease of 2%",0.02,1.98,1 - 0.02,1 + 0.98,12,3,,
103,"Select the growth factor that will model an increase of 54%",0.54,1.46,1 + 0.54,1 - 0.54,12,3,,
104,"Select the growth factor that will model a decrease of 81%",1.19,1 + 0.81,0.19,1 - 0.19,12,3,,
105,"Select the growth factor that will model an increase of 60%",0.4,1.4,1 + 0.4,1.6,12,4,,
106,"Select the growth factor that will model an increase of 34%",1 + 0.34,1 + 0.66,1 - 0.34,0.34,12,1,,
107,"Select the growth factor that will model a decrease of 67%",1 - 0.33,1 + 0.33,0.67,1 - 0.67,12,4,,
108,"Select the growth factor that will model a decrease of 38%",1 - 0.38,1 - 0.62,0.38,1 + 0.38,12,1,,
109,"Select the growth factor that will model an increase of 49%",1 + 0.49,1 - 0.51,0.49,1.51,12,1,,
110,"Select the growth factor that will model an increase of 98%",1 - 0.98,1.98,1 - 0.02,0.02,12,2,,
111,"Select the growth factor that will model a decrease of 42%",1 - 0.42,1 + 0.42,0.42,1 + 0.58,12,1,,
112,"Select the growth factor that will model an increase of 81%",1 - 0.19,0.81,1 + 0.81,1.19,12,3,,
113,"Select the growth factor that will model a decrease of 17%",0.83,1.17,0.17,1 + 0.17,12,1,,
114,"Select the growth factor that will model an increase of 18%",0.18,1.82,1 + 0.18,1 - 0.82,12,3,,
115,"Select the growth factor that will model a decrease of 44%",1 + 0.44,1 - 0.56,1 - 0.44,0.44,12,3,,
116,"Select the growth factor that will model an increase of 26%",0.74,1.74,1 - 0.26,1.26,12,4,,
117,"Select the growth factor that will model an increase of 3%",1 + 0.97,1 - 0.97,1 + 0.03,1 - 0.03,12,3,,
118,"Select the growth factor that will model a decrease of 54%",1 + 0.54,1.46,0.46,1 + 0.46,12,3,,
119,"Select the growth factor that will model an increase of 41%",1.41,1 - 0.41,0.41,1 + 0.59,12,1,,
120,"Select the growth factor that will model a decrease of 29%",1 + 0.71,1.29,1 - 0.29,0.29,12,3,,
121,"Select the growth factor that will model a decrease of 34%",1.66,1.34,1 - 0.34,1 + 0.34,12,3,,
122,"Select the growth factor that will model an increase of 29%",1.29,1 - 0.71,0.71,0.29,12,1,,
123,"Select the growth factor that will model a decrease of 47%",1 - 0.47,0.47,1.47,1.53,12,1,,
124,"Select the growth factor that will model a decrease of 90%",1 + 0.9,1.9,0.1,1.1,12,3,,
125,"Select the growth factor that will model a decrease of 76%",0.76,1.24,1 - 0.24,1 - 0.76,12,4,,
126,"Select the growth factor that will model a decrease of 80%",0.2,1.2,1 + 0.8,0.8,12,1,,
127,"Select the growth factor that will model an increase of 29%",1 + 0.71,1.71,0.71,1 + 0.29,12,4,,
128,"Select the growth factor that will model a decrease of 17%",1 + 0.83,0.83,0.17,1.83,12,2,,
129,"Select the growth factor that will model an increase of 30%",0.3,1 - 0.7,1 - 0.3,1 + 0.3,12,4,,
130,"Select the growth factor that will model a decrease of 96%",1.96,1 + 0.04,1 - 0.96,1 - 0.04,12,3,,
131,"Select the growth factor that will model a decrease of 55%",1 - 0.55,0.55,1.55,1 + 0.45,12,1,,
132,"Select the growth factor that will model an increase of 33%",1 + 0.33,1 + 0.67,1.67,1 - 0.33,12,1,,
133,"Select the growth factor that will model an increase of 4%",1 + 0.96,1.04,0.96,1 - 0.04,12,2,,
134,"Select the growth factor that will model a decrease of 82%",0.82,1.82,1 + 0.18,0.18,12,4,,
135,"Select the growth factor that will model a decrease of 61%",1.61,1.39,0.39,0.61,12,3,,
136,"Select the growth factor that will model a decrease of 91%",1.09,0.91,1 - 0.09,0.09,12,4,,
137,"Select the growth factor that will model an increase of 5%",1 - 0.95,0.05,1.95,1 + 0.05,12,4,,
138,"Select the growth factor that will model an increase of 60%",1 + 0.6,0.4,1.4,1 - 0.4,12,1,,
139,"Select the growth factor that will model a decrease of 69%",0.69,0.31,1 - 0.31,1 + 0.31,12,2,,
140,"Select the growth factor that will model a decrease of 99%",1 - 0.01,1 + 0.01,1 - 0.99,0.99,12,3,,
141,"Select the growth factor that will model a decrease of 75%",1 + 0.75,0.25,0.75,1.75,12,2,,
142,"Select the growth factor that will model an increase of 68%",1.68,1 - 0.68,0.68,0.32,12,1,,
143,"Select the growth factor that will model a decrease of 88%",0.12,0.88,1 - 0.12,1 + 0.12,12,1,,
144,"Select the growth factor that will model a decrease of 46%",1.54,1 - 0.46,1.46,1 + 0.46,12,2,,
145,"Select the growth factor that will model a decrease of 80%",1 + 0.8,1.8,1 - 0.8,1 - 0.2,12,3,,
146,"Select the growth factor that will model a decrease of 46%",1 - 0.46,1 - 0.54,0.46,1.46,12,1,,
147,"Select the growth factor that will model a decrease of 64%",0.64,1 + 0.64,1 + 0.36,1 - 0.64,12,4,,
148,"Select the growth factor that will model an increase of 2%",1 - 0.98,0.98,1.02,1.98,12,3,,
149,"Select the growth factor that will model an increase of 89%",1 + 0.89,0.11,1 - 0.89,1.11,12,1,,
150,"Select the growth factor that will model a decrease of 45%",1.55,1 - 0.55,0.45,1 - 0.45,12,4,,
151,"Select the growth factor that will model a decrease of 34%",1 + 0.66,1.34,1 - 0.66,0.66,12,4,,
152,"Select the growth factor that will model an increase of 60%",1.6,1 - 0.4,1 - 0.6,0.4,12,1,,
153,"Select the growth factor that will model an increase of 39%",1.39,1 - 0.61,1.61,0.39,12,1,,
154,"Select the growth factor that will model an increase of 12%",1 - 0.88,1 + 0.12,0.12,0.88,12,2,,
155,"Select the growth factor that will model an increase of 4%",1.04,1 - 0.04,0.04,1 + 0.96,12,1,,
156,"Select the growth factor that will model an increase of 61%",0.39,1 + 0.61,1 + 0.39,1.39,12,2,,
157,"Select the growth factor that will model a decrease of 29%",1.71,1 + 0.71,1 - 0.71,0.71,12,4,,
158,"Select the growth factor that will model an increase of 92%",0.08,1 - 0.92,1 + 0.92,1 - 0.08,12,3,,
159,"Select the growth factor that will model a decrease of 30%",1 - 0.3,0.3,1.3,1 + 0.3,12,1,,
160,"Select the growth factor that will model an increase of 1%",1 + 0.99,1 - 0.99,1.99,1 + 0.01,12,4,,
161,"Select the growth factor that will model an increase of 52%",1 + 0.48,0.52,1 + 0.52,0.48,12,3,,
162,"Select the growth factor that will model a decrease of 88%",1 + 0.88,1.12,1 + 0.12,1 - 0.88,12,4,,
163,"Select the growth factor that will model a decrease of 89%",0.89,0.11,1 + 0.11,1 - 0.11,12,2,,
164,"Select the growth factor that will model a decrease of 93%",0.07,1 - 0.07,1 + 0.93,1.07,12,1,,
165,"Select the growth factor that will model a decrease of 11%",0.89,0.11,1 + 0.89,1.89,12,1,,
166,"Select the growth factor that will model an increase of 72%",1 - 0.72,1 - 0.28,1.72,1 + 0.28,12,3,,
167,"Select the growth factor that will model a decrease of 98%",0.02,0.98,1 - 0.02,1.98,12,1,,
168,"Select the growth factor that will model an increase of 41%",1 - 0.41,1 + 0.41,0.59,1.59,12,2,,
169,"Select the growth factor that will model an increase of 52%",0.52,1 + 0.48,1.48,1.52,12,4,,
170,"Select the growth factor that will model an increase of 30%",1 - 0.7,1 - 0.3,0.3,1.3,12,4,,
171,"Select the growth factor that will model an increase of 49%",0.51,1.49,1 + 0.51,0.49,12,2,,
172,"Select the growth factor that will model an increase of 2%",1 + 0.98,0.98,1.02,0.02,12,3,,
173,"Select the growth factor that will model an increase of 97%",1 - 0.03,0.97,0.03,1.97,12,4,,
174,"Select the growth factor that will model a decrease of 31%",1.69,1 - 0.69,1 - 0.31,1.31,12,3,,
175,"Select the growth factor that will model a decrease of 52%",0.48,1 + 0.52,1 + 0.48,1 - 0.48,12,1,,
176,"Select the growth factor that will model a decrease of 56%",1 + 0.56,0.44,0.56,1.56,12,2,,
177,"Select the growth factor that will model a decrease of 18%",1 + 0.18,0.18,1 - 0.82,0.82,12,4,,
178,"Select the growth factor that will model a decrease of 16%",0.84,1.16,1 - 0.84,1.84,12,1,,
179,"Select the growth factor that will model an increase of 19%",1.81,0.19,1 + 0.19,1 + 0.81,12,3,,
180,"Select the growth factor that will model an increase of 64%",1 + 0.64,0.36,1 - 0.36,1.36,12,1,,
181,"Select the growth factor that will model a decrease of 46%",0.46,1.46,0.54,1 - 0.54,12,3,,
182,"Select the growth factor that will model a decrease of 73%",1 + 0.73,0.73,0.27,1 + 0.27,12,3,,
183,"Select the growth factor that will model a decrease of 92%",1 + 0.08,1 - 0.08,0.08,1 + 0.92,12,3,,
184,"Select the growth factor that will model an increase of 73%",1 + 0.73,0.27,1 - 0.73,1.27,12,1,,
185,"Select the growth factor that will model an increase of 29%",0.29,1 - 0.71,0.71,1.29,12,4,,
186,"Select the growth factor that will model an increase of 21%",0.79,1 - 0.79,1 + 0.21,1 + 0.79,12,3,,
187,"Select the growth factor that will model an increase of 89%",0.89,1 - 0.11,1 + 0.89,1 - 0.89,12,3,,
188,"Select the growth factor that will model a decrease of 96%",1 + 0.96,1.96,0.96,0.04,12,4,,
189,"Select the growth factor that will model an increase of 98%",0.02,0.98,1 - 0.02,1 + 0.98,12,4,,
190,"Select the growth factor that will model a decrease of 53%",0.53,1 - 0.53,1 - 0.47,1.47,12,2,,
191,"Select the growth factor that will model a decrease of 28%",1 - 0.72,1 + 0.28,0.72,1.28,12,3,,
192,"Select the growth factor that will model a decrease of 2%",1 - 0.98,1.98,0.98,1.02,12,3,,
193,"Select the growth factor that will model a decrease of 32%",0.32,1 + 0.68,1 - 0.32,1.68,12,3,,
194,"Select the growth factor that will model an increase of 39%",1 + 0.61,1 + 0.39,1 - 0.61,0.39,12,2,,
195,"Select the growth factor that will model an increase of 47%",0.47,1.47,1 - 0.47,0.53,12,2,,
196,"Select the growth factor that will model a decrease of 55%",0.55,1 - 0.55,1.55,1 - 0.45,12,2,,
197,"Select the growth factor that will model an increase of 39%",1 - 0.61,1 + 0.39,1.61,0.61,12,2,,
198,"Select the growth factor that will model an increase of 54%",1.54,1 - 0.46,0.46,1.46,12,1,,
199,"Select the growth factor that will model an increase of 5%",1 + 0.95,0.95,1.95,1 + 0.05,12,4,,
200,"Select the growth factor that will model an increase of 97%",1 + 0.03,1 + 0.97,0.03,0.97,12,2,,
201,"Select the growth factor that will model a decrease of 28%",1 + 0.28,1 - 0.72,1.72,0.72,12,4,,
202,"Select the growth factor that will model a decrease of 85%",1 - 0.15,1.85,0.15,1 + 0.15,12,3,,
203,"Select the growth factor that will model a decrease of 84%",1.16,1 + 0.16,1 - 0.84,1.84,12,3,,
204,"Select the growth factor that will model an increase of 96%",1 - 0.04,1 - 0.96,1.96,1 + 0.04,12,3,,
205,"Select the growth factor that will model an increase of 49%",0.49,0.51,1.49,1 - 0.49,12,3,,
206,"Select the growth factor that will model an increase of 51%",1 + 0.51,0.51,1.49,1 + 0.49,12,1,,
207,"Select the growth factor that will model an increase of 77%",1.77,1.23,1 + 0.23,1 - 0.23,12,1,,
208,"Select the growth factor that will model a decrease of 5%",1.05,1 + 0.95,0.05,0.95,12,4,,
209,"Select the growth factor that will model a decrease of 38%",1 - 0.62,1 + 0.38,1 + 0.62,0.62,12,4,,
210,"Select the growth factor that will model an increase of 7%",1 + 0.93,1 - 0.07,1.93,1.07,12,4,,
211,"Select the growth factor that will model a decrease of 12%",1 - 0.88,1 + 0.88,0.88,1.88,12,3,,
212,"Select the growth factor that will model a decrease of 65%",1.35,1 + 0.35,0.65,1 - 0.65,12,4,,
213,"Select the growth factor that will model an increase of 80%",0.2,1.8,1 - 0.8,1 + 0.2,12,2,,
214,"Select the growth factor that will model an increase of 85%",1.85,1 + 0.15,0.15,1 - 0.85,12,1,,
215,"Select the growth factor that will model an increase of 81%",1 + 0.19,1.81,1.19,1 - 0.19,12,2,,
216,"Select the growth factor that will model an increase of 28%",1 + 0.28,1.72,1 - 0.72,1 + 0.72,12,1,,
217,"Select the growth factor that will model an increase of 48%",1.52,1 + 0.48,1 - 0.52,1 - 0.48,12,2,,
218,"Select the growth factor that will model an increase of 80%",0.2,1 + 0.2,1.8,1 - 0.8,12,3,,
219,"Select the growth factor that will model an increase of 35%",1.65,1 + 0.35,1 - 0.65,0.65,12,2,,
220,"Select the growth factor that will model an increase of 10%",1.1,1.9,1 - 0.1,0.9,12,1,,
221,"Select the growth factor that will model an increase of 23%",1.23,0.23,1 + 0.77,0.77,12,1,,
222,"Select the growth factor that will model an increase of 54%",1 - 0.46,1.54,0.54,1 + 0.46,12,2,,
223,"Select the growth factor that will model a decrease of 99%",0.99,0.01,1.01,1 + 0.01,12,2,,
224,"Select the growth factor that will model a decrease of 79%",1.79,0.21,1 + 0.79,1.21,12,2,,
225,"Select the growth factor that will model an increase of 21%",1.21,1.79,0.21,1 + 0.79,12,1,,
226,"Select the growth factor that will model an increase of 39%",1 + 0.39,0.39,1 + 0.61,1 - 0.39,12,1,,
227,"Select the growth factor that will model a decrease of 81%",1 - 0.81,1 + 0.81,1 + 0.19,1.19,12,1,,
228,"Select the growth factor that will model a decrease of 86%",0.86,1 + 0.86,0.14,1.86,12,3,,
229,"Select the growth factor that will model an increase of 73%",0.27,0.73,1 + 0.73,1 - 0.73,12,3,,
230,"Select the growth factor that will model an increase of 70%",1.3,1 + 0.3,1 - 0.7,1 + 0.7,12,4,,
231,"Select the growth factor that will model an increase of 57%",1 + 0.57,1 - 0.43,0.43,1 - 0.57,12,1,,
232,"Select the growth factor that will model an increase of 63%",1.37,1 + 0.37,1.63,0.63,12,3,,
233,"Select the growth factor that will model an increase of 5%",0.05,1.95,1 - 0.05,1.05,12,4,,
234,"Select the growth factor that will model a decrease of 66%",1 + 0.66,1 - 0.66,1.66,1 - 0.34,12,2,,
235,"Select the growth factor that will model a decrease of 33%",0.33,1 - 0.33,1 + 0.33,1.67,12,2,,
236,"Select the growth factor that will model an increase of 36%",0.36,1.64,0.64,1 + 0.36,12,4,,
237,"Select the growth factor that will model an increase of 19%",1.19,0.19,1 - 0.81,1 + 0.81,12,1,,
238,"Select the growth factor that will model a decrease of 27%",0.27,1.73,0.73,1 + 0.73,12,3,,
239,"Select the growth factor that will model an increase of 9%",1 + 0.09,0.91,1.91,1 - 0.91,12,1,,
240,"Select the growth factor that will model an increase of 25%",1 - 0.75,1 - 0.25,1 + 0.75,1 + 0.25,12,4,,
241,"Select the growth factor that will model an increase of 12%",1 - 0.12,1 + 0.12,1.88,1 + 0.88,12,2,,
242,"Select the growth factor that will model an increase of 77%",1 + 0.77,1 - 0.23,1 + 0.23,1.23,12,1,,
243,"Select the growth factor that will model a decrease of 73%",1 - 0.73,1 - 0.27,0.73,1 + 0.73,12,1,,
244,"Select the growth factor that will model a decrease of 73%",0.27,0.73,1 + 0.27,1 - 0.27,12,1,,
245,"Select the growth factor that will model a decrease of 48%",0.52,1.48,1 + 0.48,0.48,12,1,,
246,"Select the growth factor that will model an increase of 88%",1 + 0.88,1 - 0.88,1 - 0.12,0.88,12,1,,
247,"Select the growth factor that will model a decrease of 58%",0.58,1 - 0.42,1.42,0.42,12,4,,
248,"Select the growth factor that will model a decrease of 24%",1.24,1 - 0.76,1 + 0.76,0.76,12,4,,
249,"Select the growth factor that will model a decrease of 90%",1 + 0.1,0.9,1 - 0.9,1 + 0.9,12,3,,
250,"Select the growth factor that will model a decrease of 77%",1 + 0.23,0.23,1 - 0.23,1 + 0.77,12,2,,
251,"Select the growth factor that will model a decrease of 95%",1.05,1 - 0.95,1 + 0.05,1 + 0.95,12,2,,
252,"Select the growth factor that will model an increase of 76%",1 + 0.24,0.24,1 - 0.76,1 + 0.76,12,4,,
253,"Select the growth factor that will model an increase of 54%",1 - 0.54,0.46,1 + 0.54,1 + 0.46,12,3,,
254,"Select the growth factor that will model a decrease of 86%",1 + 0.86,1 - 0.86,0.86,1 + 0.14,12,2,,
255,"Select the growth factor that will model an increase of 86%",1 - 0.86,0.14,0.86,1 + 0.86,12,4,,
256,"Select the growth factor that will model a decrease of 90%",1 - 0.9,1 + 0.9,0.9,1.9,12,1,,
257,"Select the growth factor that will model a decrease of 15%",0.85,1 - 0.85,1 + 0.85,1 + 0.15,12,1,,
258,"Select the growth factor that will model an increase of 62%",0.38,1 - 0.62,1.62,1 - 0.38,12,3,,
259,"Select the growth factor that will model a decrease of 28%",1.72,1 + 0.72,1 + 0.28,0.72,12,4,,
260,"Select the growth factor that will model an increase of 86%",1 + 0.14,1 + 0.86,1.14,1 - 0.14,12,2,,
261,"Select the growth factor that will model a decrease of 51%",0.51,1 + 0.49,1 - 0.51,1 - 0.49,12,3,,
262,"Select the growth factor that will model a decrease of 11%",1 - 0.89,1 + 0.11,0.89,1.11,12,3,,
263,"Select the growth factor that will model a decrease of 56%",1 - 0.44,1 + 0.44,1 - 0.56,1 + 0.56,12,3,,
264,"Select the growth factor that will model a decrease of 90%",1 + 0.1,1 - 0.9,1 + 0.9,1.9,12,2,,
265,"Select the growth factor that will model an increase of 8%",1 + 0.08,0.08,0.92,1.92,12,1,,
266,"Select the growth factor that will model a decrease of 10%",1.1,1 - 0.1,1 + 0.9,1.9,12,2,,
267,"Select the growth factor that will model an increase of 79%",1 - 0.79,0.21,1 + 0.21,1.79,12,4,,
268,"Select the growth factor that will model an increase of 45%",1.55,1.45,0.55,1 - 0.45,12,2,,
269,"Select the growth factor that will model an increase of 56%",1.56,1 - 0.44,1 - 0.56,1 + 0.44,12,1,,
