"Blooket
Import Template",,,,,,,,,
49,"Expand (FOIL) the expression:

(x-3)(x-12)",x^2 + 9x - 36,x^2 - 16x + 36,x^2 - 15x + 24,x^2 - 15x + 36,60,4,,
50,"Expand (FOIL) the expression:

(x+8)(x+9)",x^2 + 16x + 72,x^2 + 18x + 72,x^2 + 17x + 72,x^2 + 15x + 72,60,3,,
51,"Expand (FOIL) the expression:

(x+2)(x-10)",x^2 + 20,x^2 - 10x - 20,x^2 - 8x + 20,x^2 - 8x - 20,60,4,,
52,"Expand (FOIL) the expression:

(x-11)(x-3)",x^2 - 14x + 33,x^2 + 33,x^2 + 33x - 14,x^2 - 14x - 33,60,1,,
53,"Expand (FOIL) the expression:

(x+9)(x+11)",x^2 + 20x + 110,x^2 + 20x + 88,x^2 + 20x + 99,x^2 + 99x - 20,60,3,,
54,"Expand (FOIL) the expression:

(x+8)(x-6)",x^2 + 2x - 40,x^2 + 2x - 42,x^2 - 48x - 2,x^2 + 2x - 48,60,4,,
55,"Expand (FOIL) the expression:

(x-2)(x-8)",x^2 + 10x + 16,x^2 - 11x + 16,x^2 + 6x - 16,x^2 - 10x + 16,60,4,,
56,"Expand (FOIL) the expression:

(x+8)(x+7)",x^2 + 15x + 56,x^2 - 15x + 56,x^2 + 15x + 64,x^2 + 56x - 15,60,1,,
57,"Expand (FOIL) the expression:

(x-7)(x+11)",x^2 - 77,x^2 + 2x - 77,x^2 + 4x - 77,x^2 + 18x + 77,60,3,,
58,"Expand (FOIL) the expression:

(x+12)(x+1)",x^2 + 13x + 12,x^2 + 13x + 24,x^2 - 12x + 13,x^2 - 12,60,1,,
59,"Expand (FOIL) the expression:

(x-8)(x+2)",x^2 - 8x - 16,x^2 + 6x + 16,x^2 - 6x - 16,x^2 + 16,60,3,,
60,"Expand (FOIL) the expression:

(x-1)(x+11)",x^2 + 10x - 11,x^2 + 10x - 12,x^2 - 10x - 11,x^2 + 10x - 10,60,1,,
61,"Expand (FOIL) the expression:

(x+7)(x+3)",x^2 + 8x + 21,x^2 + 10x + 21,x^2 + 9x + 21,x^2 + 10x + 14,60,2,,
62,"Expand (FOIL) the expression:

(x-11)(x-8)",x^2 + 88,x^2 - 19x + 88,x^2 - 20x + 88,x^2 + 19x + 88,60,2,,
63,"Expand (FOIL) the expression:

(x-3)(x+10)",x^2 + 13x + 30,x^2 + 7x - 27,x^2 + 7x - 30,x^2 + 6x - 30,60,3,,
64,"Expand (FOIL) the expression:

(x+12)(x-6)",x^2 + 6x - 72,x^2 + 4x - 72,x^2 - 6x - 72,x^2 - 72x - 6,60,1,,
65,"Expand (FOIL) the expression:

(x+2)(x-8)",x^2 - 6x - 16,x^2 - 5x - 16,x^2 + 10x + 16,x^2 - 6x - 24,60,1,,
66,"Expand (FOIL) the expression:

(x+5)(x+11)",x^2 + 16x + 60,x^2 + 16x + 55,x^2 + 55,x^2 + 14x + 55,60,2,,
67,"Expand (FOIL) the expression:

(x-3)(x-5)",x^2 + 15x - 8,x^2 - 7x + 15,x^2 - 8x + 15,x^2 - 15x - 8,60,3,,
68,"Expand (FOIL) the expression:

(x-9)(x-10)",x^2 + 19x - 90,x^2 - 90x + 19,x^2 - 19x + 90,x^2 - x + 90,60,3,,
69,"Expand (FOIL) the expression:

(x+6)(x+7)",x^2 + 13x + 42,x^2 - 13x - 42,x^2 + 13x + 48,x^2 - 42x - 13,60,1,,
70,"Expand (FOIL) the expression:

(x-1)(x-8)",x^2 - 9x + 9,x^2 - 10x + 8,x^2 - 9x + 8,x^2 - 9x + 16,60,3,,
71,"Expand (FOIL) the expression:

(x-10)(x+8)",x^2 - 2x - 80,x^2 - 2x - 72,x^2 - 80,x^2 - 18x - 80,60,1,,
72,"Expand (FOIL) the expression:

(x-2)(x-3)",x^2 - x - 6,x^2 + 5x + 6,x^2 - 6x - 5,x^2 - 5x + 6,60,4,,
73,"Expand (FOIL) the expression:

(x-6)(x+3)",x^2 - 3x - 18,x^2 - 18x + 3,x^2 - 4x - 18,x^2 - 3x - 21,60,1,,
74,"Expand (FOIL) the expression:

(x-6)(x-11)",x^2 - 16x + 66,x^2 - 17x + 55,x^2 - 17x + 66,x^2 + 66,60,3,,
75,"Expand (FOIL) the expression:

(x-10)(x-5)",x^2 - 15x + 60,x^2 - 13x + 50,x^2 - 15x - 50,x^2 - 15x + 50,60,4,,
76,"Expand (FOIL) the expression:

(x+3)(x-6)",x^2 - 3x - 18,x^2 + 9x + 18,x^2 + 3x + 18,x^2 - 3x - 21,60,1,,
77,"Expand (FOIL) the expression:

(x+2)(x-5)",x^2 - 3x - 10,x^2 - 5x - 10,x^2 - 3x - 5,x^2 - 3x - 15,60,1,,
78,"Expand (FOIL) the expression:

(x+10)(x+4)",x^2 + 14x + 40,x^2 + 6x + 40,x^2 + 15x + 40,x^2 + 16x + 40,60,1,,
79,"Expand (FOIL) the expression:

(x-3)(x+8)",x^2 - 11x + 24,x^2 + 24x - 5,x^2 + 6x - 24,x^2 + 5x - 24,60,4,,
80,"Expand (FOIL) the expression:

(x+11)(x-10)",x^2 + 21x - 110,x^2 + x - 110,x^2 - 21x + 110,x^2 + 3x - 110,60,2,,
81,"Expand (FOIL) the expression:

(x+3)(x+5)",x^2 + 6x + 15,x^2 + 10x + 15,x^2 + 15,x^2 + 8x + 15,60,4,,
82,"Expand (FOIL) the expression:

(x-9)(x+9)",x^2 - 81,x^2 - 2x - 81,x^2 + 18x + 81,x^2 - 18x - 81,60,1,,
83,"Expand (FOIL) the expression:

(x-4)(x-2)",x^2 + 6x - 8,x^2 - 8x - 6,x^2 - 6x + 8,x^2 - 6x - 8,60,3,,
84,"Expand (FOIL) the expression:

(x+6)(x+12)",x^2 + 18x + 84,x^2 + 17x + 72,x^2 + 16x + 72,x^2 + 18x + 72,60,4,,
85,"Expand (FOIL) the expression:

(x+12)(x-11)",x^2 + x - 132,x^2 - 132x - 1,x^2 - x + 132,x^2 + x - 121,60,1,,
86,"Expand (FOIL) the expression:

(x+9)(x-12)",x^2 - 3x + 108,x^2 - 3x - 117,x^2 - 3x - 108,x^2 - 3x - 99,60,3,,
87,"Expand (FOIL) the expression:

(x-5)(x+2)",x^2 - 3x - 10,x^2 - 3x - 12,x^2 - 10x - 3,x^2 + 10x - 3,60,1,,
88,"Expand (FOIL) the expression:

(x-4)(x-1)",x^2 - 7x + 4,x^2 - 5x + 4,x^2 - 6x + 4,x^2 - 3x + 4,60,2,,
89,"Expand (FOIL) the expression:

(x-12)(x-6)",x^2 - 16x + 72,x^2 - 18x + 72,x^2 + 72,x^2 - 72,60,2,,
90,"Expand (FOIL) the expression:

(x-2)(x-2)",x^2 - 4x + 4,x^2 + 4x - 4,x^2 - 2x + 4,x^2 - 6x + 4,60,1,,
91,"Expand (FOIL) the expression:

(x-5)(x-8)",x^2 - 40x - 13,x^2 - 40,x^2 - 13x + 40,x^2 + 13x + 40,60,3,,
92,"Expand (FOIL) the expression:

(x+11)(x+7)",x^2 + 77x - 18,x^2 + 18x + 77,x^2 + 17x + 77,x^2 + 77,60,2,,
93,"Expand (FOIL) the expression:

(x-10)(x-10)",x^2 - 100x - 20,x^2 + 20x + 100,x^2 - 20x + 100,x^2 - 22x + 100,60,3,,
94,"Expand (FOIL) the expression:

(x+9)(x+6)",x^2 + 16x + 54,x^2 + 15x + 60,x^2 + 15x + 54,x^2 - 54x - 15,60,3,,
95,"Expand (FOIL) the expression:

(x-9)(x-11)",x^2 + 99x + 20,x^2 - 20x + 99,x^2 - 19x + 99,x^2 + 20x - 99,60,2,,
96,"Expand (FOIL) the expression:

(x+7)(x+11)",x^2 + 18x + 66,x^2 + 18x + 77,x^2 + 77x - 18,x^2 + 16x + 77,60,2,,
97,"Expand (FOIL) the expression:

(x+7)(x-4)",x^2 + 11x - 28,x^2 + 3x - 28,x^2 + 3x - 32,x^2 + x - 28,60,2,,
98,"Expand (FOIL) the expression:

(x-11)(x-10)",x^2 - 21x + 121,x^2 - 21x - 110,x^2 + x - 110,x^2 - 21x + 110,60,4,,
99,"Expand (FOIL) the expression:

(x-11)(x-4)",x^2 - 13x + 44,x^2 + 7x + 44,x^2 - 15x - 44,x^2 - 15x + 44,60,4,,
100,"Expand (FOIL) the expression:

(x+12)(x-5)",x^2 + 17x - 60,x^2 + 7x - 60,x^2 + 8x - 60,x^2 + 17x + 60,60,2,,
101,"Expand (FOIL) the expression:

(x-7)(x-4)",x^2 + 3x + 28,x^2 - 28x + 11,x^2 + 3x - 28,x^2 - 11x + 28,60,4,,
102,"Expand (FOIL) the expression:

(x+1)(x-1)",x^2 + 2x + 1,x^2 + 1,x^2 - 1,x^2 - 2,60,3,,
103,"Expand (FOIL) the expression:

(x+7)(x+9)",x^2 + 63,x^2 + 63x - 16,x^2 + 17x + 63,x^2 + 16x + 63,60,4,,
104,"Expand (FOIL) the expression:

(x-2)(x-6)",x^2 - 4x - 12,x^2 - 8x + 12,x^2 + 8x - 12,x^2 - 9x + 12,60,2,,
105,"Expand (FOIL) the expression:

(x-1)(x+4)",x^2 + 4x + 3,x^2 + 3x - 4,x^2 + 4x - 3,x^2 + 3x - 8,60,2,,
106,"Expand (FOIL) the expression:

(x+6)(x+3)",x^2 + 9x + 18,x^2 + 18,x^2 + 9x - 18,x^2 - 18,60,1,,
107,"Expand (FOIL) the expression:

(x-2)(x+12)",x^2 + 10x - 12,x^2 + 10x - 24,x^2 + 8x - 24,x^2 + 24x + 10,60,2,,
108,"Expand (FOIL) the expression:

(x+9)(x+5)",x^2 - 4x - 45,x^2 + 14x + 45,x^2 + 14x + 40,x^2 - 4x + 45,60,2,,
109,"Expand (FOIL) the expression:

(x-3)(x+6)",x^2 + 9x + 18,x^2 + 3x - 18,x^2 + 5x - 18,x^2 + 3x - 15,60,2,,
110,"Expand (FOIL) the expression:

(x+4)(x+5)",x^2 + x - 20,x^2 + 9x + 20,x^2 + 20x - 9,x^2 + 7x + 20,60,2,,
111,"Expand (FOIL) the expression:

(x+6)(x-5)",x^2 + 30,x^2 + x - 30,x^2 - 30,x^2 + 11x + 30,60,2,,
112,"Expand (FOIL) the expression:

(x+8)(x-8)",x^2 - 64,x^2 + 16x + 64,x^2 - 64x,x^2 + x - 64,60,1,,
113,"Expand (FOIL) the expression:

(x+1)(x-6)",x^2 - 5x - 6,x^2 - 5x - 5,x^2 - 6,x^2 + 7x - 6,60,1,,
114,"Expand (FOIL) the expression:

(x-8)(x-6)",x^2 + 14x - 48,x^2 - 14x + 48,x^2 - 12x + 48,x^2 - 48,60,2,,
115,"Expand (FOIL) the expression:

(x-3)(x+7)",x^2 - 10x + 21,x^2 - 21x + 4,x^2 + 5x - 21,x^2 + 4x - 21,60,4,,
116,"Expand (FOIL) the expression:

(x+7)(x-5)",x^2 - 35x + 2,x^2 + 2x - 35,x^2 + 4x - 35,x^2 - 12x - 35,60,2,,
117,"Expand (FOIL) the expression:

(x+4)(x-8)",x^2 - 4x - 32,x^2 + 12x - 32,x^2 - 32,x^2 - 4x - 28,60,1,,
118,"Expand (FOIL) the expression:

(x+8)(x-11)",x^2 - 4x - 88,x^2 - 3x - 80,x^2 - 2x - 88,x^2 - 3x - 88,60,4,,
119,"Expand (FOIL) the expression:

(x-5)(x-3)",x^2 - 8x + 15,x^2 - 8x - 15,x^2 - 8x + 20,x^2 + 8x - 15,60,1,,
120,"Expand (FOIL) the expression:

(x+3)(x+5)",x^2 + 2x + 15,x^2 - 8x + 15,x^2 + 15,x^2 + 8x + 15,60,4,,
121,"Expand (FOIL) the expression:

(x-3)(x-12)",x^2 - 9x - 36,x^2 - 36x - 15,x^2 - 15x + 36,x^2 - 15x + 48,60,3,,
122,"Expand (FOIL) the expression:

(x-7)(x-4)",x^2 - 3x + 28,x^2 - 3x - 28,x^2 - 11x + 24,x^2 - 11x + 28,60,4,,
123,"Expand (FOIL) the expression:

(x+8)(x-10)",x^2 - 4x - 80,x^2 - 2x - 80,x^2 + 2x - 80,x^2 - 2x - 90,60,2,,
124,"Expand (FOIL) the expression:

(x-2)(x+8)",x^2 + 6x - 16,x^2 - 16,x^2 - 16x - 6,x^2 + 7x - 16,60,1,,
125,"Expand (FOIL) the expression:

(x-5)(x+8)",x^2 + 2x - 40,x^2 + 40x - 3,x^2 + x - 40,x^2 + 3x - 40,60,4,,
126,"Expand (FOIL) the expression:

(x-11)(x+7)",x^2 + 4x + 77,x^2 - 4x - 77,x^2 + 77,x^2 + 18x + 77,60,2,,
127,"Expand (FOIL) the expression:

(x+10)(x+6)",x^2 + 16x + 60,x^2 - 60x + 16,x^2 + 16x + 54,x^2 + 4x + 60,60,1,,
128,"Expand (FOIL) the expression:

(x+10)(x+6)",x^2 + 16x + 60,x^2 - 60,x^2 + 16x + 66,x^2 + 16x + 70,60,1,,
129,"Expand (FOIL) the expression:

(x-8)(x+1)",x^2 - 7x - 8,x^2 + 7x + 8,x^2 + 8x - 7,x^2 - 7x + 8,60,1,,
130,"Expand (FOIL) the expression:

(x-3)(x+8)",x^2 + 11x - 24,x^2 + 24,x^2 - 5x + 24,x^2 + 5x - 24,60,4,,
131,"Expand (FOIL) the expression:

(x+12)(x-4)",x^2 + 6x - 48,x^2 - 48x + 8,x^2 + 8x - 52,x^2 + 8x - 48,60,4,,
132,"Expand (FOIL) the expression:

(x+2)(x-12)",x^2 - 10x - 24,x^2 + 14x - 24,x^2 + 10x - 24,x^2 - 10x - 26,60,1,,
133,"Expand (FOIL) the expression:

(x-4)(x-11)",x^2 - 7x + 44,x^2 - 14x + 44,x^2 - 15x + 44,x^2 - 15x + 33,60,3,,
134,"Expand (FOIL) the expression:

(x-8)(x-4)",x^2 - 12x + 32,x^2 + 4x + 32,x^2 - 13x + 32,x^2 - 12x - 32,60,1,,
135,"Expand (FOIL) the expression:

(x-7)(x-6)",x^2 - 13x - 42,x^2 + 42,x^2 - 42,x^2 - 13x + 42,60,4,,
136,"Expand (FOIL) the expression:

(x-9)(x-4)",x^2 - 36x + 13,x^2 - 13x + 36,x^2 - 13x + 40,x^2 + 5x - 36,60,2,,
137,"Expand (FOIL) the expression:

(x-6)(x-1)",x^2 - 5x + 6,x^2 - 7x + 6,x^2 + 5x - 6,x^2 - 6x + 7,60,2,,
138,"Expand (FOIL) the expression:

(x-6)(x+4)",x^2 - 2x - 24,x^2 + 2x + 24,x^2 - x - 24,x^2 + 24x - 2,60,1,,
139,"Expand (FOIL) the expression:

(x-9)(x+4)",x^2 + 36x - 5,x^2 + 13x + 36,x^2 - 5x - 40,x^2 - 5x - 36,60,4,,
140,"Expand (FOIL) the expression:

(x+10)(x-9)",x^2 + x + 90,x^2 + x - 90,x^2 + 3x - 90,x^2 - 19x + 90,60,2,,
141,"Expand (FOIL) the expression:

(x+5)(x+5)",x^2 + 10x + 25,x^2 - 10x - 25,x^2 + 25,x^2 + 10x - 25,60,1,,
142,"Expand (FOIL) the expression:

(x-2)(x+5)",x^2 + 3x + 10,x^2 + 3x - 10,x^2 + 7x - 10,x^2 + 10x - 3,60,2,,
143,"Expand (FOIL) the expression:

(x-6)(x+8)",x^2 + 2x - 48,x^2 + 2x - 54,x^2 + 2x - 42,x^2 + 2x - 56,60,1,,
144,"Expand (FOIL) the expression:

(x-10)(x+12)",x^2 + 2x - 132,x^2 - 22x + 120,x^2 + 22x - 120,x^2 + 2x - 120,60,4,,
145,"Expand (FOIL) the expression:

(x+9)(x+12)",x^2 - 108x - 21,x^2 - 21x - 108,x^2 + 21x + 108,x^2 + 108x + 21,60,3,,
146,"Expand (FOIL) the expression:

(x-5)(x-8)",x^2 - 13x + 40,x^2 + 13x - 40,x^2 - 13x - 40,x^2 + 3x + 40,60,1,,
147,"Expand (FOIL) the expression:

(x-12)(x+2)",x^2 - 10x - 36,x^2 - 24x - 10,x^2 - 14x + 24,x^2 - 10x - 24,60,4,,
148,"Expand (FOIL) the expression:

(x+1)(x+10)",x^2 + 12x + 10,x^2 + 11x + 10,x^2 + 11x,x^2 - 10,60,2,,
149,"Expand (FOIL) the expression:

(x-9)(x-1)",x^2 + 9,x^2 + 8x + 9,x^2 - 10x + 9,x^2 + 8x - 9,60,3,,
150,"Expand (FOIL) the expression:

(x-9)(x-1)",x^2 - 9x + 10,x^2 - 10x + 8,x^2 + 9,x^2 - 10x + 9,60,4,,
151,"Expand (FOIL) the expression:

(x+10)(x-4)",x^2 + 6x - 40,x^2 - 40x + 6,x^2 + 7x - 40,x^2 + 14x + 40,60,1,,
152,"Expand (FOIL) the expression:

(x+6)(x-12)",x^2 - 5x - 72,x^2 - 6x - 60,x^2 - 6x - 72,x^2 - 4x - 72,60,3,,
153,"Expand (FOIL) the expression:

(x+2)(x+1)",x^2 - 2x - 3,x^2 + 3x,x^2 + 3x + 3,x^2 + 3x + 2,60,4,,
154,"Expand (FOIL) the expression:

(x-10)(x+6)",x^2 + 60,x^2 - 5x - 60,x^2 - 3x - 60,x^2 - 4x - 60,60,4,,
155,"Expand (FOIL) the expression:

(x+6)(x-1)",x^2 + 5x - 6,x^2 + 6x - 6,x^2 - 6x + 5,x^2 - 6x - 5,60,1,,
156,"Expand (FOIL) the expression:

(x-7)(x-2)",x^2 - 9x + 14,x^2 + 9x - 14,x^2 - 5x + 14,x^2 - 9x + 16,60,1,,
157,"Expand (FOIL) the expression:

(x-10)(x-6)",x^2 - 16x + 60,x^2 + 60x - 16,x^2 - 16x + 70,x^2 + 16x + 60,60,1,,
158,"Expand (FOIL) the expression:

(x+2)(x+2)",x^2 + 4,x^2 - 4,x^2 + 4x + 4,x^2 + 3x + 4,60,3,,
159,"Expand (FOIL) the expression:

(x-12)(x+1)",x^2 - 13x - 12,x^2 - 11x,x^2 - 11x - 12,x^2 + 11x - 12,60,3,,
160,"Expand (FOIL) the expression:

(x+10)(x-5)",x^2 + 5x - 50,x^2 - 50x - 5,x^2 + 15x + 50,x^2 + 5x - 40,60,1,,
161,"Expand (FOIL) the expression:

(x+11)(x+3)",x^2 - 14x + 33,x^2 + 14x + 30,x^2 + 14x + 33,x^2 + 33,60,3,,
162,"Expand (FOIL) the expression:

(x+10)(x+3)",x^2 - 7x - 30,x^2 + 13x + 30,x^2 - 7x + 30,x^2 + 30x - 13,60,2,,
163,"Expand (FOIL) the expression:

(x+2)(x+7)",x^2 + 7x + 14,x^2 + 9x + 14,x^2 + 9x - 14,x^2 + 14x - 9,60,2,,
164,"Expand (FOIL) the expression:

(x+10)(x-1)",x^2 - 10x + 9,x^2 + 9x - 9,x^2 + 9x - 10,x^2 + 9x + 10,60,3,,
165,"Expand (FOIL) the expression:

(x+10)(x+1)",x^2 + 11x + 10,x^2 + 13x + 10,x^2 - 11x + 10,x^2 - 10x - 11,60,1,,
166,"Expand (FOIL) the expression:

(x-6)(x-1)",x^2 - 7x + 5,x^2 - 5x + 6,x^2 - 5x - 6,x^2 - 7x + 6,60,4,,
167,"Expand (FOIL) the expression:

(x-12)(x+2)",x^2 - 10x - 24,x^2 - 24x - 10,x^2 + 14x - 24,x^2 - 10x - 12,60,1,,
168,"Expand (FOIL) the expression:

(x+4)(x-10)",x^2 - 6x - 36,x^2 - 6x - 40,x^2 - 8x - 40,x^2 - 6x - 30,60,2,,
169,"Expand (FOIL) the expression:

(x+5)(x+11)",x^2 - 55,x^2 + 17x + 55,x^2 + 15x + 55,x^2 + 16x + 55,60,4,,
170,"Expand (FOIL) the expression:

(x+4)(x+8)",x^2 + 4x - 32,x^2 - 4x + 32,x^2 + 32,x^2 + 12x + 32,60,4,,
171,"Expand (FOIL) the expression:

(x-4)(x+7)",x^2 + x - 28,x^2 + 3x - 28,x^2 - 11x + 28,x^2 + 3x - 32,60,2,,
172,"Expand (FOIL) the expression:

(x+12)(x-5)",x^2 - 17x + 60,x^2 + 7x - 72,x^2 + 7x - 48,x^2 + 7x - 60,60,4,,
