"","S"
"110",-0.526674449443817
"111",-0.555192530155182
"112",-0.583072304725647
"113",-0.610281646251678
"114",-0.636789202690125
"115",-0.662564635276794
"116",-0.687578201293945
"117",-0.711801111698151
"118",-0.73520565032959
"119",-0.757764756679535
"120",-0.779452621936798
"121",-0.800244212150574
"122",-0.820115685462952
"123",-0.839044153690338
"124",-0.85700786113739
"125",-0.873986124992371
"126",-0.889959514141083
"127",-0.904909551143646
"128",-0.918819069862366
"129",-0.931672155857086
"130",-0.943453967571259
"131",-0.954150974750519
"132",-0.963750839233398
"133",-0.972242534160614
"134",-0.979616343975067
"135",-0.985863745212555
"136",-0.990977585315704
"137",-0.994951963424683
"138",-0.997782349586487
"139",-0.99946540594101
"140",-0.999999284744263
"141",-0.999383270740509
"142",-0.997618198394775
"143",-0.994705975055695
"144",-0.990650057792664
"145",-0.98545503616333
"146",-0.979126930236816
"147",-0.97167295217514
"148",-0.963101744651794
"149",-0.953423142433167
"150",-0.942648231983185
"151",-0.930789470672607
"152",-0.917860388755798
"153",-0.903876006603241
"154",-0.88885223865509
"155",-0.872806489467621
"156",-0.855757176876068
"157",-0.837723851203918
"158",-0.818727314472198
"159",-0.798789381980896
"160",-0.777932941913605
"161",-0.756182014942169
"162",-0.733561635017395
"163",-0.71009773015976
"164",-0.685817360877991
"165",-0.660748422145844
"166",-0.634919762611389
"167",-0.608361005783081
"168",-0.581102728843689
"169",-0.55317634344101
"170",-0.524613857269287
"171",-0.495448142290115
"172",-0.465712755918503
"173",-0.435441881418228
"174",-0.40467032790184
"175",-0.373433470726013
"176",-0.341767221689224
"177",-0.309707999229431
"178",-0.277292668819427
"179",-0.244558498263359
"180",-0.211543127894402
"181",-0.178284510970116
"182",-0.144820898771286
"183",-0.111190773546696
"184",-0.0774327963590622
"185",-0.0435857772827148
"186",-0.00968864653259516
"187",0.0242196265608072
"188",0.0581000484526157
"189",0.0919136703014374
"190",0.125621601939201
"191",0.159185096621513
"192",0.19256554543972
"193",0.225724577903748
"194",0.258624076843262
"195",0.291226178407669
"196",0.323493450880051
"197",0.355388730764389
"198",0.38687539100647
"199",0.417917191982269
"200",0.448478490114212
"201",0.478524088859558
"202",0.50801944732666
"203",0.536930680274963
"204",0.565224587917328
"205",0.592868506908417
"206",0.619830787181854
"207",0.646080315113068
"208",0.671586990356445
"209",0.696321427822113
"210",0.720255255699158
"211",0.743360877037048
"212",0.76561176776886
"213",0.786982357501984
"214",0.807448029518127
"215",0.826985239982605
"216",0.845571577548981
"217",0.863185703754425
"218",0.879807233810425
"219",0.895417213439941
"220",0.909997522830963
"221",0.923531532287598
"222",0.936003684997559
"223",0.947399497032166
"224",0.957706034183502
"225",0.966911315917969
"226",0.975004851818085
"227",0.98197728395462
"228",0.987820625305176
"229",0.992528080940247
"230",0.996094346046448
"231",0.998515248298645
"232",0.999788045883179
"233",0.999911248683929
"234",0.998884737491608
"235",0.996709644794464
"236",0.993388533592224
"237",0.988925158977509
"238",0.983324706554413
"239",0.976593613624573
"240",0.968739569187164
"241",0.959771692752838
"242",0.949700176715851
"243",0.938536703586578
"244",0.926294028759003
"245",0.91298633813858
"246",0.898628830909729
"247",0.883238017559052
"248",0.866831660270691
"249",0.849428594112396
"250",0.831048846244812
"251",0.811713516712189
"252",0.791444838047028
"253",0.770266175270081
"254",0.748201787471771
"255",0.725277125835419
"256",0.701518476009369
"257",0.676953256130219
"258",0.651609599590302
"259",0.625516712665558
"260",0.59870457649231
"261",0.57120406627655
"262",0.543046772480011
"263",0.514265060424805
"264",0.484892010688782
"265",0.45496141910553
"266",0.424507707357407
"267",0.393565863370895
"268",0.362171500921249
"269",0.33036071062088
"270",0.298170059919357
"271",0.265636563301086
"272",0.232797607779503
"273",0.199690997600555
"274",0.166354760527611
"275",0.132827252149582
"276",0.0991470143198967
"277",0.065352775156498
"278",0.0314833894371986
"279",-0.00242219702340662
"280",-0.0363249965012074
"281",-0.0701860338449478
"282",-0.103966362774372
"283",-0.137627154588699
"284",-0.171129688620567
"285",-0.204435452818871
"286",-0.237506166100502
"287",-0.270303785800934
"288",-0.302790582180023
"289",-0.334929227828979
"290",-0.366682767868042
"291",-0.398014664649963
"292",-0.428888946771622
"293",-0.459270060062408
"294",-0.489123076200485
"295",-0.518413722515106
"296",-0.547108232975006
"297",-0.575173676013947
"298",-0.602577805519104
"299",-0.629289031028748
"300",-0.655276656150818
"301",-0.680510878562927
"302",-0.704962611198425
"303",-0.728603720664978
"304",-0.751407086849213
"305",-0.773346483707428
"306",-0.794396638870239
"307",-0.814533352851868
"308",-0.833733558654785
"309",-0.85197502374649
"310",-0.869236886501312
"311",-0.88549929857254
"312",-0.900743544101715
"313",-0.914952039718628
"314",-0.9281085729599
"315",-0.940197885036469
"316",-0.951206088066101
"317",-0.96112060546875
"318",-0.969929993152618
"319",-0.977624118328094
"320",-0.984194159507751
"321",-0.989632546901703
"322",-0.993933022022247
"323",-0.997090637683868
"324",-0.999101758003235
"325",-0.9999640583992
"326",-0.999676585197449
"327",-0.998239696025848
"328",-0.995654940605164
"329",-0.991925358772278
"330",-0.987055242061615
"331",-0.981050193309784
"332",-0.973917067050934
"333",-0.965664148330688
"334",-0.956300795078278
"335",-0.945837914943695
"336",-0.934287488460541
"337",-0.9216628074646
"338",-0.907978296279907
"339",-0.893249809741974
"340",-0.877494275569916
"341",-0.860729694366455
"342",-0.842975437641144
"343",-0.82425194978714
"344",-0.804580628871918
"345",-0.783984243869781
"346",-0.762486398220062
"347",-0.740111827850342
"348",-0.716886222362518
"349",-0.692836344242096
"350",-0.667989790439606
"351",-0.64237517118454
"352",-0.616021931171417
"353",-0.588960409164429
"354",-0.561221659183502
"355",-0.532837569713593
"356",-0.503840804100037
"357",-0.474264740943909
"358",-0.444143325090408
"359",-0.413511246442795
"360",-0.382403701543808
"361",-0.350856423377991
"362",-0.318905740976334
"363",-0.286588370800018
"364",-0.253941476345062
"365",-0.221002578735352
"366",-0.187809571623802
"367",-0.154400616884232
"368",-0.120814122259617
"369",-0.0870887115597725
"370",-0.0532631725072861
"371",-0.0193763822317123
"372",0.0145326852798462
"373",0.0484250411391258
"374",0.0822617188096046
"375",0.116003811359406
"376",0.14961251616478
"377",0.183049187064171
"378",0.21627539396286
"379",0.249252915382385
"380",0.281943827867508
"381",0.314310550689697
"382",0.346315890550613
"383",0.377923011779785
"384",0.409095585346222
"385",0.439797788858414
"386",0.469994276762009
"387",0.499650359153748
"388",0.528731882572174
"389",0.557205498218536
"390",0.585038423538208
"391",0.612198650836945
"392",0.638654947280884
"393",0.66437691450119
"394",0.68933492898941
"395",0.713500320911407
"396",0.736845374107361
"397",0.759343087673187
"398",0.780967772006989
"399",0.801694393157959
"400",0.821499228477478
"401",0.840359508991241
"402",0.858253479003906
"403",0.87516063451767
"404",0.89106148481369
"405",0.905937790870667
"406",0.919772386550903
"407",0.93254941701889
"408",0.944254159927368
"409",0.954873204231262
"410",0.964394271373749
"411",0.972806453704834
"412",0.980100035667419
"413",0.986266732215881
"414",0.991299331188202
"415",0.995192170143127
"416",0.99794065952301
"417",0.999541699886322
"418",0.99999338388443
"419",0.999295294284821
"420",0.997448205947876
"421",0.994454145431519
"422",0.990316689014435
"423",0.985040545463562
"424",0.978631734848022
"425",0.971097648143768
"426",0.962447047233582
"427",0.952689707279205
"428",0.941836953163147
"429",0.929901242256165
"430",0.916896343231201
"431",0.902837157249451
"432",0.887739837169647
"433",0.87162172794342
"434",0.854501485824585
"435",0.836398661136627
"436",0.817334115505219
"437",0.797329783439636
"438",0.776408672332764
"439",0.754594802856445
"440",0.731913268566132
"441",0.708390176296234
"442",0.684052526950836
"443",0.658928394317627
"444",0.633046567440033
"445",0.606436848640442
"446",0.579129815101624
"447",0.551156878471375
"448",0.522550165653229
"449",0.493342697620392
"450",0.463567912578583
"451",0.43326011300087
"452",0.402454137802124
"453",0.371185421943665
"454",0.339489877223969
"455",0.307404011487961
"456",0.274964660406113
"457",0.242209136486053
"458",0.209175124764442
"459",0.175900593400002
"460",0.142423823475838
"461",0.108783267438412
"462",0.0750176385045052
"463",0.041165754199028
"464",0.00726653449237347
"465",-0.0266410410404205
"466",-0.0605179853737354
"467",-0.0943253412842751
"468",-0.128024235367775
"469",-0.161575928330421
"470",-0.194941848516464
"471",-0.228083595633507
"472",-0.26096311211586
"473",-0.29354253411293
"474",-0.32578444480896
"475",-0.357651770114899
"476",-0.389107823371887
"477",-0.420116513967514
"478",-0.450642108917236
"479",-0.480649530887604
"480",-0.510104298591614
"481",-0.538972556591034
"482",-0.56722104549408
"483",-0.594817399978638
"484",-0.621729731559753
"485",-0.647927224636078
"486",-0.673379719257355
"487",-0.698057889938354
"488",-0.721933424472809
"489",-0.744978904724121
"490",-0.767167747020721
"491",-0.788474500179291
"492",-0.808874607086182
"493",-0.828344643115997
"494",-0.846862256526947
"495",-0.864406108856201
"496",-0.880955994129181
"497",-0.896493017673492
"498",-0.910999119281769
"499",-0.924457788467407
"500",-0.936853528022766
"501",-0.948171973228455
"502",-0.958400189876556
"503",-0.967526435852051
"504",-0.975540161132812
"505",-0.982432186603546
"506",-0.988194584846497
"507",-0.992820739746094
"508",-0.996305286884308
"509",-0.998644292354584
"510",-0.999835014343262
"511",-0.999876081943512
"512",-0.99876743555069
"513",-0.99651038646698
"514",-0.993107557296753
"515",-0.988562762737274
"516",-0.982881367206573
"517",-0.976069748401642
"518",-0.968135833740234
"519",-0.959088742733002
"520",-0.948938846588135
"521",-0.93769782781601
"522",-0.925378620624542
"523",-0.911995410919189
"524",-0.897563517093658
"525",-0.882099628448486
"526",-0.865621447563171
"527",-0.848147928714752
"528",-0.829699158668518
"529",-0.810296416282654
"530",-0.789961993694305
"531",-0.76871919631958
"532",-0.74659252166748
"533",-0.723607420921326
"534",-0.699790239334106
"535",-0.675168454647064
"536",-0.649770319461823
"537",-0.623625040054321
"538",-0.596762716770172
"539",-0.569214224815369
"540",-0.541011273860931
"541",-0.512186169624329
"542",-0.482772201299667
"543",-0.452803075313568
"544",-0.422313332557678
"545",-0.391337990760803
"546",-0.359912693500519
"547",-0.328073531389236
"548",-0.295857161283493
"549",-0.263300597667694
"550",-0.23044128715992
"551",-0.197316989302635
"552",-0.163965836167336
"553",-0.130426123738289
"554",-0.0967364609241486
"555",-0.0629355609416962
"556",-0.0290623009204865
"557",0.00484438007697463
"558",0.0387454889714718
"559",0.0726020485162735
"560",0.106375128030777
"561",0.140025898814201
"562",0.173515647649765
"563",0.206805899739265
"564",0.239858359098434
"565",0.272635012865067
"566",0.305098176002502
"567",0.337210536003113
"568",0.368935167789459
"569",0.400235593318939
"570",0.431075781583786
"571",0.461420327425003
"572",0.491234332323074
"573",0.520483493804932
"574",0.549134135246277
"575",0.577153444290161
"576",0.604509055614471
"577",0.631169617176056
"578",0.657104432582855
"579",0.682283699512482
"580",0.706678450107574
"581",0.730260670185089
"582",0.753003180027008
"583",0.77487987279892
"584",0.795865535736084
"585",0.815936148166656
"586",0.83506852388382
"587",0.853240728378296
"588",0.870431900024414
"589",0.886622190475464
"590",0.901793003082275
"591",0.915926873683929
"592",0.929007649421692
"593",0.94102019071579
"594",0.951950669288635
"595",0.96178662776947
"596",0.970516681671143
"597",0.97813081741333
"598",0.984620273113251
"599",0.989977538585663
"600",0.994196534156799
"601",0.997272312641144
"602",0.999201476573944
"603",0.999981641769409
"604",0.999612092971802
"605",0.998093068599701
"606",0.99542647600174
"607",0.991615235805511
"608",0.98666387796402
"609",0.980578005313873
"610",0.973364591598511
"611",0.965032041072845
"612",0.955589830875397
"613",0.945048809051514
"614",0.933421194553375
"615",0.920720279216766
"616",0.906960725784302
"617",0.892158269882202
"618",0.876330018043518
"619",0.859494149684906
"620",0.841669976711273
"621",0.822878003120422
"622",0.803139865398407
"623",0.782478272914886
"624",0.760917007923126
"625",0.738480746746063
"626",0.71519535779953
"627",0.691087663173676
"628",0.666185319423676
"629",0.640516936779022
"630",0.614112079143524
"631",0.587001144886017
"632",0.559215188026428
"633",0.530786275863647
"634",0.501747071743011
"635",0.47213089466095
"636",0.441971868276596
"637",0.411304622888565
"638",0.380164474248886
"639",0.348587185144424
"640",0.316609084606171
"641",0.284266948699951
"642",0.251597940921783
"643",0.218639627099037
"644",0.185429930686951
"645",0.152007013559341
"646",0.118409313261509
"647",0.0846754685044289
"648",0.0508442558348179
"649",0.0169545840471983
"650",-0.0169545840471983
"651",-0.0508442558348179
"652",-0.0846754685044289
"653",-0.118409313261509
"654",-0.152007013559341
"655",-0.185429930686951
"656",-0.218639627099037
"657",-0.251597940921783
"658",-0.284266948699951
"659",-0.316609084606171
"660",-0.348587185144424
"661",-0.380164474248886
"662",-0.411304622888565
"663",-0.441971868276596
"664",-0.47213089466095
"665",-0.501747071743011
"666",-0.530786275863647
"667",-0.559215188026428
"668",-0.587001144886017
"669",-0.614112079143524
"670",-0.640516936779022
"671",-0.666185319423676
"672",-0.691087663173676
"673",-0.71519535779953
"674",-0.738480746746063
"675",-0.760917007923126
"676",-0.782478272914886
"677",-0.803139865398407
"678",-0.822878003120422
"679",-0.841669976711273
"680",-0.859494149684906
"681",-0.876330018043518
"682",-0.892158269882202
"683",-0.906960725784302
"684",-0.920720279216766
"685",-0.933421194553375
"686",-0.945048809051514
"687",-0.955589830875397
"688",-0.965032041072845
"689",-0.973364591598511
"690",-0.980578005313873
"691",-0.98666387796402
"692",-0.991615235805511
"693",-0.99542647600174
"694",-0.998093068599701
"695",-0.999612092971802
"696",-0.999981641769409
"697",-0.999201476573944
"698",-0.997272312641144
"699",-0.994196534156799
"700",-0.989977538585663
"701",-0.984620273113251
"702",-0.97813081741333
"703",-0.970516681671143
"704",-0.96178662776947
"705",-0.951950669288635
"706",-0.94102019071579
"707",-0.929007649421692
"708",-0.915926873683929
"709",-0.901793003082275
"710",-0.886622190475464
"711",-0.870431900024414
"712",-0.853240728378296
"713",-0.83506852388382
"714",-0.815936148166656
"715",-0.795865535736084
"716",-0.77487987279892
"717",-0.753003180027008
"718",-0.730260670185089
"719",-0.706678450107574
"720",-0.682283699512482
"721",-0.657104432582855
"722",-0.631169617176056
"723",-0.604509055614471
"724",-0.577153444290161
"725",-0.549134135246277
"726",-0.520483493804932
"727",-0.491234332323074
"728",-0.461420327425003
"729",-0.431075781583786
"730",-0.400235593318939
"731",-0.368935167789459
"732",-0.337210536003113
"733",-0.305098176002502
"734",-0.272635012865067
"735",-0.239858359098434
"736",-0.206805899739265
"737",-0.173515647649765
"738",-0.140025898814201
"739",-0.106375128030777
"740",-0.0726020485162735
"741",-0.0387454889714718
"742",-0.00484438007697463
"743",0.0290623009204865
"744",0.0629355609416962
"745",0.0967364609241486
"746",0.130426123738289
"747",0.163965836167336
"748",0.197316989302635
"749",0.23044128715992
"750",0.263300597667694
"751",0.295857161283493
"752",0.328073531389236
"753",0.359912693500519
"754",0.391337990760803
"755",0.422313332557678
"756",0.452803075313568
"757",0.482772201299667
"758",0.512186169624329
"759",0.541011273860931
"760",0.569214224815369
"761",0.596762716770172
"762",0.623625040054321
"763",0.649770319461823
"764",0.675168454647064
"765",0.699790239334106
"766",0.723607420921326
"767",0.74659252166748
"768",0.76871919631958
"769",0.789961993694305
"770",0.810296416282654
"771",0.829699158668518
"772",0.848147928714752
"773",0.865621447563171
"774",0.882099628448486
"775",0.897563517093658
"776",0.911995410919189
"777",0.925378620624542
"778",0.93769782781601
"779",0.948938846588135
"780",0.959088742733002
"781",0.968135833740234
"782",0.976069748401642
"783",0.982881367206573
"784",0.988562762737274
"785",0.993107557296753
"786",0.99651038646698
"787",0.99876743555069
"788",0.999876081943512
"789",0.999835014343262
"790",0.998644292354584
"791",0.996305286884308
"792",0.992820739746094
"793",0.988194584846497
"794",0.982432186603546
"795",0.975540161132812
"796",0.967526435852051
"797",0.958400189876556
"798",0.948171973228455
"799",0.936853528022766
"800",0.924457788467407
"801",0.910999119281769
"802",0.896493017673492
"803",0.880955994129181
"804",0.864406108856201
"805",0.846862256526947
"806",0.828344643115997
"807",0.808874607086182
"808",0.788474500179291
"809",0.767167747020721
"810",0.744978904724121
"811",0.721933424472809
"812",0.698057889938354
"813",0.673379719257355
"814",0.647927224636078
"815",0.621729731559753
"816",0.594817399978638
"817",0.56722104549408
"818",0.538972556591034
"819",0.510104298591614
"820",0.480649530887604
"821",0.450642108917236
"822",0.420116513967514
"823",0.389107823371887
"824",0.357651770114899
"825",0.32578444480896
"826",0.29354253411293
"827",0.26096311211586
"828",0.228083595633507
"829",0.194941848516464
"830",0.161575928330421
"831",0.128024235367775
"832",0.0943253412842751
"833",0.0605179853737354
"834",0.0266410410404205
"835",-0.00726653449237347
"836",-0.041165754199028
"837",-0.0750176385045052
"838",-0.108783267438412
"839",-0.142423823475838
"840",-0.175900593400002
"841",-0.209175124764442
"842",-0.242209136486053
"843",-0.274964660406113
"844",-0.307404011487961
"845",-0.339489877223969
"846",-0.371185421943665
"847",-0.402454137802124
"848",-0.43326011300087
"849",-0.463567912578583
"850",-0.493342697620392
"851",-0.522550165653229
"852",-0.551156878471375
"853",-0.579129815101624
"854",-0.606436848640442
"855",-0.633046567440033
"856",-0.658928394317627
"857",-0.684052526950836
"858",-0.708390176296234
"859",-0.731913268566132
"860",-0.754594802856445
"861",-0.776408672332764
"862",-0.797329783439636
"863",-0.817334115505219
"864",-0.836398661136627
"865",-0.854501485824585
"866",-0.87162172794342
"867",-0.887739837169647
"868",-0.902837157249451
"869",-0.916896343231201
"870",-0.929901242256165
"871",-0.941836953163147
"872",-0.952689707279205
"873",-0.962447047233582
"874",-0.971097648143768
"875",-0.978631734848022
"876",-0.985040545463562
"877",-0.990316689014435
"878",-0.994454145431519
"879",-0.997448205947876
"880",-0.999295294284821
"881",-0.99999338388443
"882",-0.999541699886322
"883",-0.99794065952301
"884",-0.995192170143127
"885",-0.991299331188202
"886",-0.986266732215881
"887",-0.980100035667419
"888",-0.972806453704834
"889",-0.964394271373749
"890",-0.954873204231262
"891",-0.944254159927368
"892",-0.93254941701889
"893",-0.919772386550903
"894",-0.905937790870667
"895",-0.89106148481369
"896",-0.87516063451767
"897",-0.858253479003906
"898",-0.840359508991241
"899",-0.821499228477478
"900",-0.801694393157959
"901",-0.780967772006989
"902",-0.759343087673187
"903",-0.736845374107361
"904",-0.713500320911407
"905",-0.68933492898941
"906",-0.66437691450119
"907",-0.638654947280884
"908",-0.612198650836945
"909",-0.585038423538208
"910",-0.557205498218536
"911",-0.528731882572174
"912",-0.499650359153748
"913",-0.469994276762009
"914",-0.439797788858414
"915",-0.409095585346222
"916",-0.377923011779785
"917",-0.346315890550613
"918",-0.314310550689697
"919",-0.281943827867508
"920",-0.249252915382385
"921",-0.21627539396286
"922",-0.183049187064171
"923",-0.14961251616478
"924",-0.116003811359406
"925",-0.0822617188096046
"926",-0.0484250411391258
"927",-0.0145326852798462
"928",0.0193763822317123
"929",0.0532631725072861
"930",0.0870887115597725
"931",0.120814122259617
"932",0.154400616884232
"933",0.187809571623802
"934",0.221002578735352
"935",0.253941476345062
"936",0.286588370800018
"937",0.318905740976334
"938",0.350856423377991
"939",0.382403701543808
"940",0.413511246442795
"941",0.444143325090408
"942",0.474264740943909
"943",0.503840804100037
"944",0.532837569713593
"945",0.561221659183502
"946",0.588960409164429
"947",0.616021931171417
"948",0.64237517118454
"949",0.667989790439606
"950",0.692836344242096
"951",0.716886222362518
"952",0.740111827850342
"953",0.762486398220062
"954",0.783984243869781
"955",0.804580628871918
"956",0.82425194978714
"957",0.842975437641144
"958",0.860729694366455
"959",0.877494275569916
"960",0.893249809741974
"961",0.907978296279907
"962",0.9216628074646
"963",0.934287488460541
"964",0.945837914943695
"965",0.956300795078278
"966",0.965664148330688
"967",0.973917067050934
"968",0.981050193309784
"969",0.987055242061615
"970",0.991925358772278
"971",0.995654940605164
"972",0.998239696025848
"973",0.999676585197449
"974",0.9999640583992
"975",0.999101758003235
"976",0.997090637683868
"977",0.993933022022247
"978",0.989632546901703
"979",0.984194159507751
"980",0.977624118328094
"981",0.969929993152618
"982",0.96112060546875
"983",0.951206088066101
"984",0.940197885036469
"985",0.9281085729599
"986",0.914952039718628
"987",0.900743544101715
"988",0.88549929857254
"989",0.869236886501312
"990",0.85197502374649
"991",0.833733558654785
"992",0.814533352851868
"993",0.794396638870239
"994",0.773346483707428
"995",0.751407086849213
"996",0.728603720664978
"997",0.704962611198425
"998",0.680510878562927
"999",0.655276656150818
"1000",0.629289031028748
"1001",0.602577805519104
"1002",0.575173676013947
"1003",0.547108232975006
"1004",0.518413722515106
"1005",0.489123076200485
"1006",0.459270060062408
"1007",0.428888946771622
"1008",0.398014664649963
"1009",0.366682767868042
"1010",0.334929227828979
"1011",0.302790582180023
"1012",0.270303785800934
"1013",0.237506166100502
"1014",0.204435452818871
"1015",0.171129688620567
"1016",0.137627154588699
"1017",0.103966362774372
"1018",0.0701860338449478
"1019",0.0363249965012074
"1020",0.00242219702340662
"1021",-0.0314833894371986
"1022",-0.065352775156498
"1023",-0.0991470143198967
"1024",-0.132827252149582
"1025",-0.166354760527611
"1026",-0.199690997600555
"1027",-0.232797607779503
"1028",-0.265636563301086
"1029",-0.298170059919357
"1030",-0.33036071062088
"1031",-0.362171500921249
"1032",-0.393565863370895
"1033",-0.424507707357407
"1034",-0.45496141910553
"1035",-0.484892010688782
"1036",-0.514265060424805
"1037",-0.543046772480011
"1038",-0.57120406627655
"1039",-0.59870457649231
"1040",-0.625516712665558
"1041",-0.651609599590302
"1042",-0.676953256130219
"1043",-0.701518476009369
"1044",-0.725277125835419
"1045",-0.748201787471771
"1046",-0.770266175270081
"1047",-0.791444838047028
"1048",-0.811713516712189
"1049",-0.831048846244812
"1050",-0.849428594112396
"1051",-0.866831660270691
"1052",-0.883238017559052
"1053",-0.898628830909729
"1054",-0.91298633813858
"1055",-0.926294028759003
"1056",-0.938536703586578
"1057",-0.949700176715851
"1058",-0.959771692752838
"1059",-0.968739569187164
"1060",-0.976593613624573
"1061",-0.983324706554413
"1062",-0.988925158977509
"1063",-0.993388533592224
"1064",-0.996709644794464
"1065",-0.998884737491608
"1066",-0.999911248683929
"1067",-0.999788045883179
"1068",-0.998515248298645
"1069",-0.996094346046448
"1070",-0.992528080940247
"1071",-0.987820625305176
"1072",-0.98197728395462
"1073",-0.975004851818085
"1074",-0.966911315917969
"1075",-0.957706034183502
"1076",-0.947399497032166
"1077",-0.936003684997559
"1078",-0.923531532287598
"1079",-0.909997522830963
"1080",-0.895417213439941
"1081",-0.879807233810425
"1082",-0.863185703754425
"1083",-0.845571577548981
"1084",-0.826985239982605
"1085",-0.807448029518127
"1086",-0.786982357501984
"1087",-0.76561176776886
"1088",-0.743360877037048
"1089",-0.720255255699158
"1090",-0.696321427822113
"1091",-0.671586990356445
"1092",-0.646080315113068
"1093",-0.619830787181854
"1094",-0.592868506908417
"1095",-0.565224587917328
"1096",-0.536930680274963
"1097",-0.50801944732666
"1098",-0.478524088859558
"1099",-0.448478490114212
"1100",-0.417917191982269
"1101",-0.38687539100647
"1102",-0.355388730764389
"1103",-0.323493450880051
"1104",-0.291226178407669
"1105",-0.258624076843262
"1106",-0.225724577903748
"1107",-0.19256554543972
"1108",-0.159185096621513
"1109",-0.125621601939201
"1110",-0.0919136703014374
"1111",-0.0581000484526157
"1112",-0.0242196265608072
"1113",0.00968864653259516
"1114",0.0435857772827148
"1115",0.0774327963590622
"1116",0.111190773546696
"1117",0.144820898771286
"1118",0.178284510970116
"1119",0.211543127894402
"1120",0.244558498263359
"1121",0.277292668819427
"1122",0.309707999229431
"1123",0.341767221689224
"1124",0.373433470726013
"1125",0.40467032790184
"1126",0.435441881418228
"1127",0.465712755918503
"1128",0.495448142290115
"1129",0.524613857269287
"1130",0.55317634344101
"1131",0.581102728843689
"1132",0.608361005783081
"1133",0.634919762611389
"1134",0.660748422145844
"1135",0.685817360877991
"1136",0.71009773015976
"1137",0.733561635017395
"1138",0.756182014942169
"1139",0.777932941913605
"1140",0.798789381980896
"1141",0.818727314472198
"1142",0.837723851203918
"1143",0.855757176876068
"1144",0.872806489467621
"1145",0.88885223865509
"1146",0.903876006603241
"1147",0.917860388755798
"1148",0.930789470672607
"1149",0.942648231983185
"1150",0.953423142433167
"1151",0.963101744651794
"1152",0.97167295217514
"1153",0.979126930236816
"1154",0.98545503616333
"1155",0.990650057792664
"1156",0.994705975055695
"1157",0.997618198394775
"1158",0.999383270740509
"1159",0.999999284744263
"1160",0.99946540594101
"1161",0.997782349586487
"1162",0.994951963424683
"1163",0.990977585315704
"1164",0.985863745212555
"1165",0.979616343975067
"1166",0.972242534160614
"1167",0.963750839233398
"1168",0.954150974750519
"1169",0.943453967571259
"1170",0.931672155857086
"1171",0.918819069862366
"1172",0.904909551143646
"1173",0.889959514141083
"1174",0.873986124992371
"1175",0.85700786113739
"1176",0.839044153690338
"1177",0.820115685462952
"1178",0.800244212150574
"1179",0.779452621936798
"1180",0.757764756679535
"1181",0.73520565032959
"1182",0.711801111698151
"1183",0.687578201293945
"1184",0.662564635276794
"1185",0.636789202690125
"1186",0.610281646251678
"1187",0.583072304725647
"1188",0.555192530155182
"1189",0.526674449443817
"1190",0.497550696134567
"1191",0.467854887247086
"1192",0.437621116638184
"1193",0.406884163618088
"1194",0.375679343938828
"1195",0.34404256939888
"1196",0.312010198831558
"1197",0.279619067907333
