"Blooket
Import Template",,,,,,,,,
47, "After taking a shower, a muddy puppy ran up to Kelly and jumped up to lick her face. Who had taken the shower?","the muddy puppy","Kelly","Kelly's face","the shower",30,1,,
48, "Thinking about how all his life choices had led to this moment, a bull rushed directly at Jose. Who was thinking about his choices?","the bull","Jose","this moment","his life",30,1,,
49, "With his final college test done, the sun shined extra bright upon the leaves and birds in front of Xavier. Who finished his final college test?","the sun","the leaves","the birds","Xavier",30,1,,
50, "After finishing her homework, Joann celebrated with ice cream. Who finished her homework?", "Joann", "ice cream", "the homework", "celebrated", 30, 1,,
51, "While baking a cake, Sarah enjoyed listening to music. Who was baking a cake?", "Sarah", "the cake", "music", "enjoyed", 30, 1,,
52, "Walking through the park, Tom spotted a friendly dog. Who was walking through the park?", "Tom", "the park", "a friendly dog", "spotted", 30, 1,,
53, "On her way to school, Maria picked up the mail. Who was on her way to school?", "Maria", "the mail", "the school", "picked", 30, 1,,
54, "Riding his bike, Jacob felt the wind in his hair. Who was riding his bike?", "Jacob", "the wind", "his hair", "felt", 30, 1,,
55, "After enjoying a movie, Jake discussed the plot with friends. Who enjoyed a movie?", "Jake", "the plot", "the friends", "discussed", 30, 1,,
56, "Preparing dinner, Lisa arranged the table beautifully. Who was preparing dinner?", "Lisa", "the table", "dinner", "arranged", 30, 1,,
57, "While painting a picture, Emily listened to her favorite songs. Who was painting a picture?", "Emily", "the picture", "her favorite songs", "listened", 30, 1,,
58, "Driving to the beach, Gary was excited for the day. Who was driving to the beach?", "Gary", "the beach", "excited", "for the day", 30, 1,,
59, "Sipping coffee in the morning, Anna read the newspaper. Who was sipping coffee?", "Anna", "the newspaper", "coffee", "read", 30, 1,,
60, "While training for the marathon, David followed a strict plan. Who was training for the marathon?", "David", "a strict plan", "the marathon", "followed", 30, 1,,
61, "After completing the project, the team celebrated their hard work. Who completed the project?", "the team", "the project", "their hard work", "celebrated", 30, 1,,
62, "During the meeting, Sam presented his ideas clearly. Who presented his ideas?", "Sam", "the meeting", "his ideas", "clearly", 30, 1,,
63, "Walking the dog, Emily enjoyed the fresh air while talking on her phone. Who was walking the dog?", "Emily", "the dog", "the fresh air", "the phone", 30, 1,,
64, "After a long day at work, my friends and I went out for dinner at a fancy restaurant. Who went out for dinner?", "my friends and I", "a long day", "work", "the fancy restaurant", 30, 1,,
65, "While studying for exams, Mark took breaks when needed. Who was studying for exams?", "Mark", "breaks", "the exams", "took", 30, 1,,
66, "Trying out new recipes, Sarah invited everyone over for dinner. Who was trying out new recipes?", "Sarah", "new recipes", "everyone", "over", 30, 1,,
67, "After cleaning her room, Molly felt accomplished. Who cleaned her room?", "Molly", "her room", "felt", "accomplished", 30, 1,,
68, "While reading a book, Michael found a quiet spot. Who was reading a book?", "Michael", "the book", "a quiet spot", "found", 30, 1,,
69, "Finishing the puzzle, Maria felt satisfied to see the landscape emerge. Who finished the puzzle?", "Maria", "the puzzle", "satisfied", "the landscape", 30, 1,,
70, "Opening up her new laptop for the first time, Jessica's elbow knocked over a vase. Who opened the laptop?","the elbow","Jessica","the vase","the laptop",30,1,,
71, "Feeling pride for finishing the job, the wheelbarrow was the last item packed before Jared drove off in his truck. Who was feeling pride?","the wheelbarrow","Jared","the job","the truck",30,1,,
