"Blooket
Import Template",,,,,,,,,
29,"Simplify the fraction 49/56.",1/7,7/8,1/4,8/3,12,2,,
30,"Simplify the fraction 30/35.",6/7,3/7,1/6,4/3,12,1,,
31,"Simplify the fraction 6/15.",2/5,7/9,6/7,9/5,12,1,,
32,"Simplify the fraction 36/27.",4/3,9/7,5/7,8/7,12,1,,
33,"Simplify the fraction 36/81.",9/4,2/5,4/9,1/7,12,3,,
34,"Simplify the fraction 8/14.",4/7,5/4,3/4,5/8,12,1,,
35,"Simplify the fraction 3/27.",4/7,1/9,9/5,4/5,12,2,,
36,"Simplify the fraction 5/40.",3/8,4/3,1/8,4/5,12,3,,
37,"Simplify the fraction 6/21.",5/4,7/5,2/7,9/4,12,3,,
38,"Simplify the fraction 30/48.",5/8,1/9,6/5,9/8,12,1,,
39,"Simplify the fraction 15/24.",5/8,6/5,6/7,9/2,12,1,,
40,"Simplify the fraction 12/14.",6/7,1/2,7/5,1/8,12,1,,
41,"Simplify the fraction 24/15.",8/5,1/5,1/8,2/5,12,1,,
42,"Simplify the fraction 4/18.",2/9,7/6,5/2,7/4,12,1,,
43,"Simplify the fraction 12/10.",2/3,6/5,4/5,6/7,12,2,,
44,"Simplify the fraction 9/27.",1/4,4/9,1/3,1/6,12,3,,
45,"Simplify the fraction 72/45.",3/4,2/5,8/5,3/5,12,3,,
46,"Simplify the fraction 18/16.",4/3,7/6,9/8,1/7,12,3,,
47,"Simplify the fraction 12/20.",5/9,2/3,3/7,3/5,12,4,,
48,"Simplify the fraction 81/45.",7/5,4/3,3/4,9/5,12,4,,
49,"Simplify the fraction 12/15.",8/5,3/4,2/9,4/5,12,4,,
50,"Simplify the fraction 9/15.",5/7,3/5,9/4,4/5,12,2,,
51,"Simplify the fraction 32/72.",3/7,4/9,8/9,3/8,12,2,,
52,"Simplify the fraction 28/24.",9/8,1/2,7/6,7/8,12,3,,
53,"Simplify the fraction 24/27.",5/9,8/9,1/2,1/7,12,2,,
54,"Simplify the fraction 3/6.",6/7,1/2,5/3,1/7,12,2,,
55,"Simplify the fraction 6/42.",3/2,9/7,1/7,2/7,12,3,,
56,"Simplify the fraction 4/12.",3/2,1/3,5/4,8/9,12,2,,
57,"Simplify the fraction 35/28.",4/7,5/4,7/3,3/8,12,2,,
58,"Simplify the fraction 56/63.",8/9,6/5,5/7,3/4,12,1,,
59,"Simplify the fraction 12/32.",1/5,8/7,3/8,1/2,12,3,,
60,"Simplify the fraction 24/30.",4/3,4/5,4/9,8/5,12,2,,
61,"Simplify the fraction 2/12.",4/5,7/6,7/9,1/6,12,4,,
62,"Simplify the fraction 18/48.",3/8,6/5,8/7,2/3,12,1,,
63,"Simplify the fraction 54/63.",6/7,9/2,1/6,2/9,12,1,,
64,"Simplify the fraction 6/14.",2/9,1/2,3/7,5/4,12,3,,
65,"Simplify the fraction 27/6.",9/2,5/2,1/8,8/5,12,1,,
66,"Simplify the fraction 40/25.",1/6,1/5,8/9,8/5,12,4,,
67,"Simplify the fraction 24/40.",3/4,3/7,4/9,3/5,12,4,,
68,"Simplify the fraction 21/6.",2/5,1/8,7/2,8/9,12,3,,
69,"Simplify the fraction 21/14.",4/9,7/6,9/2,3/2,12,4,,
70,"Simplify the fraction 12/54.",4/3,8/7,6/7,2/9,12,4,,
71,"Simplify the fraction 9/21.",8/7,3/7,8/3,5/3,12,2,,
72,"Simplify the fraction 16/20.",1/9,1/7,4/5,2/7,12,3,,
73,"Simplify the fraction 63/36.",7/4,1/4,5/4,9/2,12,1,,
74,"Simplify the fraction 4/12.",1/2,1/3,8/9,5/2,12,2,,
75,"Simplify the fraction 42/48.",1/2,6/5,5/2,7/8,12,4,,
76,"Simplify the fraction 18/81.",1/5,2/9,5/4,3/8,12,2,,
77,"Simplify the fraction 28/63.",1/8,1/7,8/9,4/9,12,4,,
78,"Simplify the fraction 6/36.",9/4,1/9,1/6,8/5,12,3,,
79,"Simplify the fraction 8/16.",1/5,9/8,1/3,1/2,12,4,,
80,"Simplify the fraction 35/56.",1/5,5/8,1/3,4/7,12,2,,
81,"Simplify the fraction 25/15.",6/5,3/7,5/3,1/8,12,3,,
82,"Simplify the fraction 4/12.",1/2,9/2,1/3,2/5,12,3,,
83,"Simplify the fraction 20/24.",1/8,3/8,5/6,3/5,12,3,,
84,"Simplify the fraction 18/21.",6/7,1/5,5/3,7/3,12,1,,
85,"Simplify the fraction 27/21.",5/6,5/8,1/3,9/7,12,4,,
86,"Simplify the fraction 25/40.",9/7,7/9,5/6,5/8,12,4,,
87,"Simplify the fraction 8/20.",1/5,2/5,1/6,3/7,12,2,,
88,"Simplify the fraction 12/42.",7/9,2/7,8/7,7/8,12,2,,
89,"Simplify the fraction 3/18.",1/6,1/7,1/8,4/3,12,1,,
90,"Simplify the fraction 42/35.",5/7,6/5,8/7,9/4,12,2,,
91,"Simplify the fraction 21/12.",3/8,4/7,6/7,7/4,12,4,,
92,"Simplify the fraction 2/4.",2/9,5/4,1/2,1/3,12,3,,
93,"Simplify the fraction 81/18.",3/2,2/5,9/2,8/3,12,3,,
94,"Simplify the fraction 27/45.",3/5,7/5,5/9,1/3,12,1,,
95,"Simplify the fraction 6/48.",1/8,3/7,2/3,9/2,12,1,,
96,"Simplify the fraction 8/32.",1/4,5/4,1/7,5/6,12,1,,
97,"Simplify the fraction 56/32.",7/8,6/5,7/4,4/3,12,3,,
98,"Simplify the fraction 24/15.",1/6,7/3,8/5,9/4,12,3,,
99,"Simplify the fraction 72/16.",2/5,9/2,3/5,4/5,12,2,,
100,"Simplify the fraction 30/36.",6/5,3/5,1/7,5/6,12,4,,
101,"Simplify the fraction 6/10.",3/5,9/2,2/3,6/5,12,1,,
102,"Simplify the fraction 25/15.",1/3,3/8,3/2,5/3,12,4,,
103,"Simplify the fraction 2/6.",8/3,5/6,1/3,2/7,12,3,,
104,"Simplify the fraction 7/56.",1/8,2/3,6/5,5/9,12,1,,
105,"Simplify the fraction 40/56.",1/6,4/5,5/7,5/6,12,3,,
106,"Simplify the fraction 8/72.",1/6,1/9,3/7,7/6,12,2,,
107,"Simplify the fraction 14/12.",6/7,7/4,7/6,5/3,12,3,,
108,"Simplify the fraction 40/64.",5/8,9/8,1/8,7/5,12,1,,
109,"Simplify the fraction 49/56.",2/3,8/5,5/8,7/8,12,4,,
110,"Simplify the fraction 54/45.",5/3,6/5,7/6,4/9,12,2,,
111,"Simplify the fraction 20/35.",1/2,6/7,5/4,4/7,12,4,,
112,"Simplify the fraction 6/16.",7/2,9/5,1/3,3/8,12,4,,
113,"Simplify the fraction 21/15.",4/7,7/4,5/9,7/5,12,4,,
114,"Simplify the fraction 8/36.",2/7,6/5,2/9,1/9,12,3,,
115,"Simplify the fraction 56/35.",3/8,8/5,9/7,4/7,12,2,,
116,"Simplify the fraction 28/16.",7/4,9/7,5/2,4/5,12,1,,
117,"Simplify the fraction 12/8.",3/2,1/6,5/3,5/6,12,1,,
118,"Simplify the fraction 16/10.",1/8,8/5,9/7,5/3,12,2,,
119,"Simplify the fraction 49/63.",7/9,3/5,1/3,6/7,12,1,,
120,"Simplify the fraction 4/10.",4/7,2/5,7/5,7/6,12,2,,
121,"Simplify the fraction 4/18.",7/3,2/9,7/6,3/8,12,2,,
122,"Simplify the fraction 40/15.",5/7,8/3,7/9,7/6,12,2,,
123,"Simplify the fraction 32/20.",8/3,8/5,7/6,5/3,12,2,,
124,"Simplify the fraction 36/32.",5/2,1/6,9/8,5/9,12,3,,
125,"Simplify the fraction 6/8.",8/3,4/3,3/4,9/4,12,3,,
126,"Simplify the fraction 54/42.",9/2,9/7,7/3,3/5,12,2,,
127,"Simplify the fraction 30/35.",1/2,6/7,3/4,2/7,12,2,,
128,"Simplify the fraction 9/24.",1/7,7/6,1/5,3/8,12,4,,
129,"Simplify the fraction 14/10.",1/2,5/6,7/5,4/9,12,3,,
130,"Simplify the fraction 3/9.",3/4,1/4,1/7,1/3,12,4,,
131,"Simplify the fraction 45/20.",9/4,1/3,2/5,6/7,12,1,,
132,"Simplify the fraction 15/20.",3/8,3/4,7/8,7/6,12,2,,
133,"Simplify the fraction 40/56.",5/8,7/3,3/8,5/7,12,4,,
134,"Simplify the fraction 45/72.",8/5,5/8,3/8,2/3,12,2,,
135,"Simplify the fraction 45/35.",8/3,5/7,5/6,9/7,12,4,,
136,"Simplify the fraction 20/16.",1/8,2/3,7/6,5/4,12,4,,
137,"Simplify the fraction 32/56.",4/7,9/8,2/9,2/3,12,1,,
138,"Simplify the fraction 28/36.",6/5,1/2,7/9,2/5,12,3,,
139,"Simplify the fraction 14/10.",4/5,1/9,7/5,3/2,12,3,,
140,"Simplify the fraction 14/6.",7/3,6/7,8/3,7/8,12,1,,
141,"Simplify the fraction 8/48.",5/7,8/7,5/3,1/6,12,4,,
142,"Simplify the fraction 27/6.",7/4,9/2,5/8,6/7,12,2,,
143,"Simplify the fraction 4/10.",2/5,1/4,3/4,3/5,12,1,,
144,"Simplify the fraction 12/20.",1/9,4/3,3/5,9/5,12,3,,
145,"Simplify the fraction 10/45.",7/6,8/5,8/3,2/9,12,4,,
146,"Simplify the fraction 4/24.",5/3,1/6,7/6,1/4,12,2,,
147,"Simplify the fraction 21/28.",2/7,1/6,3/4,3/7,12,3,,
148,"Simplify the fraction 18/81.",2/9,8/3,6/5,1/5,12,1,,
149,"Simplify the fraction 21/35.",2/5,3/5,5/9,1/9,12,2,,
150,"Simplify the fraction 2/8.",1/4,1/5,7/9,6/5,12,1,,
151,"Simplify the fraction 36/45.",5/7,5/8,4/5,9/7,12,3,,
152,"Simplify the fraction 32/40.",4/3,8/7,3/5,4/5,12,4,,
153,"Simplify the fraction 27/24.",3/4,1/6,1/3,9/8,12,4,,
154,"Simplify the fraction 3/6.",8/5,4/9,1/2,2/7,12,3,,
155,"Simplify the fraction 9/15.",4/5,3/5,7/8,5/3,12,2,,
156,"Simplify the fraction 12/30.",5/6,2/5,5/4,1/7,12,2,,
157,"Simplify the fraction 72/40.",3/8,9/8,9/5,9/4,12,3,,
158,"Simplify the fraction 40/25.",4/9,4/3,6/7,8/5,12,4,,
159,"Simplify the fraction 21/9.",4/7,1/7,8/3,7/3,12,4,,
160,"Simplify the fraction 14/6.",1/7,1/2,7/3,4/7,12,3,,
161,"Simplify the fraction 8/32.",1/4,7/2,7/9,6/7,12,1,,
162,"Simplify the fraction 45/35.",7/9,5/7,2/5,9/7,12,4,,
163,"Simplify the fraction 27/21.",2/9,7/4,5/2,9/7,12,4,,
164,"Simplify the fraction 9/6.",2/7,3/2,1/6,1/8,12,2,,
165,"Simplify the fraction 5/30.",1/4,1/6,9/7,7/2,12,2,,
166,"Simplify the fraction 18/21.",1/9,3/5,6/7,4/5,12,3,,
167,"Simplify the fraction 2/6.",1/3,8/5,8/3,5/2,12,1,,
168,"Simplify the fraction 18/48.",8/7,9/8,3/4,3/8,12,4,,
169,"Simplify the fraction 32/40.",4/5,8/9,4/3,8/5,12,1,,
170,"Simplify the fraction 40/25.",1/7,9/7,8/5,5/7,12,3,,
171,"Simplify the fraction 16/10.",1/3,4/9,7/5,8/5,12,4,,
172,"Simplify the fraction 63/54.",9/5,7/9,9/2,7/6,12,4,,
173,"Simplify the fraction 27/6.",4/7,9/2,7/4,8/7,12,2,,
174,"Simplify the fraction 6/48.",1/7,7/5,5/9,1/8,12,4,,
175,"Simplify the fraction 24/40.",5/2,4/3,3/5,8/3,12,3,,
176,"Simplify the fraction 21/14.",6/5,3/2,4/9,1/2,12,2,,
177,"Simplify the fraction 45/54.",8/9,1/4,5/9,5/6,12,4,,
178,"Simplify the fraction 20/36.",5/9,1/3,1/6,7/6,12,1,,
179,"Simplify the fraction 54/45.",3/4,7/9,6/7,6/5,12,4,,
180,"Simplify the fraction 16/72.",3/8,1/6,2/9,5/7,12,3,,
181,"Simplify the fraction 24/20.",6/5,2/5,5/2,5/7,12,1,,
182,"Simplify the fraction 28/16.",3/2,4/7,9/7,7/4,12,4,,
183,"Simplify the fraction 32/72.",7/8,9/5,4/9,5/7,12,3,,
184,"Simplify the fraction 25/45.",5/7,1/3,1/4,5/9,12,4,,
185,"Simplify the fraction 30/48.",5/8,1/9,4/3,8/9,12,1,,
186,"Simplify the fraction 18/48.",3/8,7/3,7/4,9/8,12,1,,
187,"Simplify the fraction 27/6.",2/9,1/2,9/2,4/9,12,3,,
188,"Simplify the fraction 18/15.",9/5,7/9,1/2,6/5,12,4,,
189,"Simplify the fraction 12/18.",2/3,8/3,1/5,3/2,12,1,,
190,"Simplify the fraction 6/21.",4/3,2/7,3/7,8/3,12,2,,
191,"Simplify the fraction 16/72.",9/2,5/3,2/9,5/4,12,3,,
192,"Simplify the fraction 40/56.",2/7,7/5,7/8,5/7,12,4,,
193,"Simplify the fraction 6/27.",1/8,2/9,7/2,9/7,12,2,,
194,"Simplify the fraction 9/24.",3/8,7/5,8/9,4/5,12,1,,
195,"Simplify the fraction 49/56.",1/3,7/8,2/7,5/3,12,2,,
196,"Simplify the fraction 9/24.",7/2,5/7,3/8,5/6,12,3,,
197,"Simplify the fraction 8/64.",1/5,1/8,7/9,6/7,12,2,,
198,"Simplify the fraction 3/12.",9/7,9/2,1/4,3/5,12,3,,
199,"Simplify the fraction 7/56.",2/3,5/9,1/8,9/5,12,3,,
200,"Simplify the fraction 25/45.",5/9,3/5,9/7,7/4,12,1,,
201,"Simplify the fraction 8/10.",9/2,3/7,9/8,4/5,12,4,,
202,"Simplify the fraction 2/4.",5/8,1/2,5/3,7/8,12,2,,
203,"Simplify the fraction 10/15.",1/4,2/3,4/9,3/4,12,2,,
204,"Simplify the fraction 35/14.",5/2,7/9,5/4,5/6,12,1,,
205,"Simplify the fraction 14/6.",7/3,9/4,6/5,3/8,12,1,,
206,"Simplify the fraction 10/16.",5/6,8/9,5/8,9/7,12,3,,
207,"Simplify the fraction 45/54.",2/9,9/8,5/6,5/2,12,3,,
208,"Simplify the fraction 4/36.",9/4,4/3,2/5,1/9,12,4,,
209,"Simplify the fraction 54/63.",1/4,6/7,1/3,1/6,12,2,,
210,"Simplify the fraction 12/54.",9/8,5/4,1/9,2/9,12,4,,
211,"Simplify the fraction 56/35.",9/2,7/3,4/7,8/5,12,4,,
212,"Simplify the fraction 16/12.",5/7,1/7,4/3,7/5,12,3,,
213,"Simplify the fraction 5/25.",3/7,1/2,1/5,1/8,12,3,,
214,"Simplify the fraction 12/8.",8/9,5/8,3/2,1/3,12,3,,
215,"Simplify the fraction 45/20.",9/4,1/4,3/7,2/5,12,1,,
216,"Simplify the fraction 56/35.",8/5,4/9,5/3,7/4,12,1,,
217,"Simplify the fraction 12/16.",3/5,3/4,1/9,9/7,12,2,,
218,"Simplify the fraction 64/72.",8/9,5/2,3/8,1/9,12,1,,
219,"Simplify the fraction 18/4.",8/9,4/3,5/4,9/2,12,4,,
220,"Simplify the fraction 25/15.",5/3,1/7,3/2,3/5,12,1,,
221,"Simplify the fraction 20/25.",5/7,4/5,9/5,5/4,12,2,,
222,"Simplify the fraction 48/40.",6/7,9/2,6/5,1/9,12,3,,
223,"Simplify the fraction 12/54.",2/9,9/2,7/5,2/5,12,1,,
224,"Simplify the fraction 10/25.",1/3,5/3,8/5,2/5,12,4,,
225,"Simplify the fraction 6/12.",2/7,1/4,1/2,5/7,12,3,,
226,"Simplify the fraction 12/20.",3/5,2/5,9/7,5/8,12,1,,
227,"Simplify the fraction 2/4.",9/8,7/2,6/5,1/2,12,4,,
228,"Simplify the fraction 9/72.",5/4,2/5,1/8,9/4,12,3,,
229,"Simplify the fraction 56/64.",1/3,7/9,9/5,7/8,12,4,,
230,"Simplify the fraction 14/63.",2/9,5/4,6/7,8/3,12,1,,
231,"Simplify the fraction 72/27.",5/6,5/9,7/4,8/3,12,4,,
232,"Simplify the fraction 10/35.",1/6,3/4,2/7,8/7,12,3,,
233,"Simplify the fraction 54/63.",6/7,1/2,4/3,9/4,12,1,,
234,"Simplify the fraction 7/14.",4/3,7/9,7/5,1/2,12,4,,
235,"Simplify the fraction 3/15.",1/5,1/2,4/9,8/7,12,1,,
236,"Simplify the fraction 14/6.",7/3,3/4,2/3,4/5,12,1,,
237,"Simplify the fraction 12/54.",2/9,4/5,5/2,3/8,12,1,,
238,"Simplify the fraction 21/35.",2/7,3/5,2/5,1/6,12,2,,
239,"Simplify the fraction 15/18.",4/5,5/6,6/7,8/7,12,2,,
240,"Simplify the fraction 25/10.",2/5,5/2,2/9,1/9,12,2,,
241,"Simplify the fraction 7/21.",3/5,6/5,2/5,1/3,12,4,,
242,"Simplify the fraction 45/35.",1/7,9/7,1/5,2/3,12,2,,
243,"Simplify the fraction 20/8.",1/7,4/5,1/3,5/2,12,4,,
244,"Simplify the fraction 35/28.",3/8,3/7,5/4,7/9,12,3,,
245,"Simplify the fraction 28/12.",1/6,7/5,7/3,6/5,12,3,,
246,"Simplify the fraction 54/48.",9/5,8/3,7/4,9/8,12,4,,
247,"Simplify the fraction 72/16.",8/3,3/7,5/9,9/2,12,4,,
248,"Simplify the fraction 9/24.",2/5,3/8,8/3,2/3,12,2,,
249,"Simplify the fraction 8/16.",1/2,4/9,9/5,8/3,12,1,,
250,"Simplify the fraction 25/10.",7/9,4/5,5/2,7/3,12,3,,
251,"Simplify the fraction 48/42.",2/5,4/9,8/7,1/5,12,3,,
252,"Simplify the fraction 10/35.",2/5,1/3,6/5,2/7,12,4,,
253,"Simplify the fraction 54/12.",9/2,4/7,3/5,1/9,12,1,,
254,"Simplify the fraction 8/14.",4/7,1/3,7/2,3/8,12,1,,
255,"Simplify the fraction 45/40.",9/8,6/7,9/7,3/5,12,1,,
256,"Simplify the fraction 40/25.",5/8,5/7,8/5,3/8,12,3,,
257,"Simplify the fraction 4/20.",6/5,1/9,1/5,4/7,12,3,,
258,"Simplify the fraction 8/32.",4/3,1/4,5/2,8/5,12,2,,
259,"Simplify the fraction 81/18.",1/5,9/7,9/2,9/4,12,3,,
260,"Simplify the fraction 36/81.",4/9,5/9,7/3,8/7,12,1,,
261,"Simplify the fraction 4/10.",5/7,2/5,8/3,3/7,12,2,,
262,"Simplify the fraction 9/18.",7/4,2/7,1/2,4/3,12,3,,
263,"Simplify the fraction 14/21.",7/5,1/9,1/7,2/3,12,4,,
264,"Simplify the fraction 9/36.",1/4,7/6,7/8,5/8,12,1,,
265,"Simplify the fraction 72/64.",3/8,7/6,8/9,9/8,12,4,,
266,"Simplify the fraction 35/10.",7/2,7/3,7/9,3/8,12,1,,
267,"Simplify the fraction 35/20.",7/4,6/5,1/5,3/7,12,1,,
268,"Simplify the fraction 28/49.",2/7,3/5,4/7,4/5,12,3,,
269,"Simplify the fraction 16/14.",5/4,9/7,8/7,8/3,12,3,,
270,"Simplify the fraction 10/25.",5/2,3/4,7/4,2/5,12,4,,
271,"Simplify the fraction 4/24.",7/4,1/6,4/3,2/9,12,2,,
272,"Simplify the fraction 6/21.",3/2,2/5,2/7,5/8,12,3,,
273,"Simplify the fraction 49/42.",9/2,7/6,4/3,5/2,12,2,,
274,"Simplify the fraction 45/27.",5/3,9/8,9/7,2/3,12,1,,
275,"Simplify the fraction 81/36.",5/2,7/6,9/4,1/2,12,3,,
276,"Simplify the fraction 16/14.",1/6,3/2,8/7,6/7,12,3,,
277,"Simplify the fraction 18/63.",5/3,8/7,2/7,8/5,12,3,,
278,"Simplify the fraction 32/72.",4/9,1/6,9/8,7/8,12,1,,
279,"Simplify the fraction 56/49.",6/7,8/7,3/8,7/6,12,2,,
280,"Simplify the fraction 27/6.",1/6,3/7,9/2,5/7,12,3,,
281,"Simplify the fraction 35/28.",5/4,8/3,1/3,5/6,12,1,,
282,"Simplify the fraction 49/21.",7/3,3/5,5/9,5/2,12,1,,
283,"Simplify the fraction 36/42.",6/7,3/2,9/2,5/3,12,1,,
284,"Simplify the fraction 56/49.",8/7,2/5,9/5,1/6,12,1,,
285,"Simplify the fraction 48/56.",1/5,4/9,5/8,6/7,12,4,,
286,"Simplify the fraction 6/12.",1/5,1/2,1/7,2/3,12,2,,
287,"Simplify the fraction 63/35.",2/5,4/5,9/5,9/4,12,3,,
288,"Simplify the fraction 63/28.",7/5,4/5,1/2,9/4,12,4,,
289,"Simplify the fraction 6/9.",3/5,2/3,7/8,4/9,12,2,,
290,"Simplify the fraction 63/72.",7/8,8/7,5/7,3/8,12,1,,
291,"Simplify the fraction 45/40.",9/8,7/3,7/9,6/7,12,1,,
292,"Simplify the fraction 28/21.",1/2,4/3,3/8,5/6,12,2,,
293,"Simplify the fraction 3/15.",1/3,7/3,5/7,1/5,12,4,,
294,"Simplify the fraction 63/54.",8/9,2/5,3/5,7/6,12,4,,
295,"Simplify the fraction 9/72.",5/2,1/3,6/5,1/8,12,4,,
296,"Simplify the fraction 81/63.",1/9,4/3,9/7,8/3,12,3,,
297,"Simplify the fraction 35/25.",7/4,9/4,7/5,3/2,12,3,,
298,"Simplify the fraction 24/21.",8/7,9/4,6/5,7/8,12,1,,
299,"Simplify the fraction 25/45.",1/4,3/7,5/9,3/2,12,3,,
300,"Simplify the fraction 35/45.",2/7,7/2,4/3,7/9,12,4,,
301,"Simplify the fraction 48/54.",9/5,8/9,1/2,4/7,12,2,,
302,"Simplify the fraction 25/35.",2/7,7/3,5/7,4/7,12,3,,
303,"Simplify the fraction 8/64.",5/2,7/4,1/4,1/8,12,4,,
304,"Simplify the fraction 6/18.",7/3,2/9,1/3,4/3,12,3,,
305,"Simplify the fraction 35/42.",8/3,1/3,7/9,5/6,12,4,,
306,"Simplify the fraction 6/30.",1/5,7/5,7/2,3/4,12,1,,
307,"Simplify the fraction 2/12.",7/3,1/6,1/3,3/5,12,2,,
308,"Simplify the fraction 63/35.",9/2,9/5,4/9,7/8,12,2,,
309,"Simplify the fraction 18/81.",3/4,2/9,8/5,6/5,12,2,,
310,"Simplify the fraction 81/18.",5/9,3/4,9/2,1/8,12,3,,
311,"Simplify the fraction 12/15.",1/2,4/7,4/9,4/5,12,4,,
312,"Simplify the fraction 12/28.",9/2,3/7,2/7,7/4,12,2,,
313,"Simplify the fraction 10/6.",5/3,7/3,8/7,4/3,12,1,,
314,"Simplify the fraction 63/45.",6/5,8/5,1/2,7/5,12,4,,
315,"Simplify the fraction 30/35.",2/7,6/7,3/5,7/8,12,2,,
316,"Simplify the fraction 20/8.",7/3,5/2,3/8,1/4,12,2,,
317,"Simplify the fraction 6/24.",8/9,5/9,7/2,1/4,12,4,,
318,"Simplify the fraction 10/16.",9/2,5/8,1/3,3/7,12,2,,
319,"Simplify the fraction 24/40.",9/7,3/5,4/9,5/8,12,2,,
320,"Simplify the fraction 4/14.",2/7,2/5,6/7,7/6,12,1,,
321,"Simplify the fraction 25/10.",1/8,3/2,7/3,5/2,12,4,,
322,"Simplify the fraction 6/18.",1/2,9/2,1/5,1/3,12,4,,
323,"Simplify the fraction 12/28.",1/7,2/3,7/3,3/7,12,4,,
324,"Simplify the fraction 10/6.",9/4,7/2,4/9,5/3,12,4,,
325,"Simplify the fraction 40/16.",2/3,5/2,8/7,3/2,12,2,,
326,"Simplify the fraction 9/18.",2/5,3/7,1/2,5/3,12,3,,
327,"Simplify the fraction 9/12.",4/5,3/4,5/9,1/2,12,2,,
328,"Simplify the fraction 24/21.",8/7,2/5,9/5,7/4,12,1,,
329,"Simplify the fraction 35/40.",4/9,2/7,7/8,5/2,12,3,,
330,"Simplify the fraction 28/8.",7/2,7/9,9/7,3/4,12,1,,
331,"Simplify the fraction 56/21.",8/3,4/3,9/2,5/2,12,1,,
332,"Simplify the fraction 24/64.",5/7,3/8,7/2,5/8,12,2,,
333,"Simplify the fraction 5/45.",1/9,7/2,5/6,5/2,12,1,,
334,"Simplify the fraction 10/15.",9/7,2/3,3/8,3/2,12,2,,
335,"Simplify the fraction 45/18.",9/8,9/4,5/2,3/7,12,3,,
336,"Simplify the fraction 56/49.",5/4,1/2,1/6,8/7,12,4,,
337,"Simplify the fraction 7/28.",1/4,8/7,1/9,7/4,12,1,,
338,"Simplify the fraction 14/8.",2/9,1/7,7/4,2/3,12,3,,
339,"Simplify the fraction 20/36.",8/5,8/9,5/9,7/2,12,3,,
340,"Simplify the fraction 4/6.",5/2,9/5,2/3,2/9,12,3,,
341,"Simplify the fraction 40/56.",1/3,2/3,7/6,5/7,12,4,,
342,"Simplify the fraction 42/12.",7/2,9/4,7/9,7/6,12,1,,
343,"Simplify the fraction 48/56.",9/7,7/3,6/7,6/5,12,3,,
344,"Simplify the fraction 16/28.",7/6,4/7,1/8,7/4,12,2,,
345,"Simplify the fraction 2/18.",9/2,3/2,1/2,1/9,12,4,,
346,"Simplify the fraction 15/40.",5/3,1/4,3/8,3/4,12,3,,
347,"Simplify the fraction 24/27.",3/2,8/7,8/9,9/5,12,3,,
348,"Simplify the fraction 56/24.",3/5,7/3,7/4,7/5,12,2,,
349,"Simplify the fraction 14/6.",8/9,8/5,2/3,7/3,12,4,,
350,"Simplify the fraction 12/10.",9/5,3/4,2/3,6/5,12,4,,
351,"Simplify the fraction 9/27.",5/6,5/3,4/9,1/3,12,4,,
352,"Simplify the fraction 56/24.",9/5,6/7,7/9,7/3,12,4,,
353,"Simplify the fraction 28/63.",2/3,4/9,9/5,5/4,12,2,,
354,"Simplify the fraction 6/54.",1/9,4/3,5/2,7/4,12,1,,
355,"Simplify the fraction 12/16.",5/6,4/9,3/4,1/7,12,3,,
