"Blooket
Import Template",,,,,,,,,
11,"Which sentence shows parallelism in the list?","The athlete won gold in swimming, silver in biking, and they received bronze in running.","Her tasks included scheduling, organizing events, and to manage budgets.","They want to become doctors, researchers, and to mentor others.","The government aims to improve infrastructure, enhance education, and support healthcare.",30,4,,
12,"Which sentence shows parallelism in the list?","We traveled to Spain, visited France, and explored Italy.","My friends enjoy hiking, biking, and they like to swimm.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","She has a knack for teaching, guides, and inspiring students.",30,1,,
13,"Which sentence shows parallelism in the list?","The recipe requires tomatoes, onions, and garlic.","The recipe calls for flour, sugar, and adding butter.","She is passionate about teaching, mentoring, and she inspired youth.","I want to write a novel, publish a book, and to inspire others.",30,1,,
14,"Which sentence shows parallelism in the list?","Her tasks include scheduling meetings, organizing events, and managing budgets.","The athlete trained hard, eats well, and resting enough.","He is skilled at singing, dances, and to act in plays.","The museum showcases art, history, and also has science exhibits.",30,1,,
15,"Which sentence shows parallelism in the list?","He is skilled at singing, dances, and to act in plays.","He is known for humor, his intelligence, and he creates masterpieces.","He enjoys watching sports, playing video games, and reading comic books.","His duties included leading the meeting, preparing the agenda, and to take notes.",30,3,,
16,"Which sentence shows parallelism in the list?","She committed to exercising regularly, eating healthily, and to get more sleep.","The team needs to improve their defense, enhance their offense, and increase their stamina.","The coach instructed the players to practice hard, to focus on their game, and had fun.","The concert featured musicians from various genres, including jazz, playing rock music, and classical music.",30,2,,
17,"Which sentence shows parallelism in the list?","I want to travel, to learn, and growing my skillset.","The research should include data collection, analysis, and interpretation.","The project involves planning, the execution, and evaluates needs.","He needs to organize his schedule, managing his time, and priorities.",30,2,,
18,"Which sentence shows parallelism in the list?","She decided to study biology, went to chemistry classes, and environmental science.","Her strengths include adaptability, creativity, and to be resilient.","She has a knack for teaching, guiding, and inspiring students.","We need to focus on quality, efficiency, and to ensure safety.",30,3,,
19,"Which sentence shows parallelism in the list?","They decided to relax, unwinding, and have fun.","I enjoy hiking in the mountains, kayaking on the lake, and to cycle through the woods.","The initiative includes pollution reduction, raising awareness, and community engagement.","Her interests span music, art, and literature.",30,4,,
20,"Which sentence shows parallelism in the list?","We should strive for excellence, integrity, and innovation in our work.","I hope to build networking, gain experience, and achieving goals.","The volunteer program focuses on education, health matters, and on sustainability for the environment.","I like to read fiction, to write poetry, and drawing illustrations.",30,1,,
21,"Which sentence shows parallelism in the list?","The athlete trains rigorously, maintains discipline, and develops strategies.","They decided to relax, unwinding, and have fun.","The book explores love, to lose love ones, and themes of redemption.","The research should include data collection, you analyze the data, and interpreting results.",30,1,,
22,"Which sentence shows parallelism in the list?","They are planning to invest in stocks, real estate, and in bonds.","We should strive for excellence, integrity, and innovation in our work.","He needs to organize his schedule, managing his time, and priorities.","The book explores love, to lose love ones, and themes of redemption.",30,2,,
23,"Which sentence shows parallelism in the list?","They decided to relax, unwinding, and have fun.","The goal is to reduce waste, to conserve resources, and improve sustainability.","The athlete trains hard, eats well, and rests enough.","We need to address safety, efficiency, and decrease costs.",30,3,,
24,"Which sentence shows parallelism in the list?","The teacher encourages reading, to write, and having discussions.","The team needs to improve defense, enhance offense, and stamina.","We traveled to Spain, visited France, and explored Italy.","His favorite activities are fishing, hunting, and to be outdoors.",30,3,,
25,"Which sentence shows parallelism in the list?","She likes to swim, biking, and to run.","He loves to travel, experience new cultures, and make friends.","My hobbies are painting, drawing, and to sculpt.","I want to travel, to learn, and growing my skillset.",30,2,,
26,"Which sentence shows parallelism in the list?","She decided to study biology, went to chemistry classes, and environmental science.","The teacher emphasized reading, writing, and critical thinking.","He is committed to personal growth, to professional development, and serving communities.","The athlete won gold in swimming, silver in biking, and they received bronze in running.",30,2,,
27,"Which sentence shows parallelism in the list?","The committee plans to discuss funding, review applications, and set deadlines.","The athlete won gold in swimming, silver in biking, and they received bronze in running.","He loves to travel, to experience new cultures, and making friends.","They were excited to hike, to camp, and catching fish.",30,1,,
28,"Which sentence shows parallelism in the list?","I enjoy visiting new places, trying new foods, and to meet new people.","The dog barked loudly, running quickly, and jumps playfully.","The dog barked loudly, ran quickly, and jumping playfully.","She enjoys reading novels, watching movies, and attending theater shows.",30,4,,
29,"Which sentence shows parallelism in the list?","The athlete won gold in swimming, silver in biking, and they received bronze in running.","He is skilled at singing, dances, and to act in plays.","She found joy in painting, knitting, and reading.","The athlete trained hard, eats well, and resting enough.",30,3,,
30,"Which sentence shows parallelism in the list?","The exam will assess knowledge, understanding, and you need honed skills.","I like to read fiction, to write poetry, and drawing illustrations.","The dog barked loudly, ran quickly, and jumped playfully.","The athlete trained hard, eats well, and resting enough.",30,3,,
31,"Which sentence shows parallelism in the list?","They decided to relax, unwinding, and have fun.","She was determined to win the race, to secure a medal, and achieving her personal best.","I like to listen to music, read books, and go for walks.","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.",30,3,,
32,"Which sentence shows parallelism in the list?","He likes to play chess, to watch movies, and to cook gourmet meals.","She aspires to travel the world, learning new languages, and to experience cultures.","His favorite activities are fishing, hunting, and to be outdoors.","The artist's work includes sculptures, paintings, and installing art.",30,1,,
33,"Which sentence shows parallelism in the list?","She found joy in painting, knitting, and reading.","The student demonstrated writing skills, researching abilities, and presented data.","They planned to hike, camp, and relaxing by the lake.","The project involves planning, the execution, and evaluates needs.",30,1,,
34,"Which sentence shows parallelism in the list?","The organization aims to promote education, support health initiatives, and empower communities.","The festival features games, contests, and acrobats will fly.","She was determined to win the race, to secure a medal, and achieving her personal best.","His duties included leading the meeting, preparing the agenda, and to take notes.",30,1,,
35,"Which sentence shows parallelism in the list?","She is passionate about teaching, mentoring, and she inspired youth.","Her interests span music, art, and literature.","I enjoy visiting new places, trying new foods, and to meet new people.","Her favorite activities are painting, to travel, and to cook.",30,2,,
36,"Which sentence shows parallelism in the list?","The exam will assess knowledge, understanding, and you need honed skills.","We need to address safety, efficiency, and decrease costs.","Her tasks include scheduling meetings, organizing events, and managing budgets.","I want to travel, to learn, and growing my skillset.",30,3,,
37,"Which sentence shows parallelism in the list?","We need to address safety, efficiency, and decrease costs.","She was determined to win the race, to secure a medal, and achieving her personal best.","The team needs to improve their defense, enhance their offense, and increase their stamina.","He needs to organize his schedule, managing his time, and priorities.",30,3,,
38,"Which sentence shows parallelism in the list?","She was determined to win the race, to secure a medal, and achieving her personal best.","They decided to relax, unwinding, and have fun.","The museum showcases art, history, and also has science exhibits.","He is talented in singing, dancing, and acting.",30,4,,
39,"Which sentence shows parallelism in the list?","The curriculum includes reading, writing, and includes math.","They were excited to hike, to camp, and catching fish.","They are planning to invest in stocks, real estate, and bonds.","The coach instructed the players to practice hard, to focus on their game, and had fun.",30,3,,
40,"Which sentence shows parallelism in the list?","They hope for expansion of their business, improving customer service, and to innovate products.","He needs to organize his schedule, managing his time, and priorities.","She enjoys reading novels, watching movies, and attending theater shows.","The dog barked loudly, running quickly, and jumps playfully.",30,3,,
41,"Which sentence shows parallelism in the list?","I enjoy hiking in the mountains, kayaking on the lake, and cycling through the woods.","The seminar will cover leadership, teamwork, and we work on communication skills.","The artist's work includes sculptures, paintings, and installing art.","I want to write a novel, publish a book, and to inspire others.",30,1,,
42,"Which sentence shows parallelism in the list?","He is committed to personal growth, professional development, and community service.","He loves to travel, to experience new cultures, and making friends.","I like to listen to music, to read books, and going for walks.","The presentation included visuals, showed data, and anecdotes.",30,1,,
43,"Which sentence shows parallelism in the list?","I like to read fiction, to write poetry, and drawing illustrations.","She was determined to win the race, to secure a medal, and achieving her personal best.","He bought apples, oranges, and bananas at the store.","The student demonstrated writing skills, researching abilities, and presented data.",30,3,,
44,"Which sentence shows parallelism in the list?","They plan to renovate their home, landscape the garden, and decorate the interior.","He is skilled at singing, dances, and to act in plays.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","The book explores love, to lose love ones, and themes of redemption.",30,1,,
45,"Which sentence shows parallelism in the list?","She has a knack for teaching, guides, and inspiring students.","She aspires to travel the world, learning new languages, and to experience cultures.","The chef specializes in Italian, French, and Thai cuisine.","The curriculum includes reading, writing, and includes math.",30,3,,
46,"Which sentence shows parallelism in the list?","The recipe requires tomatoes, onions, and needs garlic.","He enjoys sports, playing video games, and to read comics.","He needs to organize his schedule, managing his time, and priorities.","She is passionate about teaching, mentoring, and inspiring young minds.",30,4,,
47,"Which sentence shows parallelism in the list?","The team needs to improve their defense, enhance their offense, and increase their stamina.","The movie was thrilling, it was engaging, and thought-provoking.","The team needs to improve defense, enhance offense, and stamina.","The chef specializes in Italian, French, and to cook Thai cuisine.",30,1,,
48,"Which sentence shows parallelism in the list?","They are planning to invest in stocks, real estate, and bonds.","She is skilled at baking, gardening, and she knits sweaters.","They were excited to hike, to camp, and catching fish.","He is skilled at singing, dances, and to act in plays.",30,1,,
49,"Which sentence shows parallelism in the list?","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.","She aspires to travel the world, learning new languages, and to experience cultures.","I enjoy hiking in the mountains, kayaking on the lake, and cycling through the woods.","The team needs to improve defense, enhance offense, and stamina.",30,3,,
50,"Which sentence shows parallelism in the list?","They were excited to hike, to camp, and catching fish.","I hope to build a network, gain experience, and achieve my goals.","She excels in mathematics, science, and with technology.","They want to become doctors, researchers, and to mentor others.",30,2,,
51,"Which sentence shows parallelism in the list?","She likes to swim, to bike, and to run.","The chef specializes in Italian, French, and to cook Thai cuisine.","Our company values honesty, integrity, and teamwork.","I like to listen to music, to read books, and going for walks.",30,1,,
52,"Which sentence shows parallelism in the list?","The project involves planning, the execution, and evaluates needs.","We need to settle the budget, finalize the schedule, and assign tasks.","My favorite outdoor activities are to camp, going hiking, and kayak.","We should strive for integrity, excellence in our efforts, and innovate the future.",30,2,,
53,"Which sentence shows parallelism in the list?","They prepared to celebrate, to recognize achievements, and to inspire future success.","We enjoyed the performance, atmosphere, and had great food.","She likes to swim, biking, and to run.","I prefer tea, to drink coffee, or hot chocolate.",30,1,,
54,"Which sentence shows parallelism in the list?","The athlete trains rigorously, maintains discipline, and developing strategies.","My favorite fruits include strawberries, blueberries, and raspberries.","They decided to relax, unwinding, and have fun.","His duties included leading the meeting, preparing the agenda, and to take notes.",30,2,,
55,"Which sentence shows parallelism in the list?","She loves learning languages, exploring cultures, and meeting new people.","They are planning to invest in stocks, real estate, and in bonds.","I hope to build networking, gain experience, and achieving goals.","The project involves planning, the execution, and evaluates needs.",30,1,,
56,"Which sentence shows parallelism in the list?","My hobbies are painting, drawing, and to sculpt.","He is talented at singing, dance, and acting.","The volunteer program focuses on education, health, and environmental sustainability.","I want to travel, to learn, and growing my skillset.",30,3,,
57,"Which sentence shows parallelism in the list?","She is skilled at baking, gardening, and knitting.","She likes swimming, to bike, and running.","Our company values honesty, integrity, and teamwork.","My friends enjoy hiking, biking, and they like to swimm.",30,1,,
58,"Which sentence shows parallelism in the list?","They hope for expansion of their business, improving customer service, and to innovate products.","The seminar will cover leadership, teamwork, and we work on communication skills.","She loves learning languages, exploring cultures, and meeting new people.","She excels in mathematics, science, and with technology.",30,3,,
59,"Which sentence shows parallelism in the list?","My favorite outdoor activities are camping, hiking, and kayaking.","The museum showcases art, history, and also has science exhibits.","The workshop will cover marketing, how to manage finance, and cover operational skills.","The service offers flexibility, efficiency, and offers quality.",30,1,,
60,"Which sentence shows parallelism in the list?","Her interests include learning music, art appreciation, and reading literature.","Her favorite activities are painting, to travel, and to cook.","The chef specializes in Italian, French, and Thai cuisine.","The book explores love, to lose love ones, and themes of redemption.",30,3,,
61,"Which sentence shows parallelism in the list?","The coach instructed the players to practice hard, to focus on their game, and had fun.","The recipe requires tomatoes, onions, and needs garlic.","My hobbies are painting, drawing, and to sculpt.","Our team needs to practice more, strategize better, and execute flawlessly.",30,4,,
62,"Which sentence shows parallelism in the list?","We enjoyed the performance, atmosphere, and had great food.","She is passionate about teaching, mentoring, and inspiring young minds.","We traveled to Spain, visiting France, and to explore Italy.","He is skilled at singing, dances, and to act in plays.",30,2,,
63,"Which sentence shows parallelism in the list?","She decided to study biology, went to chemistry classes, and environmental science.","The artist’s work includes sculptures, paintings, and installations.","He needs to organize his schedule, managing his time, and priorities.","The festival features games, contests, and acrobats will fly.",30,2,,
64,"Which sentence shows parallelism in the list?","The dog barked loudly, ran quickly, and jumping playfully.","The student demonstrated writing skills, researching abilities, and presented data.","The applicant demonstrated leadership, initiative, and innovation.","She enjoys writing, to draw, and publishing books.",30,3,,
65,"Which sentence shows parallelism in the list?","Our company values honesty, integrity, and teamwork.","My friends enjoy hiking, biking, and they like to swimm.","I enjoy visiting new places, trying new foods, and meeting new people.","The curriculum includes reading, writing, and includes math.",30,3,,
66,"Which sentence shows parallelism in the list?","She likes to swim, biking, and to run.","His favorite activities are fishing, hunting, and to be outdoors.","The project involves planning, the execution, and evaluates needs.","The goals of the initiative include reducing pollution, increasing awareness, and enhancing community engagement.",30,4,,
67,"Which sentence shows parallelism in the list?","The artist's work includes sculptures, paintings, and installing art.","My favorite outdoor activities are to camp, going hiking, and kayak.","She excels in mathematics, science, and with technology.","I want to write a novel, publish a book, and inspire others.",30,4,,
68,"Which sentence shows parallelism in the list?","The seminar will cover leadership, communication, and teamwork skills.","He needs to organize his schedule, managing his time, and priorities.","The seminar will cover leadership, teamwork, and we work on communication skills.","I like to listen to music, to read books, and going for walks.",30,1,,
69,"Which sentence shows parallelism in the list?","The workshop will cover topics in marketing, finance, and operations.","I prefer tea, to drink coffee, or hot chocolate.","Her tasks included scheduling, organizing events, and to manage budgets.","She is passionate about teaching, mentoring, and she inspired youth.",30,1,,
70,"Which sentence shows parallelism in the list?","I prefer tea, to drink coffee, or hot chocolate.","The applicant demonstrated leadership, initiative, and innovation.","They planned to hike, camp, and relaxing by the lake.","He likes to play chess, watching movies, and cook gourmet meals.",30,2,,
71,"Which sentence shows parallelism in the list?","My hobbies are painting, drawing, and sculpting.","The exam will assess knowledge, understanding, and you need honed skills.","Her interests include learning music, art appreciation, and reading literature.","Our company values honesty, integrity, and teamwork.",30,1,,
72,"Which sentence shows parallelism in the list?","They plan to renovate their home, landscape the garden, and to decorate the interior.","The chef specializes in Italian, French, and to cook Thai cuisine.","The movie was thrilling, it was engaging, and thought-provoking.","She likes to swim, to bike, and to run.",30,4,,
73,"Which sentence shows parallelism in the list?","They planned to hike, camp, and relax by the lake.","Her favorite activities are painting, to travel, and to cook.","The dog barked loudly, ran quickly, and jumping playfully.","The project requires creativity, collaboration, and being persistent.",30,1,,
74,"Which sentence shows parallelism in the list?","He is talented at singing, dance, and acting.","They planned to hike, camp, and relax by the lake.","The library offers books, magazines, and keeps track of all visitors.","His duties included leading the meeting, preparing the agenda, and to take notes.",30,2,,
75,"Which sentence shows parallelism in the list?","She enjoys writing, to draw, and publishing books.","He likes to play chess, to watch movies, and to cook gourmet meals.","The coach instructed the players to practice hard, to focus on their game, and had fun.","They are planning to invest in stocks, real estate, and in bonds.",30,2,,
76,"Which sentence shows parallelism in the list?","She decided to study biology, went to chemistry classes, and environmental science.","He is known for humor, his intelligence, and he creates masterpieces.","The festival featured games, contests, and performances.","I want to travel, to learn, and growing my skillset.",30,3,,
77,"Which sentence shows parallelism in the list?","We need to focus on quality, efficiency, and safety.","He is skilled at singing, dances, and to act in plays.","My favorite outdoor activities are to camp, going hiking, and kayak.","I enjoy visiting new places, trying new foods, and to meet new people.",30,1,,
78,"Which sentence shows parallelism in the list?","The exam will assess knowledge, skills, and understanding.","We traveled to Spain, visiting France, and to explore Italy.","She excels in mathematics, science, and with technology.","The goal is to reduce waste, to conserve resources, and improve sustainability.",30,1,,
79,"Which sentence shows parallelism in the list?","The book explores themes of love, loss, and redemption.","The student demonstrated writing skills, researching abilities, and presented data.","The service offers flexibility, efficiency, and offers quality.","The dog barked loudly, running quickly, and jumps playfully.",30,1,,
80,"Which sentence shows parallelism in the list?","My hobbies are painting, drawing, and to sculpt.","The research should include data collection, you analyze the data, and interpreting results.","The athlete trained hard, eats well, and resting enough.","My favorite outdoor activities are camping, hiking, and kayaking.",30,4,,
81,"Which sentence shows parallelism in the list?","I like to listen to music, to read books, and going for walks.","The artist's work includes sculptures, paintings, and installing art.","He likes to play chess, to watch movies, and to cook gourmet meals.","They are planning to invest in stocks, real estate, and in bonds.",30,3,,
82,"Which sentence shows parallelism in the list?","The presentation highlighted the benefits, the challenges, and the strategies for success.","The project involves planning, the execution, and evaluates needs.","I like to listen to music, to read books, and going for walks.","My favorite fruits are strawberries, eating blueberries, and raspberry.",30,1,,
83,"Which sentence shows parallelism in the list?","She enjoys reading novels, watching movies, and attending theater shows.","The student demonstrated writing skills, researching abilities, and presented data.","He is known for humor, his intelligence, and he creates masterpieces.","She decided to study biology, went to chemistry classes, and environmental science.",30,1,,
84,"Which sentence shows parallelism in the list?","The dog barked loudly, running quickly, and jumps playfully.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","Her strengths include adaptability, creativity, and resilience.","The movie was thrilling, it was engaging, and thought-provoking.",30,3,,
85,"Which sentence shows parallelism in the list?","We traveled to Spain, visiting France, and to explore Italy.","The research should include data collection, you analyze the data, and interpreting results.","The coach emphasized team strategy, teamwork, and to practice.","My favorite fruits include strawberries, blueberries, and raspberries.",30,4,,
86,"Which sentence shows parallelism in the list?","The organization aims to promote education, support health initiatives, and empower communities.","They were excited to hike, to camp, and catching fish.","I hope to build networking, gain experience, and achieving goals.","He likes to play chess, watching movies, and cook gourmet meals.",30,1,,
87,"Which sentence shows parallelism in the list?","The goals of the initiative include reducing pollution, increasing awareness, and enhancing community engagement.","The seminar will cover leadership, teamwork, and we work on communication skills.","Her tasks included scheduling, organizing events, and to manage budgets.","The museum showcases art, history, and also has science exhibits.",30,1,,
88,"Which sentence shows parallelism in the list?","She enjoys writing, to draw, and publishing books.","The research should include data collection, you analyze the data, and interpreting results.","She decided to study biology, chemistry, and environmental science.","I like to listen to music, to read books, and going for walks.",30,3,,
89,"Which sentence shows parallelism in the list?","The chef specializes in Italian, French, and to cook Thai cuisine.","The goal is to reduce waste, to conserve resources, and improve sustainability.","The dog barked loudly, ran quickly, and jumping playfully.","She decided to study biology, chemistry, and environmental science.",30,4,,
90,"Which sentence shows parallelism in the list?","She loves learning languages, exploring cultures, and meeting new people.","He loves to travel, to experience new cultures, and making friends.","The book explores love, to lose love ones, and themes of redemption.","My friends enjoy hiking, biking, and they like to swimm.",30,1,,
91,"Which sentence shows parallelism in the list?","The project requires creativity, collaboration, and being persistent.","She enjoys reading novels, to watch movies, and going to the theater.","Her goals include saving money, improving health, and to enjoy life.","The workshop will cover topics in marketing, finance, and operations.",30,4,,
92,"Which sentence shows parallelism in the list?","The applicant demonstrated leadership skills, has initiative, and innovation.","The concert featured musicians from various genres, including jazz, playing rock music, and classical music.","The teacher encourages reading, to write, and having discussions.","I want to write a novel, publish a book, and inspire others.",30,4,,
93,"Which sentence shows parallelism in the list?","The service offers flexibility, efficiency, and offers quality.","The curriculum includes reading, writing, and mathematics.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","Her favorite activities are painting, to travel, and to cook.",30,2,,
94,"Which sentence shows parallelism in the list?","The chef specializes in Italian, French, and to cook Thai cuisine.","The seminar will cover leadership, communication, and teamwork skills.","The athlete won gold in swimming, silver in biking, and they received bronze in running.","Her favorite activities are painting, to travel, and to cook.",30,2,,
95,"Which sentence shows parallelism in the list?","They hope for expansion of their business, improving customer service, and to innovate products.","The presentation included visuals, data, and anecdotes.","He loves to travel, to experience new cultures, and making friends.","He is committed to personal growth, to professional development, and serving communities.",30,2,,
96,"Which sentence shows parallelism in the list?","The goal is to reduce waste, to conserve resources, and improve sustainability.","She was determined to win the race, to secure a medal, and to achieve her personal best.","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.","The museum showcases art, history, and also has science exhibits.",30,2,,
97,"Which sentence shows parallelism in the list?","The presentation included visuals, showed data, and anecdotes.","She was determined to win the race, to secure a medal, and achieving her personal best.","We should strive for excellence, integrity, and innovation in our work.","They hope for expansion of their business, improving customer service, and to innovate products.",30,3,,
98,"Which sentence shows parallelism in the list?","My hobbies are painting, drawing, and to sculpt.","Her favorite activities are painting, to travel, and to cook.","The athlete trained hard, eats well, and resting enough.","The athlete won gold in swimming, silver in biking, and bronze in running.",30,4,,
99,"Which sentence shows parallelism in the list?","The volunteer program focuses on education, health matters, and on sustainability for the environment.","He enjoys sports, playing video games, and to read comics.","He bought apples, oranges, and bananas at the store.","I want to write a novel, publish a book, and to inspire others.",30,3,,
100,"Which sentence shows parallelism in the list?","The athlete trains rigorously, maintains discipline, and develops strategies.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","My friends enjoy hiking, biking, and they like to swimm.","The coach emphasized team strategy, teamwork, and to practice.",30,1,,
101,"Which sentence shows parallelism in the list?","The project involves planning, the execution, and evaluates needs.","Her strengths include adaptability, creativity, and to be resilient.","We must remember to stay focused, work together, and communicate effectively.","Her tasks included scheduling, organizing events, and to manage budgets.",30,3,,
102,"Which sentence shows parallelism in the list?","He enjoys sports, playing video games, and to read comics.","We should strive for integrity, excellence in our efforts, and innovate the future.","I prefer tea, to drink coffee, or hot chocolate.","The athlete trains hard, eats well, and rests enough.",30,4,,
103,"Which sentence shows parallelism in the list?","They decided to relax, unwinding, and have fun.","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.","They hope to expand their business, improve customer service, and innovate products.","The workshop will cover marketing, how to manage finance, and cover operational skills.",30,3,,
104,"Which sentence shows parallelism in the list?","My hobbies are painting, drawing, and to sculpt.","The service offers flexibility, efficiency, and offers quality.","They decided to relax, to unwind, and to have fun.","We need to focus on settling the budget, finalizing the schedule, and to assign tasks.",30,3,,
105,"Which sentence shows parallelism in the list?","I want to travel, learn, and grow.","The festival features games, contests, and acrobats will fly.","The coach emphasized team strategy, teamwork, and to practice.","I like to listen to music, to read books, and going for walks.",30,1,,
106,"Which sentence shows parallelism in the list?","I like to read fiction, to write poetry, and drawing illustrations.","She was determined to win the race, to secure a medal, and achieving her personal best.","The athlete won gold in swimming, silver in biking, and they received bronze in running.","Our company values honesty, integrity, and teamwork.",30,4,,
107,"Which sentence shows parallelism in the list?","She likes to swim, biking, and to run.","The service offers flexibility, efficiency, and offers quality.","They hope to expand their business, improve customer service, and innovate products.","She loves to learn languages, explore cultures, and meeting new people.",30,3,,
108,"Which sentence shows parallelism in the list?","The athlete trained hard, eats well, and resting enough.","I enjoy hiking in the mountains, kayaking on the lake, and to cycle through the woods.","The presentation highlighted the benefits, the challenges, and the strategies for success.","She was determined to win the race, to secure a medal, and achieving her personal best.",30,3,,
109,"Which sentence shows parallelism in the list?","My friends enjoy hiking, biking, and swimming during the summer.","The movie was thrilling, it was engaging, and thought-provoking.","The exam will assess knowledge, understanding, and you need honed skills.","The recipe calls for flour, sugar, and adding butter.",30,1,,
110,"Which sentence shows parallelism in the list?","He needs to organize his schedule, managing his time, and priorities.","The service offers flexibility, efficiency, and offers quality.","The volunteer program focuses on education, health matters, and on sustainability for the environment.","Our company values honesty, integrity, and teamwork.",30,4,,
111,"Which sentence shows parallelism in the list?","The artist's work includes sculptures, paintings, and installing art.","My favorite fruits are strawberries, eating blueberries, and raspberry.","The festival featured games, contests, and performances.","My friends enjoy hiking, biking, and they like to swimm.",30,3,,
112,"Which sentence shows parallelism in the list?","The campaign focuses on awareness, education, and advocacy.","The athlete won gold in swimming, silver in biking, and they received bronze in running.","She likes swimming, to bike, and running.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.",30,1,,
113,"Which sentence shows parallelism in the list?","She committed to exercising regularly, eating healthily, and to get more sleep.","She likes to swim, biking, and to run.","The coach emphasized team strategy, teamwork, and to practice.","The goal is to reduce waste, conserve resources, and promote sustainability.",30,4,,
114,"Which sentence shows parallelism in the list?","I prefer tea, coffee, or hot chocolate in the morning.","The presentation included visuals, showed data, and anecdotes.","The dog barked loudly, ran quickly, and jumping playfully.","She committed to exercising regularly, eating healthily, and to get more sleep.",30,1,,
115,"Which sentence shows parallelism in the list?","My favorite outdoor activities are camping, hiking, and kayaking.","She is passionate about teaching, mentoring, and she inspired youth.","He likes to play chess, watching movies, and cook gourmet meals.","They were excited to hike, to camp, and catching fish.",30,1,,
116,"Which sentence shows parallelism in the list?","He likes to play chess, watching movies, and cook gourmet meals.","My favorite fruits are strawberries, eating blueberries, and raspberry.","The team needs to improve defense, enhance offense, and stamina.","The team needs to improve their defense, enhance their offense, and increase their stamina.",30,4,,
117,"Which sentence shows parallelism in the list?","My favorite fruits are strawberries, eating blueberries, and raspberry.","The athlete won gold in swimming, silver in biking, and bronze in running.","They were excited to hike, to camp, and catching fish.","She enjoys writing, to draw, and publishing books.",30,2,,
118,"Which sentence shows parallelism in the list?","They decided to relax, unwinding, and have fun.","The museum showcases art, history, and also has science exhibits.","Our team needs to practice more, strategize better, and execute flawlessly.","Her goals include saving money, improving health, and to enjoy life.",30,3,,
119,"Which sentence shows parallelism in the list?","Her responsibilities involve teaching, mentoring, and counseling students.","She likes to swim, biking, and to run.","They want to become doctors, researchers, and to mentor others.","The applicant demonstrated leadership skills, has initiative, and innovation.",30,1,,
