"Blooket
Import Template",,,,,,,,,
135,"Convert 0.982 to a percentage.",0.00982%,9.82%,98.2%,982%,60,3,,
136,"Convert 0.511 to a percentage.",0.511%,5.11%,51.1%,511%,60,3,,
137,"Convert 40.3% to a decimal fraction.",0.00403,0.403,4.03,403,60,2,,
138,"Convert 7.14 to a percentage.",0.00714%,0.0714%,7.14%,714%,60,4,,
139,"Convert 91.1% to a decimal fraction.",0.00911,0.0911,0.911,9.11,60,3,,
140,"Convert 7.18% to a decimal fraction.",0.0718,7.18,71.8,718,60,1,,
141,"Convert 0.309% to a decimal fraction.",0.00309,0.0309,30.9,309,60,1,,
142,"Convert 0.518% to a decimal fraction.",0.00518,0.518,5.18,518,60,1,,
143,"Convert 0.641% to a decimal fraction.",0.00641,6.41,64.1,641,60,1,,
144,"Convert 0.674% to a decimal fraction.",0.00674,6.74,67.4,674,60,1,,
145,"Convert 26.3% to a decimal fraction.",0.263,2.63,26.3,263,60,1,,
146,"Convert 0.00447 to a percentage.",0.00447%,0.0447%,0.447%,447%,60,3,,
147,"Convert 0.559% to a decimal fraction.",0.00559,0.0559,0.559,559,60,1,,
148,"Convert 15.9% to a decimal fraction.",0.00159,0.0159,0.159,15.9,60,3,,
149,"Convert 0.00628 to a percentage.",0.0628%,0.628%,6.28%,62.8%,60,2,,
150,"Convert 416% to a decimal fraction.",0.0416,4.16,41.6,416,60,2,,
151,"Convert 0.646% to a decimal fraction.",0.00646,0.646,6.46,646,60,1,,
152,"Convert 0.46% to a decimal fraction.",0.0046,4.6,46,460,60,1,,
153,"Convert 0.00174 to a percentage.",0.00174%,0.174%,1.74%,174%,60,2,,
154,"Convert 0.00174 to a percentage.",0.0174%,0.174%,17.4%,174%,60,2,,
155,"Convert 731% to a decimal fraction.",0.00731,0.0731,0.731,7.31,60,4,,
156,"Convert 0.00755 to a percentage.",0.0755%,0.755%,7.55%,75.5%,60,2,,
157,"Convert 0.785% to a decimal fraction.",0.00785,0.0785,0.785,7.85,60,1,,
158,"Convert 11.2% to a decimal fraction.",0.00112,0.0112,0.112,11.2,60,3,,
159,"Convert 56.1% to a decimal fraction.",0.00561,0.561,5.61,561,60,2,,
160,"Convert 7.32 to a percentage.",0.00732%,0.0732%,0.732%,732%,60,4,,
161,"Convert 63.7% to a decimal fraction.",0.0637,0.637,6.37,63.7,60,2,,
162,"Convert 0.192% to a decimal fraction.",0.00192,0.0192,0.192,19.2,60,1,,
163,"Convert 0.681% to a decimal fraction.",0.00681,0.0681,0.681,68.1,60,1,,
164,"Convert 2.99 to a percentage.",0.00299%,0.0299%,29.9%,299%,60,4,,
165,"Convert 0.00277 to a percentage.",0.00277%,0.0277%,0.277%,27.7%,60,3,,
166,"Convert 0.681% to a decimal fraction.",0.00681,0.0681,6.81,681,60,1,,
167,"Convert 504% to a decimal fraction.",0.504,5.04,50.4,504,60,2,,
168,"Convert 0.434% to a decimal fraction.",0.00434,4.34,43.4,434,60,1,,
169,"Convert 0.307% to a decimal fraction.",0.00307,0.0307,0.307,30.7,60,1,,
170,"Convert 61.1% to a decimal fraction.",0.0611,0.611,61.1,611,60,2,,
171,"Convert 0.0562 to a percentage.",0.562%,5.62%,56.2%,562%,60,2,,
172,"Convert 0.273% to a decimal fraction.",0.00273,0.0273,2.73,27.3,60,1,,
173,"Convert 4.73% to a decimal fraction.",0.00473,0.0473,0.473,4.73,60,2,,
174,"Convert 47.9% to a decimal fraction.",0.0479,0.479,4.79,479,60,2,,
175,"Convert 322% to a decimal fraction.",0.00322,0.0322,0.322,3.22,60,4,,
176,"Convert 805% to a decimal fraction.",0.00805,8.05,80.5,805,60,2,,
177,"Convert 680% to a decimal fraction.",0.0068,0.068,0.68,6.8,60,4,,
178,"Convert 0.0366 to a percentage.",0.00366%,3.66%,36.6%,366%,60,2,,
179,"Convert 745% to a decimal fraction.",0.00745,0.745,7.45,745,60,3,,
180,"Convert 259% to a decimal fraction.",0.0259,0.259,2.59,25.9,60,3,,
181,"Convert 0.00949 to a percentage.",0.0949%,0.949%,9.49%,94.9%,60,2,,
182,"Convert 0.0578 to a percentage.",0.00578%,5.78%,57.8%,578%,60,2,,
183,"Convert 0.0342 to a percentage.",0.00342%,0.0342%,3.42%,34.2%,60,3,,
184,"Convert 8.7 to a percentage.",0.0087%,0.087%,8.7%,870%,60,4,,
185,"Convert 9.28% to a decimal fraction.",0.0928,0.928,9.28,928,60,1,,
186,"Convert 0.0784 to a percentage.",0.0784%,7.84%,78.4%,784%,60,2,,
187,"Convert 0.0776 to a percentage.",0.00776%,7.76%,77.6%,776%,60,2,,
188,"Convert 48.8% to a decimal fraction.",0.0488,0.488,4.88,48.8,60,2,,
189,"Convert 121% to a decimal fraction.",0.00121,1.21,12.1,121,60,2,,
190,"Convert 0.0041 to a percentage.",0.0041%,0.41%,4.1%,41%,60,2,,
191,"Convert 0.757% to a decimal fraction.",0.00757,0.0757,75.7,757,60,1,,
192,"Convert 536% to a decimal fraction.",0.00536,0.536,5.36,53.6,60,3,,
193,"Convert 7.3% to a decimal fraction.",0.073,0.73,7.3,73,60,1,,
194,"Convert 16.5% to a decimal fraction.",0.0165,0.165,16.5,165,60,2,,
195,"Convert 135% to a decimal fraction.",0.0135,1.35,13.5,135,60,2,,
196,"Convert 0.199% to a decimal fraction.",0.00199,1.99,19.9,199,60,1,,
197,"Convert 73.1% to a decimal fraction.",0.0731,0.731,7.31,73.1,60,2,,
198,"Convert 0.705% to a decimal fraction.",0.00705,0.0705,70.5,705,60,1,,
199,"Convert 0.00948 to a percentage.",0.948%,9.48%,94.8%,948%,60,1,,
200,"Convert 0.459 to a percentage.",0.0459%,0.459%,4.59%,45.9%,60,4,,
201,"Convert 0.652% to a decimal fraction.",0.00652,0.0652,0.652,6.52,60,1,,
202,"Convert 0.0095 to a percentage.",0.095%,0.95%,9.5%,950%,60,2,,
203,"Convert 698% to a decimal fraction.",0.00698,6.98,69.8,698,60,2,,
204,"Convert 164% to a decimal fraction.",0.0164,0.164,1.64,164,60,3,,
205,"Convert 0.6% to a decimal fraction.",0.006,0.06,6,60,60,1,,
206,"Convert 649% to a decimal fraction.",0.00649,0.0649,6.49,64.9,60,3,,
207,"Convert 0.0464 to a percentage.",0.00464%,0.464%,4.64%,46.4%,60,3,,
208,"Convert 0.268% to a decimal fraction.",0.00268,2.68,26.8,268,60,1,,
209,"Convert 51.3% to a decimal fraction.",0.00513,0.0513,0.513,5.13,60,3,,
210,"Convert 0.342 to a percentage.",0.0342%,3.42%,34.2%,342%,60,3,,
211,"Convert 411% to a decimal fraction.",0.00411,0.411,4.11,411,60,3,,
212,"Convert 121% to a decimal fraction.",0.00121,0.0121,0.121,1.21,60,4,,
213,"Convert 2.51% to a decimal fraction.",0.0251,0.251,2.51,251,60,1,,
214,"Convert 0.00762 to a percentage.",0.00762%,0.762%,76.2%,762%,60,2,,
215,"Convert 0.0455 to a percentage.",0.00455%,0.455%,4.55%,45.5%,60,3,,
216,"Convert 6.51% to a decimal fraction.",0.0651,6.51,65.1,651,60,1,,
217,"Convert 3.39% to a decimal fraction.",0.00339,0.0339,0.339,339,60,2,,
218,"Convert 0.292 to a percentage.",0.00292%,0.0292%,29.2%,292%,60,3,,
219,"Convert 0.00666 to a percentage.",0.00666%,0.666%,66.6%,666%,60,2,,
220,"Convert 0.711% to a decimal fraction.",0.00711,0.0711,0.711,7.11,60,1,,
221,"Convert 73.6% to a decimal fraction.",0.0736,0.736,7.36,73.6,60,2,,
222,"Convert 9.88 to a percentage.",0.0988%,9.88%,98.8%,988%,60,4,,
223,"Convert 0.783 to a percentage.",0.00783%,7.83%,78.3%,783%,60,3,,
224,"Convert 0.89 to a percentage.",0.0089%,8.9%,89%,890%,60,3,,
225,"Convert 0.0466 to a percentage.",0.466%,4.66%,46.6%,466%,60,2,,
226,"Convert 0.167% to a decimal fraction.",0.00167,0.0167,1.67,16.7,60,1,,
227,"Convert 9.33% to a decimal fraction.",0.00933,0.0933,0.933,9.33,60,2,,
228,"Convert 0.598 to a percentage.",0.00598%,0.598%,5.98%,59.8%,60,4,,
229,"Convert 5.74% to a decimal fraction.",0.0574,0.574,5.74,574,60,1,,
230,"Convert 0.0796 to a percentage.",0.00796%,7.96%,79.6%,796%,60,2,,
231,"Convert 0.0362 to a percentage.",0.00362%,0.362%,3.62%,362%,60,3,,
232,"Convert 0.928% to a decimal fraction.",0.00928,0.0928,92.8,928,60,1,,
233,"Convert 0.0209 to a percentage.",0.00209%,0.209%,2.09%,209%,60,3,,
234,"Convert 21.9% to a decimal fraction.",0.00219,0.0219,0.219,2.19,60,3,,
235,"Convert 0.0265 to a percentage.",0.00265%,0.0265%,2.65%,26.5%,60,3,,
236,"Convert 0.507 to a percentage.",0.00507%,0.0507%,0.507%,50.7%,60,4,,
237,"Convert 0.517% to a decimal fraction.",0.00517,0.0517,0.517,5.17,60,1,,
238,"Convert 0.569% to a decimal fraction.",0.00569,0.0569,0.569,56.9,60,1,,
239,"Convert 0.00731 to a percentage.",0.0731%,0.731%,7.31%,731%,60,2,,
240,"Convert 4.23% to a decimal fraction.",0.0423,4.23,42.3,423,60,1,,
241,"Convert 0.977 to a percentage.",0.00977%,0.0977%,0.977%,97.7%,60,4,,
242,"Convert 0.922 to a percentage.",0.0922%,0.922%,9.22%,92.2%,60,4,,
243,"Convert 401% to a decimal fraction.",0.401,4.01,40.1,401,60,2,,
244,"Convert 0.0103 to a percentage.",0.00103%,0.0103%,0.103%,1.03%,60,4,,
245,"Convert 75.3% to a decimal fraction.",0.753,7.53,75.3,753,60,1,,
246,"Convert 0.106% to a decimal fraction.",0.00106,0.0106,0.106,10.6,60,1,,
247,"Convert 0.00976 to a percentage.",0.00976%,0.0976%,0.976%,97.6%,60,3,,
248,"Convert 791% to a decimal fraction.",0.00791,0.0791,7.91,791,60,3,,
249,"Convert 9.82% to a decimal fraction.",0.00982,0.0982,0.982,98.2,60,2,,
250,"Convert 0.00581 to a percentage.",0.00581%,0.0581%,0.581%,58.1%,60,3,,
251,"Convert 9.51 to a percentage.",0.951%,9.51%,95.1%,951%,60,4,,
252,"Convert 0.72% to a decimal fraction.",0.0072,0.72,7.2,72,60,1,,
253,"Convert 1.15 to a percentage.",0.00115%,1.15%,11.5%,115%,60,4,,
254,"Convert 1.81% to a decimal fraction.",0.00181,0.0181,1.81,181,60,2,,
255,"Convert 0.00669 to a percentage.",0.669%,6.69%,66.9%,669%,60,1,,
256,"Convert 0.00216 to a percentage.",0.00216%,0.216%,2.16%,216%,60,2,,
257,"Convert 39.4% to a decimal fraction.",0.00394,0.394,3.94,394,60,2,,
258,"Convert 9.63% to a decimal fraction.",0.00963,0.0963,0.963,96.3,60,2,,
259,"Convert 0.0806 to a percentage.",0.00806%,0.806%,8.06%,80.6%,60,3,,
260,"Convert 6.94 to a percentage.",0.00694%,0.694%,6.94%,694%,60,4,,
261,"Convert 3.85 to a percentage.",0.00385%,3.85%,38.5%,385%,60,4,,
262,"Convert 76.2% to a decimal fraction.",0.0762,0.762,7.62,762,60,2,,
263,"Convert 0.387 to a percentage.",0.0387%,0.387%,38.7%,387%,60,3,,
264,"Convert 0.556 to a percentage.",0.00556%,5.56%,55.6%,556%,60,3,,
265,"Convert 0.0744 to a percentage.",0.00744%,0.0744%,0.744%,7.44%,60,4,,
266,"Convert 5.71 to a percentage.",0.00571%,0.571%,57.1%,571%,60,4,,
267,"Convert 20.7% to a decimal fraction.",0.00207,0.207,2.07,207,60,2,,
268,"Convert 527% to a decimal fraction.",0.00527,0.527,5.27,527,60,3,,
269,"Convert 21.2% to a decimal fraction.",0.00212,0.212,21.2,212,60,2,,
270,"Convert 539% to a decimal fraction.",0.539,5.39,53.9,539,60,2,,
271,"Convert 3.96 to a percentage.",0.00396%,3.96%,39.6%,396%,60,4,,
272,"Convert 14.9% to a decimal fraction.",0.00149,0.0149,0.149,149,60,3,,
273,"Convert 4.04% to a decimal fraction.",0.0404,0.404,4.04,404,60,1,,
274,"Convert 0.883% to a decimal fraction.",0.00883,0.0883,8.83,883,60,1,,
275,"Convert 72.6% to a decimal fraction.",0.0726,0.726,7.26,726,60,2,,
276,"Convert 9.92 to a percentage.",0.992%,9.92%,99.2%,992%,60,4,,
277,"Convert 8.8% to a decimal fraction.",0.0088,0.088,8.8,88,60,2,,
278,"Convert 0.495 to a percentage.",0.00495%,0.0495%,0.495%,49.5%,60,4,,
279,"Convert 0.00819 to a percentage.",0.00819%,0.819%,8.19%,819%,60,2,,
280,"Convert 30.6% to a decimal fraction.",0.00306,0.0306,0.306,30.6,60,3,,
281,"Convert 0.0479 to a percentage.",0.479%,4.79%,47.9%,479%,60,2,,
282,"Convert 29.2% to a decimal fraction.",0.00292,0.0292,0.292,292,60,3,,
283,"Convert 126% to a decimal fraction.",0.00126,0.126,1.26,126,60,3,,
284,"Convert 0.961 to a percentage.",0.00961%,0.961%,9.61%,96.1%,60,4,,
285,"Convert 0.00451 to a percentage.",0.00451%,0.451%,45.1%,451%,60,2,,
286,"Convert 14.2% to a decimal fraction.",0.00142,0.142,1.42,14.2,60,2,,
287,"Convert 0.0221 to a percentage.",0.00221%,0.0221%,0.221%,2.21%,60,4,,
288,"Convert 0.349 to a percentage.",0.0349%,0.349%,34.9%,349%,60,3,,
289,"Convert 0.364% to a decimal fraction.",0.00364,0.0364,3.64,36.4,60,1,,
290,"Convert 0.00336 to a percentage.",0.00336%,0.336%,3.36%,336%,60,2,,
291,"Convert 0.772% to a decimal fraction.",0.00772,0.772,7.72,772,60,1,,
292,"Convert 0.725% to a decimal fraction.",0.00725,0.0725,0.725,725,60,1,,
293,"Convert 0.00375 to a percentage.",0.00375%,0.375%,3.75%,37.5%,60,2,,
294,"Convert 0.0939 to a percentage.",0.00939%,0.939%,9.39%,939%,60,3,,
295,"Convert 2.01% to a decimal fraction.",0.00201,0.0201,2.01,201,60,2,,
296,"Convert 6.74 to a percentage.",0.00674%,0.0674%,6.74%,674%,60,4,,
297,"Convert 642% to a decimal fraction.",0.00642,0.0642,6.42,64.2,60,3,,
298,"Convert 0.468 to a percentage.",0.0468%,0.468%,46.8%,468%,60,3,,
299,"Convert 0.00444 to a percentage.",0.00444%,0.444%,4.44%,44.4%,60,2,,
300,"Convert 4.64 to a percentage.",0.00464%,4.64%,46.4%,464%,60,4,,
301,"Convert 0.00914 to a percentage.",0.914%,9.14%,91.4%,914%,60,1,,
302,"Convert 441% to a decimal fraction.",0.441,4.41,44.1,441,60,2,,
303,"Convert 0.971 to a percentage.",0.00971%,0.0971%,97.1%,971%,60,3,,
304,"Convert 0.00185 to a percentage.",0.0185%,0.185%,1.85%,18.5%,60,2,,
305,"Convert 3.04 to a percentage.",0.0304%,0.304%,30.4%,304%,60,4,,
306,"Convert 42.3% to a decimal fraction.",0.00423,0.423,42.3,423,60,2,,
307,"Convert 8.93% to a decimal fraction.",0.0893,8.93,89.3,893,60,1,,
308,"Convert 90.7% to a decimal fraction.",0.00907,0.0907,0.907,9.07,60,3,,
309,"Convert 0.0954 to a percentage.",0.00954%,0.954%,9.54%,954%,60,3,,
310,"Convert 0.829 to a percentage.",0.00829%,0.0829%,82.9%,829%,60,3,,
311,"Convert 756% to a decimal fraction.",0.0756,0.756,7.56,756,60,3,,
312,"Convert 1.42% to a decimal fraction.",0.0142,0.142,1.42,142,60,1,,
313,"Convert 6.24 to a percentage.",0.0624%,6.24%,62.4%,624%,60,4,,
314,"Convert 8.58% to a decimal fraction.",0.00858,0.0858,8.58,858,60,2,,
315,"Convert 0.00879 to a percentage.",0.00879%,0.879%,87.9%,879%,60,2,,
316,"Convert 763% to a decimal fraction.",0.763,7.63,76.3,763,60,2,,
317,"Convert 0.717% to a decimal fraction.",0.00717,0.0717,7.17,71.7,60,1,,
318,"Convert 0.0715 to a percentage.",0.00715%,0.0715%,0.715%,7.15%,60,4,,
319,"Convert 0.0778 to a percentage.",0.00778%,7.78%,77.8%,778%,60,2,,
320,"Convert 8.05 to a percentage.",0.00805%,0.805%,8.05%,805%,60,4,,
